@RELATION Eclipse_JDT_Core-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
20.0,2,34.0,0,9,15,122.0,NO
1.0,1,1.0,0,1,0,4.0,NO
176.0,1,156.0,6,114,190,484.0,YES
12.0,6,18.0,0,5,10,33.0,NO
115.0,2,174.0,0,23,820,673.0,NO
2.0,1,4.0,0,2,1,16.0,NO
23.0,4,46.0,0,6,78,87.0,NO
2.0,1,2.0,0,2,1,9.0,NO
64.0,3,50.0,0,11,105,250.0,NO
3.0,3,5.0,1,4,6,9.0,NO
25.0,2,51.0,0,6,105,95.0,NO
10.0,2,14.0,0,8,15,42.0,NO
14.0,7,22.0,0,5,3,42.0,NO
93.0,3,125.0,0,12,78,387.0,NO
19.0,2,18.0,0,1,136,53.0,NO
4.0,2,4.0,0,4,3,14.0,NO
148.0,3,172.0,2,63,351,624.0,YES
6.0,1,5.0,1,1,6,20.0,NO
0.0,2,2.0,2,1,1,0.0,NO
276.0,2,244.0,2,36,190,1126.0,YES
17.0,1,34.0,0,4,45,52.0,NO
4.0,3,8.0,0,6,3,16.0,NO
29.0,6,61.0,3,18,91,127.0,YES
166.0,4,191.0,5,22,136,494.0,YES
1.0,2,2.0,0,2,0,3.0,NO
212.0,2,171.0,4,27,210,795.0,YES
156.0,7,220.0,0,21,55,591.0,YES
39.0,3,40.0,0,9,45,166.0,NO
37.0,1,40.0,0,3,45,144.0,NO
234.0,3,281.0,15,108,528,760.0,NO
13.0,3,12.0,1,5,10,35.0,NO
15.0,2,55.0,0,3,10,72.0,NO
12.0,6,17.0,2,7,15,52.0,NO
27.0,2,14.0,0,5,66,55.0,NO
53.0,4,47.0,0,7,28,214.0,YES
11.0,6,17.0,0,5,3,32.0,NO
25.0,3,51.0,0,5,105,96.0,NO
20.0,5,22.0,0,6,78,56.0,NO
110.0,3,93.0,0,55,105,378.0,YES
72.0,1,72.0,0,31,190,245.0,YES
56.0,2,130.0,0,5,300,258.0,NO
94.0,4,162.0,0,14,703,419.0,NO
91.0,3,106.0,0,11,15,343.0,NO
7.0,5,12.0,0,3,10,34.0,NO
