@RELATION Eclipse_PDE_UI-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
7.0,5,10.0,0,5,21,23.0,NO
2.0,1,5.0,0,1,1,8.0,NO
9.0,1,12.0,0,4,3,28.0,NO
10.0,1,9.0,0,1,6,36.0,NO
8.0,2,17.0,0,4,15,32.0,NO
2.0,2,4.0,0,3,1,8.0,NO
0.0,1,0.0,0,0,0,0.0,YES
3.0,2,8.0,0,3,3,15.0,NO
4.0,3,7.0,0,2,6,12.0,NO
3.0,1,7.0,0,3,1,15.0,NO
36.0,2,60.0,7,7,120,158.0,YES
60.0,2,106.0,0,11,55,172.0,NO
16.0,4,24.0,0,5,78,51.0,NO
20.0,3,61.0,0,13,78,130.0,NO
76.0,3,128.0,0,6,55,210.0,NO
5.0,2,9.0,0,5,1,18.0,NO
0.0,1,0.0,0,0,0,0.0,NO
36.0,2,83.0,0,10,66,245.0,YES
8.0,1,21.0,0,8,6,42.0,NO
10.0,2,36.0,0,12,28,36.0,NO
29.0,4,88.0,0,12,120,252.0,NO
11.0,1,28.0,0,12,21,82.0,NO
7.0,2,28.0,0,11,1,34.0,NO
30.0,2,102.0,0,17,21,123.0,YES
0.0,1,1.0,0,6,0,0.0,YES
29.0,1,58.0,1,6,78,118.0,YES
39.0,1,72.0,0,362,253,134.0,YES
50.0,4,117.0,0,22,136,237.0,NO
2.0,1,8.0,0,3,1,13.0,NO
3.0,1,6.0,0,2,3,32.0,NO
4.0,1,8.0,0,2,3,20.0,NO
61.0,5,177.0,0,30,378,317.0,NO
13.0,4,26.0,8,16,36,44.0,NO
15.0,2,25.0,0,4,10,47.0,NO
38.0,5,84.0,0,10,78,144.0,NO
32.0,3,92.0,0,27,210,153.0,YES
10.0,2,18.0,9,13,28,30.0,NO
19.0,2,40.0,1,4,78,96.0,NO
4.0,1,9.0,0,7,3,15.0,NO
12.0,1,15.0,1,2,6,31.0,NO
8.0,5,14.0,0,3,28,29.0,NO
8.0,5,21.0,0,8,21,30.0,NO
3.0,3,5.0,0,2,3,23.0,NO
3.0,5,5.0,0,3,3,9.0,NO
24.0,1,46.0,0,5,78,104.0,NO
