@RELATION Equinox_Framework-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
3.0,1,14.0,0,6,3,15.0,NO
115.0,1,172.0,0,14,300,492.0,NO
3.0,1,3.0,0,4,3,11.0,YES
1.0,2,1.0,0,1,0,4.0,NO
0.0,1,0.0,0,0,0,0.0,NO
2.0,1,8.0,0,2,1,6.0,NO
39.0,2,34.0,0,12,45,153.0,NO
3.0,2,3.0,0,3,1,8.0,NO
4.0,2,9.0,0,2,10,13.0,YES
7.0,1,12.0,3,10,36,21.0,NO
22.0,1,29.0,0,7,45,77.0,YES
8.0,1,17.0,0,22,6,24.0,NO
2.0,1,8.0,0,4,1,8.0,NO
0.0,1,0.0,0,0,0,0.0,NO
0.0,2,0.0,0,0,0,0.0,NO
0.0,1,0.0,0,0,0,0.0,NO
410.0,1,836.0,1,40,2016,1805.0,YES
2.0,1,8.0,0,4,1,9.0,NO
38.0,2,54.0,0,12,190,120.0,NO
4.0,1,4.0,0,1,6,15.0,NO
0.0,1,0.0,0,0,0,0.0,YES
5.0,1,10.0,0,2,1,30.0,NO
38.0,1,108.0,0,17,210,149.0,NO
9.0,2,14.0,0,3,21,32.0,NO
0.0,1,1.0,2,2,0,0.0,NO
34.0,1,36.0,0,5,15,114.0,YES
24.0,1,35.0,1,5,15,83.0,YES
31.0,3,35.0,0,12,91,65.0,YES
1.0,2,3.0,0,2,0,4.0,NO
10.0,1,20.0,0,6,6,73.0,NO
0.0,1,1.0,0,1,0,0.0,NO
0.0,1,1.0,0,1,0,0.0,NO
6.0,1,15.0,0,1,1,27.0,NO
2.0,1,8.0,0,2,1,6.0,NO
0.0,1,0.0,0,0,0,0.0,NO
1.0,1,2.0,0,1,0,3.0,NO
0.0,1,0.0,0,0,0,0.0,NO
6.0,2,11.0,0,5,15,19.0,NO
46.0,1,177.0,0,30,210,221.0,NO
109.0,1,199.0,0,26,406,430.0,YES
30.0,1,45.0,0,13,21,100.0,NO
0.0,2,0.0,0,0,0,0.0,YES
147.0,2,180.0,0,24,2775,425.0,YES
9.0,1,14.0,0,3,6,44.0,NO
0.0,2,0.0,0,0,0,0.0,YES
3.0,1,3.0,0,0,3,10.0,NO
122.0,1,252.0,0,21,378,503.0,YES
4.0,1,4.0,0,10,6,15.0,YES
28.0,1,57.0,0,5,36,95.0,YES
14.0,1,30.0,0,7,6,55.0,YES
22.0,1,36.0,0,9,6,98.0,NO
14.0,2,29.0,0,6,21,62.0,NO
0.0,1,1.0,0,1,0,0.0,NO
0.0,1,0.0,0,0,0,0.0,NO
10.0,1,22.0,0,6,10,54.0,NO
28.0,2,41.0,0,9,21,63.0,YES
10.0,2,9.0,0,2,10,31.0,YES
5.0,1,5.0,0,5,10,18.0,NO
37.0,1,115.0,0,17,45,188.0,NO
26.0,1,28.0,0,3,231,73.0,NO
1.0,1,2.0,0,1,0,3.0,NO
57.0,1,55.0,0,7,45,217.0,YES
33.0,1,36.0,0,7,55,125.0,YES
107.0,1,219.0,0,16,435,403.0,YES
0.0,1,1.0,0,1,0,0.0,NO
30.0,1,83.0,0,19,66,155.0,YES
0.0,1,0.0,0,0,0,0.0,NO
0.0,1,0.0,0,0,0,0.0,NO
13.0,2,15.0,5,14,45,36.0,YES
16.0,1,16.0,0,5,15,70.0,NO
1.0,1,2.0,0,1,0,3.0,NO
28.0,1,7.0,0,1,3,153.0,NO
13.0,1,21.0,0,2,28,49.0,NO
0.0,1,0.0,0,0,0,0.0,NO
17.0,1,37.0,0,2,15,110.0,YES
13.0,1,26.0,0,4,55,56.0,NO
57.0,1,101.0,0,16,78,180.0,NO
33.0,1,43.0,0,13,91,86.0,NO
11.0,1,18.0,4,12,28,49.0,NO
534.0,1,1009.0,0,39,2016,1543.0,YES
