@RELATION Lucene-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
29.0,3,59.0,0,17,55,170.0,YES
177.0,1,263.0,0,34,2415,829.0,YES
46.0,1,99.0,0,179,120,138.0,NO
10.0,1,12.0,0,5,3,40.0,NO
3.0,1,7.0,0,5,0,19.0,NO
66.0,1,72.0,0,128,465,240.0,NO
1.0,2,1.0,0,0,0,4.0,NO
51.0,2,32.0,0,1,21,345.0,NO
13.0,1,20.0,0,6,21,44.0,YES
60.0,2,57.0,3,16,231,182.0,NO
37.0,1,120.0,0,23,66,182.0,NO
3.0,1,5.0,0,5,1,13.0,NO
2.0,2,5.0,0,2,1,6.0,NO
6.0,1,11.0,0,4,10,20.0,NO
9.0,1,26.0,0,8,1,40.0,NO
0.0,1,2.0,1,2,1,0.0,NO
18.0,3,30.0,2,65,36,61.0,NO
16.0,2,34.0,0,4,28,86.0,NO
13.0,1,24.0,0,6,45,54.0,NO
15.0,1,8.0,0,4,1,76.0,YES
10.0,4,33.0,0,8,3,39.0,NO
4.0,3,10.0,0,3,1,14.0,NO
33.0,3,44.0,2,8,78,107.0,NO
10.0,1,18.0,0,6,1,44.0,NO
13.0,3,15.0,3,3,10,55.0,YES
2.0,4,4.0,0,2,1,7.0,NO
24.0,2,64.0,4,9,105,73.0,NO
1.0,2,2.0,6,1,0,3.0,NO
18.0,1,35.0,7,74,153,64.0,YES
5.0,1,15.0,0,4,1,34.0,NO
10.0,1,25.0,0,11,3,56.0,NO
18.0,2,35.0,0,14,3,130.0,YES
4.0,3,6.0,0,4,1,19.0,NO
4.0,4,6.0,0,3,3,9.0,NO
21.0,3,34.0,0,11,66,144.0,NO
6.0,3,27.0,0,7,3,39.0,NO
0.0,1,5.0,1,2,10,0.0,NO
6.0,2,12.0,0,4,1,35.0,NO
7.0,1,41.0,1,23,15,87.0,NO
1.0,1,1.0,0,1,0,3.0,NO
2.0,1,9.0,0,6,1,18.0,NO
2.0,1,8.0,0,2,3,13.0,NO
67.0,2,156.0,0,10,325,267.0,NO
8.0,2,18.0,0,3,28,28.0,NO
12.0,4,14.0,0,2,1,36.0,NO
3.0,2,6.0,0,3,3,13.0,NO
4.0,3,8.0,0,5,1,15.0,NO
4.0,2,12.0,0,6,3,17.0,NO
9.0,2,13.0,0,3,15,30.0,NO
48.0,1,124.0,6,153,1225,214.0,YES
13.0,1,43.0,0,9,1,78.0,NO
217.0,1,103.0,0,4,190,604.0,NO
10.0,3,17.0,0,3,3,45.0,YES
3.0,2,9.0,0,3,6,9.0,NO
3.0,2,6.0,0,3,3,10.0,NO
6.0,1,12.0,0,11,15,23.0,NO
15.0,2,24.0,2,5,36,63.0,NO
4.0,1,5.0,0,0,6,13.0,NO
8.0,1,12.0,9,13,3,29.0,YES
43.0,2,53.0,0,14,45,229.0,NO
6.0,1,7.0,0,2,1,19.0,NO
0.0,1,4.0,1,2,6,0.0,NO
4.0,1,9.0,33,50,15,12.0,YES
10.0,1,29.0,0,12,1,58.0,NO
1.0,1,6.0,0,3,1,10.0,NO
262.0,2,137.0,0,1,561,1501.0,NO
20.0,1,7.0,0,8,1,115.0,NO
10.0,1,19.0,0,6,1,51.0,NO
7.0,4,9.0,0,5,1,28.0,NO
2.0,2,2.0,3,1,1,6.0,YES
4.0,1,19.0,0,6,3,31.0,NO
2.0,3,8.0,0,5,1,19.0,NO
64.0,2,123.0,0,16,276,174.0,YES
155.0,2,92.0,0,1,66,866.0,NO
8.0,1,18.0,1,5,6,43.0,NO
6.0,2,11.0,0,4,10,30.0,NO
0.0,1,2.0,3,1,1,0.0,NO
2.0,1,2.0,0,2,1,12.0,NO
8.0,2,14.0,0,12,10,20.0,NO
0.0,1,4.0,4,26,6,0.0,NO
21.0,2,63.0,0,9,91,102.0,NO
46.0,1,105.0,0,20,45,214.0,NO
16.0,1,18.0,0,74,45,37.0,NO
47.0,1,78.0,0,12,6,206.0,NO
24.0,1,28.0,0,4,3,87.0,NO
2.0,3,9.0,0,3,1,12.0,NO
2.0,1,5.0,0,2,0,18.0,NO
6.0,3,10.0,0,2,15,10.0,NO
10.0,2,12.0,0,3,21,42.0,NO
18.0,1,32.0,1,29,55,63.0,NO
27.0,1,43.0,0,13,6,163.0,NO
50.0,2,63.0,0,6,91,166.0,YES
31.0,1,52.0,0,8,78,128.0,NO
8.0,3,18.0,0,6,10,34.0,NO
5.0,2,8.0,0,2,3,39.0,NO
6.0,3,7.0,0,2,1,27.0,NO
24.0,1,29.0,0,8,3,90.0,NO
0.0,1,1.0,0,6,0,0.0,NO
179.0,1,177.0,0,15,496,574.0,NO
7.0,1,12.0,0,4,15,18.0,NO
3.0,2,10.0,0,4,3,15.0,NO
7.0,1,17.0,4,29,78,22.0,YES
6.0,1,6.0,0,7,10,20.0,NO
15.0,1,18.0,1,3,28,50.0,NO
0.0,1,0.0,0,0,0,0.0,NO
6.0,3,6.0,0,0,15,18.0,NO
10.0,2,17.0,0,3,28,58.0,NO
5.0,2,11.0,0,3,3,25.0,NO
4.0,3,13.0,0,5,1,19.0,NO
28.0,2,44.0,2,9,78,88.0,NO
21.0,2,19.0,0,4,6,59.0,NO
4.0,4,5.0,0,3,1,10.0,NO
12.0,2,50.0,1,10,21,97.0,NO
36.0,3,51.0,0,6,66,135.0,NO
8.0,3,13.0,0,4,10,43.0,NO
5.0,4,6.0,0,4,3,13.0,NO
5.0,1,7.0,0,2,1,21.0,NO
2.0,1,11.0,0,6,1,23.0,NO
206.0,2,127.0,0,1,136,1131.0,NO
18.0,1,16.0,0,6,66,51.0,NO
2.0,1,3.0,0,1,1,4.0,NO
5.0,2,9.0,0,4,10,19.0,NO
30.0,2,36.0,4,7,78,131.0,NO
32.0,1,52.0,0,18,78,107.0,YES
39.0,1,55.0,0,8,105,154.0,YES
17.0,1,20.0,0,3,153,51.0,NO
72.0,2,89.0,0,11,253,240.0,NO
5.0,2,6.0,0,2,10,13.0,NO
9.0,2,33.0,0,4,21,53.0,NO
10.0,2,13.0,0,4,15,62.0,NO
2.0,2,4.0,0,2,1,7.0,NO
21.0,2,64.0,0,8,91,102.0,NO
23.0,1,46.0,1,5,21,132.0,NO
18.0,1,62.0,0,8,6,154.0,NO
1.0,1,7.0,1,1,15,3.0,NO
25.0,1,56.0,0,26,28,167.0,NO
14.0,3,17.0,0,3,6,56.0,NO
31.0,3,41.0,0,5,36,98.0,NO
14.0,2,28.0,0,8,10,53.0,NO
16.0,1,39.0,0,8,55,50.0,NO
2.0,1,4.0,0,2,1,6.0,NO
14.0,2,18.0,0,1,28,58.0,NO
4.0,2,5.0,0,2,1,9.0,NO
3.0,2,6.0,0,3,6,10.0,NO
43.0,1,128.0,0,20,136,226.0,NO
1.0,1,1.0,0,0,0,3.0,NO
2.0,1,4.0,6,6,6,6.0,NO
1.0,1,18.0,0,8,0,35.0,NO
0.0,1,6.0,2,1,15,0.0,NO
4.0,1,22.0,0,11,1,37.0,NO
16.0,2,23.0,0,5,45,64.0,NO
17.0,1,26.0,0,5,6,57.0,NO
3.0,1,3.0,1,6,3,11.0,NO
21.0,1,45.0,0,7,6,77.0,NO
47.0,1,38.0,0,6,190,256.0,NO
0.0,1,4.0,2,2,6,0.0,NO
0.0,1,2.0,1,2,1,0.0,NO
174.0,1,221.0,0,20,903,583.0,NO
9.0,2,15.0,0,4,21,35.0,NO
79.0,1,2.0,0,2,0,225.0,NO
10.0,1,10.0,0,4,6,26.0,NO
9.0,2,24.0,0,8,0,49.0,NO
140.0,2,85.0,0,1,78,877.0,NO
19.0,1,29.0,0,7,45,77.0,NO
10.0,3,17.0,0,6,15,27.0,NO
17.0,3,13.0,0,14,15,49.0,YES
479.0,2,312.0,0,1,861,2864.0,NO
2.0,4,3.0,0,19,1,6.0,NO
3.0,1,14.0,0,4,1,32.0,NO
3.0,1,16.0,0,6,1,22.0,NO
0.0,1,4.0,1,1,6,0.0,NO
12.0,1,14.0,0,6,10,44.0,NO
24.0,2,68.0,0,18,15,141.0,NO
7.0,1,7.0,0,4,21,29.0,NO
7.0,2,12.0,0,3,10,37.0,NO
5.0,2,14.0,0,2,55,14.0,NO
2.0,3,3.0,0,0,1,5.0,YES
12.0,2,23.0,0,3,15,51.0,YES
12.0,1,38.0,0,9,1,70.0,NO
1.0,1,3.0,0,2,1,3.0,NO
15.0,1,33.0,0,9,10,64.0,NO
17.0,2,41.0,0,10,21,73.0,NO
1.0,1,1.0,0,3,0,3.0,NO
7.0,3,12.0,0,10,6,19.0,NO
8.0,2,12.0,0,5,15,30.0,YES
7.0,2,35.0,0,6,3,48.0,NO
4.0,1,15.0,0,8,1,32.0,NO
18.0,1,5.0,0,2,3,27.0,NO
30.0,1,84.0,0,16,153,165.0,NO
16.0,1,58.0,0,14,21,98.0,NO
26.0,3,31.0,0,5,15,133.0,NO
19.0,1,24.0,0,3,91,75.0,NO
68.0,1,105.0,0,18,496,285.0,NO
6.0,2,10.0,0,6,3,31.0,NO
4.0,3,6.0,0,4,1,19.0,NO
10.0,3,16.0,0,2,0,46.0,NO
18.0,1,22.0,0,2,6,46.0,NO
5.0,3,9.0,0,4,1,12.0,NO
0.0,1,2.0,3,8,1,0.0,NO
4.0,1,6.0,0,4,3,21.0,NO
39.0,1,84.0,1,8,253,189.0,NO
162.0,2,104.0,0,1,66,919.0,NO
3.0,2,8.0,0,4,1,13.0,NO
8.0,1,6.0,0,9,3,20.0,NO
18.0,3,36.0,0,6,36,94.0,NO
4.0,2,4.0,0,1,6,11.0,NO
219.0,2,150.0,0,1,91,1295.0,NO
12.0,2,16.0,0,11,28,30.0,NO
1.0,1,1.0,0,2,0,3.0,NO
58.0,1,123.0,0,4,28,171.0,NO
57.0,2,84.0,0,9,378,215.0,YES
13.0,3,36.0,0,8,21,68.0,NO
3.0,4,5.0,0,3,3,10.0,NO
2.0,3,4.0,0,6,1,10.0,NO
2.0,1,8.0,2,2,15,6.0,NO
15.0,2,36.0,0,6,15,63.0,NO
24.0,1,37.0,12,46,120,89.0,NO
