@RELATION Mylyn-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
8.0,1,18.0,0,16,15,42.0,NO
14.0,1,29.0,0,7,36,60.0,NO
4.0,2,5.0,0,6,6,13.0,NO
3.0,2,6.0,0,2,6,12.0,NO
5.0,4,4.0,0,1,6,12.0,NO
33.0,3,33.0,0,4,91,78.0,NO
21.0,1,17.0,0,2,105,57.0,NO
3.0,2,8.0,0,4,1,16.0,NO
20.0,1,56.0,0,10,3,95.0,NO
3.0,1,3.0,0,3,3,10.0,NO
16.0,1,19.0,0,7,120,53.0,NO
57.0,1,90.0,0,5,153,211.0,NO
15.0,1,23.0,0,3,28,56.0,NO
2.0,2,5.0,0,1,1,6.0,NO
8.0,1,15.0,0,2,15,40.0,NO
6.0,2,17.0,0,7,1,26.0,NO
10.0,1,32.0,0,4,21,38.0,NO
8.0,1,16.0,0,8,6,81.0,NO
14.0,2,23.0,5,7,6,50.0,NO
1.0,3,2.0,0,5,0,3.0,NO
1.0,1,2.0,1,1,1,2.0,NO
53.0,2,91.0,0,13,120,214.0,NO
30.0,1,64.0,0,20,28,115.0,NO
15.0,1,23.0,0,11,28,57.0,NO
18.0,1,59.0,0,11,91,83.0,NO
16.0,2,53.0,0,8,6,84.0,NO
6.0,1,8.0,0,2,10,19.0,NO
2.0,2,2.0,0,1,1,6.0,NO
7.0,4,8.0,0,4,15,23.0,NO
23.0,1,45.0,0,1,105,122.0,NO
16.0,2,36.0,4,6,15,91.0,YES
5.0,1,12.0,0,2,0,48.0,NO
2.0,1,9.0,0,4,1,14.0,NO
1.0,1,2.0,0,0,0,3.0,NO
5.0,1,10.0,0,2,1,36.0,NO
30.0,2,40.0,0,12,15,115.0,NO
16.0,2,52.0,0,12,21,109.0,NO
4.0,1,3.0,0,1,1,9.0,NO
1.0,1,8.0,0,3,0,6.0,NO
3.0,2,5.0,0,2,6,9.0,NO
28.0,1,84.0,0,29,105,146.0,YES
32.0,1,98.0,0,11,136,483.0,NO
13.0,1,34.0,0,8,28,89.0,NO
2.0,2,7.0,0,2,3,12.0,NO
1.0,1,2.0,0,0,0,3.0,NO
9.0,2,46.0,0,9,21,69.0,NO
139.0,1,185.0,0,7,15,373.0,YES
6.0,2,11.0,0,1,1,26.0,NO
33.0,1,56.0,0,15,105,313.0,NO
2.0,1,22.0,0,6,1,57.0,NO
5.0,1,4.0,0,3,1,15.0,NO
60.0,2,150.0,0,23,91,303.0,YES
5.0,2,16.0,0,5,3,27.0,NO
1.0,3,1.0,0,1,0,3.0,NO
10.0,1,22.0,0,3,36,46.0,NO
18.0,1,18.0,1,6,21,72.0,NO
32.0,1,44.0,0,6,28,89.0,YES
4.0,1,12.0,0,8,1,27.0,NO
8.0,2,27.0,0,8,3,33.0,NO
92.0,3,124.0,4,120,2485,294.0,NO
10.0,1,33.0,0,11,15,138.0,YES
11.0,1,13.0,0,1,6,58.0,NO
7.0,1,18.0,0,5,15,46.0,NO
69.0,1,119.0,0,13,105,313.0,YES
8.0,1,31.0,0,4,6,122.0,NO
6.0,1,8.0,0,3,15,19.0,NO
7.0,3,7.0,0,5,3,19.0,NO
2.0,1,3.0,0,2,1,9.0,NO
89.0,1,206.0,0,34,703,464.0,YES
1.0,1,1.0,0,0,0,3.0,NO
11.0,1,26.0,1,8,10,56.0,NO
10.0,1,2.0,0,1,0,11.0,NO
6.0,1,8.0,0,2,3,24.0,NO
3.0,1,3.0,0,1,1,9.0,NO
14.0,1,30.0,2,13,45,49.0,NO
33.0,3,70.0,0,11,36,137.0,NO
48.0,1,25.0,0,3,36,157.0,NO
33.0,1,77.0,0,19,190,257.0,NO
18.0,3,17.0,0,2,28,49.0,NO
14.0,1,30.0,0,11,10,58.0,NO
222.0,2,851.0,0,65,780,1090.0,NO
4.0,1,11.0,0,2,1,19.0,NO
7.0,4,7.0,0,22,21,21.0,NO
12.0,1,37.0,0,12,21,70.0,NO
9.0,2,23.0,2,10,28,47.0,NO
3.0,1,23.0,0,11,3,60.0,NO
3.0,1,4.0,0,2,3,10.0,NO
25.0,1,43.0,0,3,55,124.0,NO
1.0,1,2.0,0,0,0,3.0,NO
3.0,2,5.0,0,2,6,9.0,NO
4.0,2,21.0,0,4,1,54.0,NO
11.0,1,32.0,2,4,21,50.0,NO
8.0,2,12.0,0,5,28,29.0,NO
4.0,1,9.0,0,2,0,17.0,NO
3.0,2,5.0,0,1,6,9.0,NO
12.0,1,12.0,0,3,66,35.0,NO
8.0,1,14.0,0,2,21,38.0,NO
2.0,2,7.0,0,3,1,12.0,NO
5.0,1,14.0,0,4,10,27.0,NO
7.0,4,10.0,0,5,10,26.0,YES
41.0,1,79.0,0,9,10,201.0,NO
8.0,2,12.0,0,2,3,64.0,NO
13.0,1,15.0,2,52,36,45.0,NO
3.0,2,9.0,0,2,0,13.0,NO
