@RELATION ant-1.3-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
11,4,42,2,14,29,395,NO
14,1,32,1,8,49,257,YES
3,2,9,0,1,0,58,NO
12,3,37,0,12,32,310,NO
6,3,21,0,4,1,136,NO
5,1,15,0,3,0,137,NO
4,4,32,0,6,6,325,NO
16,3,40,0,3,84,604,NO
4,5,21,0,5,0,87,NO
17,3,55,0,10,76,461,YES
9,3,29,0,9,0,168,NO
3,3,14,0,3,1,84,YES
10,3,41,0,5,21,360,NO
17,2,64,0,9,76,713,YES
5,1,11,5,12,8,59,NO
10,1,49,0,9,1,382,NO
22,4,72,0,16,165,675,YES
5,1,13,0,4,0,65,NO
4,1,7,0,2,6,20,NO
4,1,4,0,3,6,4,NO
9,1,15,4,8,18,98,NO
8,3,46,0,6,10,394,NO
22,4,104,1,15,185,1180,YES
2,1,2,0,4,1,2,NO
7,2,15,1,8,1,92,NO
2,1,6,0,1,0,39,NO
23,1,51,1,22,181,1407,NO
12,1,21,0,3,44,147,NO
3,3,17,0,5,0,91,NO
4,1,5,0,2,6,16,NO
3,1,16,0,8,3,125,NO
0,1,0,0,0,0,0,NO
9,6,33,0,7,28,163,NO
7,3,22,0,7,0,147,NO
16,3,56,2,24,0,353,YES
13,3,35,0,7,52,273,NO
14,1,82,0,7,65,1253,YES
6,3,33,0,10,0,198,YES
9,5,36,0,12,0,375,NO
5,3,18,0,4,0,107,NO
3,1,9,0,3,3,43,NO
27,3,83,0,11,291,658,YES
10,3,70,0,9,1,440,NO
24,3,80,0,27,182,693,NO
6,2,11,0,3,13,68,NO
14,3,35,0,5,63,307,NO
5,4,9,0,1,10,81,NO
2,1,29,0,5,0,176,NO
2,2,23,0,9,1,204,NO
5,1,5,0,10,10,5,NO
5,1,17,0,7,0,75,NO
12,3,37,11,18,0,164,NO
2,2,17,0,8,1,97,NO
17,1,73,0,19,112,502,YES
1,2,3,0,9,0,14,NO
18,4,49,0,8,19,579,NO
23,3,96,0,10,175,1034,NO
42,4,74,1,19,741,550,NO
5,1,20,0,4,0,144,NO
3,3,6,0,2,1,29,NO
7,1,7,0,6,21,7,NO
3,1,3,0,15,3,3,NO
11,3,37,0,11,11,285,NO
5,1,10,0,51,8,69,NO
4,3,32,0,4,2,215,NO
9,1,25,0,8,10,114,YES
11,2,15,0,7,13,97,NO
4,2,11,0,1,0,68,NO
5,1,12,0,16,4,55,NO
8,4,65,0,12,2,583,NO
13,4,55,0,7,30,590,NO
8,3,40,0,3,10,271,NO
6,1,26,0,7,0,185,NO
4,1,4,0,5,6,4,NO
8,4,34,0,7,6,626,YES
21,1,77,0,25,162,566,YES
6,5,33,1,6,7,164,NO
5,3,20,0,7,2,76,NO
71,1,186,0,103,2247,2193,YES
4,3,17,0,3,4,152,NO
8,1,25,0,6,0,169,NO
3,1,25,0,9,1,277,NO
9,5,20,0,10,4,110,NO
17,3,64,1,12,52,642,NO
0,1,0,0,1,0,24,NO
31,1,65,0,6,243,747,NO
21,1,35,0,2,38,617,NO
3,1,9,1,5,0,47,NO
15,3,37,0,3,41,437,NO
13,1,13,0,4,78,13,NO
10,1,81,4,17,5,743,YES
8,1,14,0,1,28,274,NO
6,3,25,0,4,11,157,NO
8,3,32,0,7,8,300,NO
2,2,19,0,9,1,120,NO
8,3,25,0,8,14,157,NO
19,3,56,1,18,97,406,NO
5,1,18,0,1,0,96,NO
22,3,77,0,17,95,439,NO
19,1,46,0,23,65,448,NO
19,4,69,0,8,91,632,YES
5,4,45,0,8,6,261,NO
21,1,47,0,9,48,277,YES
5,1,35,0,1,4,354,NO
4,3,42,0,8,2,242,NO
8,3,55,0,6,24,643,NO
3,1,3,0,1,3,3,NO
11,1,17,1,8,41,93,NO
3,1,15,0,2,0,100,NO
4,1,5,0,4,0,24,NO
2,1,6,0,0,1,45,NO
14,3,33,0,6,65,404,NO
6,3,24,0,4,5,153,NO
14,5,43,0,10,15,168,NO
19,1,47,0,18,97,273,YES
3,2,18,0,8,3,132,NO
19,1,23,34,78,119,125,NO
7,4,32,0,11,0,189,NO
4,3,15,0,6,0,82,NO
8,4,35,0,6,4,265,NO
65,3,155,0,21,1670,1504,NO
14,4,28,0,99,0,153,NO
14,1,63,0,24,63,822,YES
4,2,16,0,3,0,59,NO
27,1,63,0,3,297,527,NO
