@RELATION camel-1.2-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
9,0,24,0,5,0,213,NO
27,1,27,0,6,351,27,YES
9,1,18,0,3,30,82,NO
7,1,50,0,27,7,198,NO
8,2,28,0,10,0,224,YES
4,1,12,0,9,2,52,NO
4,0,17,0,10,2,71,NO
2,1,5,0,2,1,22,YES
18,1,18,0,116,153,18,NO
9,1,20,0,3,12,100,NO
7,2,17,0,3,0,66,NO
7,2,11,0,11,15,44,YES
13,2,37,0,12,42,175,YES
6,4,31,0,9,5,143,NO
20,2,74,1,16,68,537,YES
2,4,7,6,8,0,23,YES
6,3,15,0,8,15,42,YES
14,2,25,0,4,31,140,YES
2,5,6,0,2,0,22,NO
7,2,25,0,7,0,153,YES
3,2,10,0,4,3,32,YES
19,2,32,0,22,133,174,NO
20,1,21,0,2,190,50,NO
8,1,32,0,7,28,237,YES
5,1,6,3,4,6,24,NO
6,2,16,0,5,7,59,NO
3,2,5,0,1,3,12,NO
19,1,38,15,32,139,216,YES
0,1,0,0,1,0,0,NO
19,1,35,1,7,137,183,NO
6,1,7,0,6,15,14,YES
3,1,6,0,4,0,33,YES
0,1,0,0,1,0,0,NO
2,1,5,0,3,1,17,NO
14,1,18,0,6,61,81,NO
20,1,54,2,101,168,352,NO
18,1,44,0,9,85,242,YES
4,4,8,15,49,6,21,YES
6,1,10,0,4,1,50,NO
2,1,19,0,2,1,121,YES
9,2,16,0,4,0,122,NO
9,2,14,0,11,26,57,YES
5,1,10,0,6,2,44,NO
3,2,4,0,5,3,10,YES
3,1,3,0,4,3,3,NO
11,3,22,0,6,41,99,NO
10,4,19,0,4,7,120,NO
3,2,5,0,1,3,12,NO
6,4,17,0,6,0,85,NO
12,2,16,0,7,46,83,NO
9,2,23,0,40,32,240,YES
1,0,4,0,5,0,9,NO
22,1,42,0,2,189,182,YES
4,1,8,2,4,0,28,YES
1,1,2,0,0,0,22,NO
22,3,65,0,20,151,401,YES
3,1,15,0,2,3,63,NO
7,2,17,0,6,9,75,YES
7,3,13,0,7,0,41,NO
5,1,5,0,5,10,5,YES
2,5,7,0,2,0,25,NO
37,3,61,0,21,598,335,YES
3,1,5,0,4,3,18,NO
