@RELATION ivy-2.0-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
28,1,82,0,32,374,926,YES
6,1,7,2,3,3,36,NO
4,2,6,0,5,4,21,NO
4,1,4,0,9,6,4,NO
1,1,1,0,8,0,1,NO
23,2,67,0,150,235,653,YES
5,1,26,0,8,0,127,NO
25,4,73,0,18,200,666,YES
7,1,13,0,2,0,86,NO
21,1,22,0,7,154,141,NO
2,2,4,0,2,1,11,NO
8,1,21,0,10,28,130,NO
32,4,81,0,16,406,504,NO
13,1,44,2,4,70,208,NO
19,1,42,0,8,99,329,YES
2,1,21,0,6,1,144,NO
1,1,1,0,4,0,1,NO
25,1,58,0,10,234,257,NO
8,1,29,0,12,0,126,NO
5,1,11,1,26,0,41,NO
3,1,8,2,7,3,34,NO
4,3,10,0,6,4,27,NO
5,1,6,1,6,0,32,NO
2,1,3,0,4,1,8,NO
1,1,1,0,4,0,1,NO
10,1,19,0,27,15,138,NO
12,5,25,0,3,66,67,NO
5,1,21,0,14,0,75,NO
54,2,137,0,17,1241,1589,NO
5,3,9,0,4,2,61,NO
37,6,120,0,26,570,1123,YES
10,1,15,3,9,29,67,NO
8,2,32,0,6,20,221,NO
2,2,5,2,4,0,19,NO
20,1,29,0,8,108,188,NO
3,1,4,2,3,1,16,NO
3,1,23,0,9,0,125,NO
8,1,104,0,32,8,955,YES
8,2,52,0,16,16,336,NO
7,3,20,0,5,9,110,NO
3,5,38,2,16,3,159,NO
5,6,24,0,6,2,88,NO
9,3,71,0,20,36,476,NO
16,1,123,0,27,120,1851,NO
4,1,22,0,5,6,100,NO
23,5,74,1,10,189,608,NO
7,1,34,0,7,15,288,NO
10,4,38,0,10,3,207,NO
3,2,19,0,4,0,57,NO
1,1,1,0,5,0,1,NO
11,1,25,0,4,23,215,NO
4,1,6,0,2,6,23,NO
11,1,15,0,2,17,95,NO
18,1,83,0,23,151,638,NO
11,5,27,2,7,49,85,NO
4,2,13,0,4,0,41,NO
12,2,29,0,7,30,171,NO
5,5,15,0,6,10,48,NO
35,4,103,0,16,429,824,YES
11,1,19,0,6,1,67,NO
74,1,190,0,40,2181,1443,YES
9,2,39,0,19,34,178,YES
13,1,37,7,28,44,172,NO
5,1,13,1,3,4,48,NO
4,1,17,0,11,4,77,NO
