@RELATION jedit-4.3-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
2,3,16,0,9,1,113,NO
4,3,8,0,1,4,82,NO
18,1,55,0,16,0,687,YES
6,6,36,0,4,1,464,NO
4,1,29,0,26,6,213,NO
5,2,6,2,22,10,26,NO
5,1,13,1,14,10,34,NO
51,4,125,0,22,1041,1243,NO
2,2,11,0,11,1,53,NO
89,2,269,0,141,3550,2699,NO
2,2,7,0,7,1,32,NO
4,1,15,0,2,0,54,NO
9,1,14,3,16,28,50,NO
11,4,26,0,0,55,173,NO
7,1,15,0,8,1,62,NO
8,1,8,0,6,28,8,NO
4,1,9,0,4,0,49,NO
9,2,56,4,16,24,601,NO
18,2,36,0,6,153,84,NO
3,1,3,0,7,3,3,NO
22,1,114,0,34,219,2003,NO
5,1,5,0,7,10,5,NO
4,1,12,0,3,0,37,NO
4,2,6,0,4,2,26,NO
8,1,17,0,16,22,160,NO
1,1,2,0,12,0,16,NO
5,1,6,1,3,10,12,NO
5,2,25,0,4,2,301,NO
43,1,116,4,52,805,962,NO
2,2,4,0,1,1,14,NO
3,1,4,0,4,3,23,NO
4,1,22,0,3,6,105,NO
17,1,27,0,5,10,709,NO
6,1,20,0,3,0,120,NO
75,1,156,2,58,2419,1888,NO
5,7,57,0,11,0,438,NO
59,1,163,0,73,1389,1844,NO
7,3,73,0,16,1,828,NO
4,3,43,0,10,4,405,NO
13,1,13,0,2,78,13,NO
14,1,63,0,9,0,721,NO
17,5,105,0,28,100,590,NO
4,1,54,0,7,4,318,NO
25,1,60,1,9,62,496,NO
19,1,56,0,17,157,401,NO
22,1,47,3,24,231,322,NO
33,1,67,4,47,444,529,NO
16,1,55,0,167,58,485,NO
4,1,5,0,3,6,15,NO
13,2,35,0,5,6,281,NO
3,1,4,0,13,3,16,NO
7,7,41,1,7,21,220,NO
2,2,7,0,10,1,79,NO
1,5,10,0,10,0,23,NO
2,1,3,0,3,0,12,NO
2,5,24,0,4,0,148,NO
5,2,35,0,12,6,221,NO
2,1,2,0,5,1,2,NO
8,6,31,0,6,20,121,NO
5,2,10,0,11,2,128,NO
21,5,99,0,20,130,596,NO
8,1,43,0,15,14,378,NO
10,1,37,0,28,45,218,NO
12,2,72,0,5,0,525,NO
13,2,20,0,1,30,115,NO
22,1,52,2,21,201,411,NO
21,1,67,0,30,0,411,NO
5,2,22,0,7,4,155,NO
2,1,4,0,2,1,55,NO
4,1,8,0,5,2,239,NO
3,1,3,0,28,3,3,NO
8,2,55,0,11,12,388,NO
2,1,2,0,6,1,2,NO
10,1,44,0,10,23,421,NO
4,2,22,0,15,6,119,NO
3,1,3,0,5,3,3,NO
17,1,82,0,3,106,2224,NO
6,2,16,0,14,15,113,NO
