@RELATION poi-2.0-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
23,1,46,0,5,123,668,NO
12,2,23,0,6,46,122,NO
15,2,35,0,6,41,363,NO
11,2,21,0,5,43,117,NO
4,1,17,0,8,0,116,YES
9,2,13,0,4,36,60,NO
20,2,37,0,6,88,348,NO
30,1,104,0,20,87,1151,YES
14,2,33,0,6,65,229,NO
30,1,53,0,3,331,767,NO
14,2,25,0,6,77,212,NO
12,1,37,0,14,66,494,YES
12,2,22,0,6,46,128,NO
4,1,4,0,3,6,4,NO
23,2,37,0,7,219,345,NO
14,2,26,0,8,69,187,NO
29,2,53,0,7,100,556,YES
4,1,4,0,1,6,4,NO
0,1,0,0,0,0,7,NO
14,2,26,0,7,57,195,NO
25,2,41,0,11,258,389,NO
1,1,1,0,4,0,1,NO
2,1,4,0,3,0,14,NO
11,2,16,0,4,55,96,NO
15,2,34,0,8,87,230,NO
17,2,41,0,8,66,319,NO
23,2,36,0,9,221,350,NO
16,2,31,2,6,102,9849,YES
20,2,35,0,5,114,360,NO
13,2,24,0,3,64,143,NO
4,1,4,0,3,6,4,NO
12,2,23,0,6,46,122,NO
1,4,2,0,124,0,5,NO
7,2,10,0,3,9,69,NO
1,1,2,0,1,0,6,NO
14,2,30,0,3,35,173,NO
26,1,42,3,9,325,693,YES
9,2,22,0,5,2,202,NO
3,1,5,0,3,3,43,NO
3,1,10,0,7,0,78,NO
12,2,22,0,5,46,127,NO
4,2,11,0,5,4,108,NO
1,1,1,0,9,0,1,NO
31,2,44,0,7,171,406,NO
36,2,57,0,6,196,744,NO
11,1,17,0,7,9,85,NO
3,1,9,0,1,0,86,NO
13,2,23,0,5,66,140,NO
17,1,95,0,36,106,461,NO
62,2,108,0,14,1491,1284,NO
19,2,35,0,5,109,265,NO
9,2,17,0,9,30,55,NO
2,1,8,0,6,1,28,YES
20,2,35,0,5,114,359,NO
9,2,13,0,4,36,58,NO
6,1,22,0,7,3,111,YES
25,2,39,0,6,106,487,NO
8,1,12,0,2,8,129,NO
25,2,51,0,9,228,419,NO
22,2,46,0,7,105,422,NO
11,1,21,0,5,9,92,NO
0,1,0,0,0,0,4,NO
16,3,28,0,4,120,104,NO
10,2,14,0,4,45,67,YES
12,1,30,0,7,48,322,YES
0,1,0,0,4,0,0,NO
15,2,25,0,4,87,143,NO
5,1,6,0,5,2,36,NO
12,2,24,0,5,46,145,NO
10,2,19,0,5,5,223,NO
7,1,51,0,17,3,282,NO
9,2,13,0,4,36,62,NO
4,1,24,0,2,4,146,NO
12,2,23,0,6,46,122,NO
25,2,74,0,13,94,490,NO
6,1,45,0,17,5,247,YES
7,2,14,0,6,9,48,NO
4,2,12,0,1,4,44,NO
12,2,18,0,6,54,222,NO
0,1,0,0,1,0,5,NO
48,2,64,0,7,162,891,NO
14,2,26,0,8,69,188,NO
17,2,32,0,9,74,224,NO
5,2,6,18,21,10,13,NO
11,1,21,0,5,9,92,NO
20,2,32,0,5,114,357,NO
24,2,42,0,6,0,423,NO
22,2,35,0,8,169,316,YES
5,1,6,0,2,0,43,NO
9,1,17,0,4,0,234,NO
38,2,61,0,6,367,807,NO
4,1,6,4,5,6,15,NO
11,2,29,0,7,43,154,NO
11,2,21,0,5,43,117,NO
5,2,20,0,3,0,138,YES
1,1,1,0,2,0,1,NO
1,1,1,0,13,0,1,NO
10,2,21,0,8,0,156,NO
8,2,20,0,5,4,148,NO
19,3,29,0,4,171,128,YES
1,1,1,0,4,0,1,NO
12,2,22,0,6,46,128,NO
8,2,37,1,11,0,278,NO
22,2,51,0,9,89,417,NO
12,2,24,0,5,46,141,NO
18,1,19,0,32,107,170,NO
10,2,19,0,0,0,86,NO
26,2,46,0,6,153,501,NO
11,2,21,0,5,49,108,NO
84,1,269,0,87,2582,3213,YES
6,1,8,0,2,15,139,NO
10,2,14,0,4,45,67,YES
23,2,24,0,2,253,49,YES
4,4,8,0,3,6,20,NO
11,2,21,0,5,49,109,NO
14,2,24,0,5,69,155,NO
10,1,14,2,6,19,71,NO
10,2,18,0,4,33,89,NO
1,1,2,0,0,0,51,NO
37,2,54,0,10,348,661,NO
12,2,22,0,5,54,117,NO
12,2,24,0,4,46,141,NO
22,1,56,1,14,197,378,YES
20,2,32,0,6,114,361,NO
2,1,2,0,5,1,2,NO
14,2,34,0,8,41,225,YES
13,2,32,0,8,52,1216,YES
8,1,28,0,4,0,426,NO
35,1,43,0,156,595,379,NO
7,2,8,0,2,21,26,NO
2,1,2,0,5,1,2,NO
11,2,21,0,5,49,106,NO
2,1,16,0,3,1,231,NO
5,1,21,0,3,0,149,NO
24,2,41,0,6,38,429,NO
11,2,21,0,6,49,106,NO
10,1,62,0,15,15,785,NO
54,1,140,0,32,651,1806,YES
8,1,19,0,8,0,333,NO
