@RELATION synapse-1.1-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
7,1,38,1,10,13,230,NO
9,1,9,0,25,36,9,YES
3,2,31,0,11,3,142,NO
2,2,9,0,7,1,20,NO
12,2,37,0,10,14,390,NO
2,1,14,0,12,0,77,YES
8,1,65,0,14,20,552,YES
3,3,15,0,7,3,46,NO
2,3,28,0,5,1,156,NO
7,1,8,0,1,0,104,NO
10,2,35,7,14,0,173,NO
5,1,18,0,11,10,126,NO
2,1,2,0,9,1,2,NO
4,1,4,0,7,6,4,NO
6,1,35,0,10,3,145,NO
1,1,2,0,0,0,4,NO
26,1,31,0,16,245,193,NO
4,3,24,0,11,4,188,NO
22,1,22,0,2,231,22,NO
3,1,27,0,11,1,166,NO
5,1,17,0,8,0,124,NO
8,2,32,0,9,0,219,NO
3,1,4,0,2,0,20,NO
8,1,29,0,10,20,125,YES
16,1,29,0,4,58,199,YES
6,1,18,0,4,13,57,NO
5,1,28,0,11,8,122,NO
10,1,19,0,8,9,157,NO
2,1,2,0,8,1,2,NO
1,1,1,0,15,0,1,YES
6,1,6,0,11,15,6,NO
5,3,19,0,12,6,159,NO
6,1,22,0,6,0,154,NO
5,2,38,0,9,4,318,NO
3,3,29,0,12,3,151,NO
3,3,8,0,2,3,60,NO
53,1,144,0,37,1172,1164,YES
3,2,32,0,10,3,212,YES
5,1,18,17,24,10,142,NO
14,1,26,0,15,29,159,NO
8,1,35,0,13,20,152,YES
2,1,4,0,6,1,80,NO
4,1,31,0,4,0,179,NO
2,2,30,2,14,1,377,NO
5,1,47,1,21,0,242,NO
8,3,30,0,3,26,208,NO
4,3,9,0,5,4,30,NO
6,1,32,0,17,11,244,YES
48,1,48,0,71,1128,48,NO
8,1,56,0,11,20,468,YES
3,4,13,0,4,1,35,YES
4,3,30,0,10,2,226,NO
5,1,31,0,12,0,132,NO
61,1,154,0,55,540,940,NO
15,2,50,0,16,59,231,NO
12,1,64,0,29,38,394,YES
4,1,21,0,22,4,112,NO
4,2,29,0,12,2,169,NO
1,1,1,0,5,0,1,NO
5,1,26,0,6,0,288,NO
4,1,57,0,17,2,503,YES
7,1,32,3,19,9,211,NO
4,2,30,0,14,0,187,NO
6,2,20,0,10,0,106,NO
4,2,36,0,10,2,386,YES
1,1,2,0,0,0,7,NO
3,3,16,0,7,3,70,NO
7,1,22,0,9,5,114,NO
3,2,22,0,9,3,125,NO
10,1,53,0,15,25,537,YES
7,1,17,0,9,13,69,YES
47,1,105,0,42,589,933,YES
4,3,9,0,5,4,30,NO
2,2,15,7,14,1,46,NO
2,3,15,0,5,1,77,NO
4,2,27,0,10,4,148,NO
5,1,14,0,7,0,128,NO
4,1,23,0,11,2,101,NO
4,1,25,0,20,2,174,YES
1,1,1,0,13,0,1,YES
15,1,77,0,26,99,445,YES
2,1,15,0,19,1,63,YES
3,3,15,0,7,3,46,NO
4,1,8,0,8,4,32,YES
14,3,48,0,31,37,389,NO
3,2,28,0,12,3,137,NO
4,2,16,0,6,2,97,NO
24,2,87,0,28,150,595,YES
3,5,6,0,6,3,18,YES
3,1,19,0,14,1,93,YES
4,1,26,0,13,2,147,YES
3,4,6,0,82,3,17,NO
6,1,13,0,11,15,35,NO
3,1,28,0,11,1,148,NO
2,2,14,0,8,1,46,NO
7,1,29,0,9,0,265,NO
2,2,16,0,11,1,50,NO
3,2,16,0,10,3,56,YES
2,3,23,0,10,1,114,NO
2,3,4,0,7,1,9,NO
3,2,27,0,9,3,152,YES
4,2,34,0,11,2,191,NO
3,2,29,0,11,3,192,NO
8,1,63,0,26,20,281,YES
2,1,2,0,5,1,2,NO
7,1,38,0,11,0,359,NO
15,1,38,0,11,81,177,YES
6,1,12,0,7,1,56,NO
2,1,13,0,1,0,57,NO
4,2,24,0,11,6,140,NO
8,1,8,0,4,28,8,NO
3,2,26,0,9,3,148,NO
3,2,22,0,9,3,119,NO
16,2,103,0,30,48,932,YES
11,2,65,0,11,41,561,NO
3,2,24,0,8,3,114,NO
17,2,58,0,15,100,446,YES
7,1,42,0,7,9,558,NO
9,2,49,0,9,4,564,YES
17,2,53,0,14,78,359,YES
8,1,8,0,10,28,8,NO
8,2,62,0,20,0,523,YES
3,1,3,0,4,3,3,NO
9,1,96,0,39,30,556,YES
11,3,79,0,17,1,563,NO
3,1,8,0,5,1,21,YES
9,3,27,0,10,0,281,NO
3,1,4,1,2,0,17,NO
10,1,22,0,7,11,169,YES
3,1,3,0,4,3,3,NO
3,2,16,0,10,3,56,NO
3,3,23,0,9,3,100,NO
6,1,26,0,7,5,156,NO
4,3,9,0,5,4,31,NO
8,1,38,0,17,20,191,YES
4,2,30,0,10,4,141,YES
4,2,29,0,10,2,274,NO
4,2,19,0,7,2,66,NO
3,1,7,0,6,0,76,NO
4,3,13,0,9,6,39,NO
25,2,61,0,15,234,396,YES
4,1,22,0,13,2,126,NO
5,1,37,0,15,2,372,YES
5,1,38,0,15,2,374,YES
14,1,27,0,8,35,165,YES
2,1,8,0,11,0,42,YES
15,1,33,17,22,7,229,NO
2,3,5,0,5,1,14,NO
2,1,2,0,10,1,2,NO
4,2,29,0,9,4,141,NO
4,3,9,0,5,4,31,NO
3,3,15,0,7,3,46,NO
3,2,24,0,11,3,108,NO
18,1,46,0,16,87,260,YES
4,2,23,0,10,4,182,NO
1,1,1,0,4,0,1,NO
4,3,26,0,11,4,193,NO
3,3,16,0,7,3,74,NO
5,1,21,0,10,0,159,NO
5,1,66,0,22,4,493,NO
3,3,12,0,5,3,33,NO
6,1,31,0,6,13,177,NO
5,1,10,0,12,0,46,NO
