@RELATION xerces-1.2-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
6,3,10,3,0,0,54,NO
63,2,225,3,27,793,5680,NO
1,5,2,0,1,0,6,YES
21,4,25,0,2,210,120,NO
25,3,67,3,13,34,1120,YES
3,1,3,0,26,3,17,NO
1,1,1,0,0,0,1,YES
3,4,14,0,2,3,60,NO
7,4,10,0,3,21,39,NO
12,4,22,0,3,66,97,NO
17,1,54,0,8,134,867,NO
25,2,68,5,14,34,1120,YES
8,1,16,1,0,14,117,YES
18,2,35,0,6,0,2128,NO
2,3,3,0,11,0,13,NO
10,1,10,0,22,45,51,NO
22,1,48,1,9,41,579,YES
7,4,10,0,3,21,39,NO
7,1,9,0,1,13,720,NO
12,1,12,0,0,66,12,NO
4,3,9,0,6,0,583,NO
18,1,18,0,6,153,18,NO
35,4,43,0,3,595,200,NO
14,1,14,0,2,91,14,NO
9,1,26,0,11,16,191,NO
8,1,8,0,0,28,8,YES
6,1,12,0,8,3,90,NO
7,4,14,0,2,21,42,NO
14,1,50,0,5,91,486,NO
2,2,18,0,9,0,239,NO
3,4,6,0,2,3,17,NO
49,1,121,2,22,622,1192,NO
12,1,12,0,0,66,12,NO
0,1,0,0,8,0,0,NO
10,2,29,0,7,35,240,NO
34,2,74,0,14,0,2890,NO
42,1,52,0,11,695,498,YES
4,1,4,0,0,6,4,NO
4,1,4,0,0,6,4,NO
41,2,77,0,13,280,1231,NO
8,1,27,1,0,28,128,YES
2,1,2,0,2,1,2,NO
11,2,42,0,8,33,327,NO
16,1,16,0,0,120,16,YES
7,2,12,1,5,15,80,YES
17,2,36,0,5,128,263,NO
4,1,6,0,6,0,73,NO
7,4,10,0,3,21,39,NO
6,1,6,0,0,15,6,NO
2,1,2,0,0,1,2,NO
5,4,10,0,3,10,52,NO
5,4,10,0,2,10,28,NO
18,2,58,0,7,141,1937,NO
42,1,66,0,3,375,1992,NO
5,4,11,0,2,10,30,NO
2,1,2,0,0,1,2,NO
11,1,48,0,23,33,849,NO
1,1,1,0,0,0,1,YES
2,1,2,0,2,1,2,NO
5,1,7,0,6,10,107,NO
3,4,7,0,2,3,19,NO
7,1,7,0,0,21,7,YES
1,1,2,0,0,0,8,NO
26,1,40,0,0,0,723,NO
30,1,88,0,0,177,887,NO
2,1,2,0,0,1,2,NO
10,1,10,0,2,45,10,NO
16,4,46,2,13,102,288,YES
8,1,8,0,0,28,8,YES
2,1,2,0,2,1,2,NO
38,1,77,2,28,569,2197,NO
10,1,10,0,0,45,13,YES
5,3,7,2,2,10,20,NO
6,2,20,0,7,9,136,NO
13,4,16,0,3,78,72,NO
8,4,12,0,19,0,64,NO
0,1,0,0,2,0,0,NO
4,1,4,0,0,6,4,NO
3,4,6,0,2,3,17,NO
15,4,26,1,9,57,200,NO
3,1,3,0,0,3,3,NO
20,1,29,0,1,58,547,NO
9,4,12,0,3,36,50,NO
1,1,2,0,0,0,9,NO
4,1,4,0,2,6,4,NO
1,4,2,0,3,0,6,NO
10,4,29,1,6,43,115,NO
29,4,70,4,17,124,598,YES
26,1,26,0,0,325,26,NO
6,3,21,2,9,15,90,YES
45,2,63,0,13,862,962,NO
36,1,69,0,0,246,436,NO
5,1,14,0,2,0,1114,NO
9,4,12,0,3,36,50,NO
18,1,19,0,0,153,40,NO
11,1,11,0,0,55,11,NO
8,2,14,2,9,18,69,NO
27,4,35,0,2,351,171,NO
4,3,23,0,39,4,580,NO
22,1,39,0,6,89,1528,NO
0,1,0,0,1,0,0,NO
3,4,6,0,2,3,17,NO
1,4,2,1,0,0,11,NO
2,1,2,0,0,1,2,NO
1,4,2,1,0,0,24,YES
34,3,83,0,59,541,1017,NO
2,1,2,0,22,1,5,NO
1,1,2,0,0,0,121,NO
6,1,6,0,0,15,6,NO
6,1,6,0,2,15,6,NO
3,1,3,0,0,3,3,YES
15,1,15,0,0,105,15,NO
5,1,14,0,3,0,236,NO
2,1,2,0,0,1,2,YES
18,1,28,1,6,47,357,NO
3,3,4,0,0,1,247,NO
4,1,9,0,3,2,395,NO
10,1,15,0,0,37,64,NO
8,1,8,0,0,28,8,NO
2,1,2,0,2,1,2,NO
3,4,6,0,2,3,17,NO
1,1,1,0,0,0,1,NO
2,3,4,0,0,1,9,YES
14,1,14,0,0,91,14,NO
3,1,14,0,0,3,102,NO
11,1,16,0,38,25,191,NO
53,1,143,0,29,1146,6637,NO
1,5,2,1,1,0,8,YES
1,1,1,0,3,0,1,NO
2,1,2,0,2,1,2,NO
6,3,18,1,4,3,192,YES
17,4,27,0,2,136,123,NO
9,2,19,0,6,0,120,NO
5,4,8,0,3,10,28,NO
29,1,37,0,8,0,1200,NO
4,4,20,0,6,0,103,NO
2,2,6,0,1,1,13,YES
3,4,7,0,2,3,19,NO
10,2,43,0,8,25,592,YES
10,1,15,1,0,45,53,YES
16,1,16,0,0,120,16,NO
12,1,22,0,3,0,332,NO
2,1,2,0,0,1,2,NO
18,1,18,0,0,153,18,NO
6,2,8,0,7,0,62,YES
7,4,10,0,3,21,39,NO
10,1,16,0,7,0,471,NO
18,2,54,0,7,141,1405,NO
1,4,2,0,0,0,5,NO
35,1,35,0,0,595,35,NO
19,1,19,0,0,171,19,NO
15,4,18,0,3,105,83,NO
41,2,75,0,13,0,7413,YES
23,4,26,0,2,253,127,NO
10,2,39,0,6,37,967,NO
11,1,13,1,3,35,87,YES
4,1,4,0,0,6,4,NO
6,1,18,2,5,13,127,YES
5,1,6,14,17,10,13,NO
24,1,39,6,10,234,268,NO
2,1,2,0,0,1,2,YES
14,1,15,0,0,81,75,NO
62,1,130,0,24,753,2272,YES
3,1,3,0,0,3,3,YES
9,4,12,0,3,36,50,NO
10,1,21,0,4,0,93,NO
15,1,16,0,0,105,34,NO
5,1,21,1,4,0,264,NO
4,2,8,0,2,4,31,NO
6,1,6,0,0,15,6,NO
7,1,9,0,1,13,208,YES
8,2,32,0,2,10,223,NO
0,1,0,0,2,0,0,NO
2,1,2,0,0,1,2,NO
9,1,22,0,9,18,366,NO
45,1,108,0,23,602,2550,NO
1,1,1,0,16,0,1,NO
5,4,8,0,2,10,28,NO
0,1,0,0,0,0,0,YES
8,1,8,0,2,28,8,NO
9,4,12,0,3,36,50,NO
61,3,109,0,25,1294,2553,NO
3,4,7,0,2,3,19,NO
22,1,22,0,0,231,22,NO
7,4,10,0,3,21,39,NO
11,4,14,0,3,55,61,NO
5,3,10,0,3,10,76,NO
3,1,5,0,1,0,224,NO
70,1,192,0,17,1069,7218,NO
20,1,20,0,0,190,20,NO
5,1,15,3,12,8,191,NO
7,4,10,0,3,21,39,NO
3,1,3,0,0,3,3,NO
5,1,5,0,0,10,5,YES
12,1,24,0,0,0,178,NO
4,3,13,0,6,0,84,NO
7,4,10,0,3,21,39,NO
5,1,10,0,2,4,185,NO
5,1,9,0,4,0,233,NO
10,2,38,0,6,13,1265,NO
16,1,16,0,0,120,16,NO
0,1,0,0,2,0,0,NO
41,1,85,0,4,0,2564,YES
1,4,2,0,0,0,5,NO
4,4,18,0,5,0,117,NO
12,1,19,0,9,24,855,NO
3,3,4,0,0,1,247,NO
2,1,2,0,0,1,2,NO
