@RELATION Eclipse_JDT_Core-NETmetrics

@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
8,16,56,28.5714283,1,12.5,19.77911568,65.88628387,20,0.714285731,2,3.571428537,1,0,0,0,1,100,4.216867447,100,0,0,0,0,8,16,56,28.5714283,1,12.5,19.77911568,65.88628387,20,0.714285731,2,3.571428537,4.94444418,0.618055522,0.209148899,0.110965982,0.228045315,8,339.2340393,197,360.9513245,0.001662664,79.90563202,0.008032128,1.723595858,0.197791159,0.362400919,0.002351718,0.000161259,0.02142811,0.002013569,0.95415163,0.502380669,0.277805507,0.12765035,277.651123,127.6451187,0.27848658,0.128029212,NO
1,0,0,0,1,100,2.008032084,100,0,0,0,0,1,0,0,0,1,100,2.008032084,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,77.65476227,20,284.8829651,0.000392961,0,0.001004016,0.394551873,0.020080321,0.286027074,0.000555815,0,0.001003009,0.007923817,0,0.874298632,0.001003016,0.199029416,1,199.1108398,0.001003009,0.199709967,NO
250,4034,62250,6.480321407,1,0.400000006,77.40963745,7.77296114,29108,0.935196817,4640.630859,7.454828739,236,3187,55460,5.746483803,1,0.423728824,75.90361786,8.515431404,26136.5,0.942535162,3161.943359,5.701304436,25,211,600,35.16666794,1,4,41.06425858,17.12013435,194.5,0.648333311,85.57683563,14.26280594,230.8742218,0.923496902,0.022080651,0.208571583,0.801061094,250,40687.37109,771,581.7836304,0.207319841,25600.01758,0.25100401,206.7262573,0.77409637,0.584120095,0.293238819,0.051663976,0.00135079,0.007996724,0.257723987,0.875451684,0.130679414,0.495088488,130.4167175,493.9844971,0.130809143,0.495470911,YES
11,46,110,41.81818008,1,9.090909004,45.28112411,40.01774597,32,0.581818163,4.233333111,3.848484755,6,7,30,23.33333397,2,33.33333206,21.88755035,52.78450394,11.5,0.766666651,2.5,8.333333015,6,20,30,66.66666412,1,16.66666603,41.46586227,49.93954086,5,0.333333343,0.5,1.666666627,6.654999733,0.604999959,0.134608626,0.149714366,0.107390329,11,3612.077637,451,407.0344238,0.018441178,14.62856293,0.011044176,18.35240936,0.452811241,0.408669114,0.026083702,2.95222E-05,0.001350358,0.007927601,0.257486314,0.874357998,0.092142411,0.279892653,92.03337097,279.6495361,0.092310302,0.280490994,NO
39,241,1482,16.2618084,1,2.56410265,50.10040283,19.00952339,620.5,0.837381899,152.5,10.29014874,2,1,2,50,1,50,1.706827283,77.27272797,0.5,0.5,0,0,37,236,1332,17.71771812,1,2.702702761,50,19.13177109,548,0.822822809,0,0,33.30833435,0.854059815,0.041522101,0.029321412,0.241988838,39,9526.821289,499,429.9512634,0.048624806,456.4799194,0.039156627,48.40430832,0.50100404,0.431677967,0.06877625,0.000921233,0.021373849,0.002010951,0.954032779,0.501732111,0.301913142,0.096628442,301.6622925,96.74701691,0.302570015,0.097038135,NO
3,3,6,50,1,33.33333206,3.012048244,81.08107758,1.5,0.5,0.5,8.333333015,2,2,2,100,1,50,3.012048244,85.7142868,0,0,0,0,2,1,2,50,1,50,2.911646605,93.54838562,0.5,0.5,0,0,1.625,0.541666687,0.634670973,0.354405671,0.243303567,3,51.49123764,30,276.3996277,0.000246023,0.921323538,0.003012048,0.261619031,0.030120483,0.27750966,0.000347981,1.85934E-06,0.020864757,0.002011589,0.952887774,0.501890242,0.209134385,0.102728173,209.254715,102.8223877,0.209884375,0.103131786,NO
16,69,240,28.75,1,6.25,26.20481873,19.8177681,85.5,0.712499976,24.36666679,10.15277767,11,20,110,18.18181801,1,9.090909004,24.69879532,26.14240265,45,0.818181813,30,27.27272797,9,31,72,43.05555725,1,11.11111069,15.46184731,22.12643623,20.5,0.569444418,8.583333015,11.92129612,11.2541666,0.703385413,0.088655174,0.068192206,0.137206733,16,873.5720215,261,364.2341309,0.004189087,32.85855484,0.016064256,4.438484669,0.262048185,0.365696907,0.005925159,6.63126E-05,0.021287965,0.002014824,0.953843474,0.502690792,0.266604602,0.163570836,266.4950562,163.4212189,0.26729694,0.163912952,NO
4,2,12,16.66666603,2,50,20.68273163,68.66666412,5,0.833333313,0,0,4,2,12,16.66666603,2,50,20.68273163,68.66666412,5,0.833333313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.099999905,0.774999976,0.27776739,0.005196391,0.052209325,4,886.7843018,206,354.0840149,0.004515619,6.136787891,0.004016064,4.505614281,0.206827313,0.355506033,0.006387014,1.23848E-05,0.001003009,0.007999486,0,0.87549597,0.001003016,0.284579545,1,284.3186951,0.001003009,0.285174221,NO
24,181,552,32.78985596,1,4.166666508,47.28915787,27.05341721,185.5,0.672101438,11.83297253,2.143654346,6,19,30,63.33333206,1,16.66666603,18.77510071,49.60212326,5.5,0.366666675,0.666666687,2.222222328,22,145,462,31.38528061,1,4.545454502,46.38554382,29.12988663,158.5,0.686147213,9.513924599,2.059291124,15.76768684,0.656986952,0.105461761,0.121815003,0.438467175,24,5811.367676,471,417.7012634,0.029647779,228.6887512,0.024096385,29.52666283,0.472891569,0.419378787,0.041934624,0.000461522,0.001350717,0.00790746,0.257683694,0.874035716,0.123400368,0.247312233,123.1667252,247.1994324,0.123537339,0.247943267,NO
8,8,56,14.28571415,3,37.5,18.67469788,62,24,0.857142866,9.333333015,16.66666603,6,6,30,20,2,33.33333206,17.57028198,63.8686142,12,0.800000012,0,0,2,0,2,0,2,100,2.510040045,96.15384674,1,1,0,0,6.625,0.828125,0.149179786,0.017556287,0.083164401,8,702.5244141,186,354.3510742,0.003534618,66.70776367,0.008032128,3.569418192,0.186746985,0.355774164,0.00499946,0.000134624,0.020376015,0.002015162,0.951734722,0.502774358,0.157409117,0.158230484,157.7363892,158.102356,0.158211023,0.158578083,NO
