@RELATION Eclipse_PDE_UI-NETmetrics

@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
8,11,56,19.6428566,1,12.5,5.681818008,50.59523773,22.5,0.803571403,13.5,24.1071434,4,2,12,16.66666603,2,50,1.804812789,65.85366058,5,0.833333313,0,0,4,4,12,33.33333206,1,25,5.147058964,60.62992096,4,0.666666687,0,0,5.6875,0.7109375,0.173855692,0.007442364,0.174835399,8,374.0796204,85,434.6438293,0.002470765,80.79121399,0.005347594,3.805081844,0.056818184,0.290537328,0.003494717,7.22473E-05,0.000775396,0.001387202,0.138594031,0.518800974,0.029515753,0.08597742,44.29564667,129.1422272,0.02958961,0.086267352,NO
1,0,0,0,1,100,1.537433147,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,1.537433147,100,0,0,0,0,1,1,1,1,0,1,149.0809326,23,390.3703003,0.001012531,0,0.000668449,1.516428947,0.015374332,0.260942727,0.001432152,0,0.001186261,0.000668003,0.43717736,0,0.06289313,0.000667993,94.52690125,1,0.063144222,0.000668003,NO
2,1,2,50,1,50,35.29411697,97.5970459,0.5,0.5,0,0,1,0,0,0,1,100,1.604278088,100,0,0,0,0,1,0,0,0,1,100,34.55882263,100,0,0,0,0,1,0.5,0.522235394,0.001090145,0.021800453,2,1896.109131,528,537.9613647,0.01290784,0,0.001336898,19.28693771,0.352941185,0.359599829,0.018257201,0,0.000668449,0.000670239,0.000668449,0.003338227,0.001336051,0.002225507,2,3.333333492,0.001336005,0.002226676,NO
2,1,2,50,1,50,0.334224612,71.42857361,0.5,0.5,0,0,1,0,0,0,1,100,0.334224612,100,0,0,0,0,1,0,0,0,1,100,0.133689836,100,0,0,0,0,1,0.5,0.922500014,0.035043228,0.349999994,2,52.50611115,5,385.3908386,0.000344433,0,0.001336898,0.53408432,0.003342246,0.257614195,0.000487175,0,0.000668449,0.000668449,0.000668449,0.000668449,0.001336043,0.001336045,2,2,0.001336005,0.001336005,NO
5,7,20,35,1,20,1.604278088,34.78260803,6.5,0.649999976,0.5,2.5,1,0,0,0,1,100,1.002673745,100,0,0,0,0,4,4,12,33.33333206,1,25,1.537433147,42.59259415,4,0.666666687,0,0,2.599999905,0.519999981,0.28964448,0.006989123,0.200000003,5,7.459126472,24,17.58333397,6.21513E-18,0.745238125,0.003342246,0.075873114,0.01604278,0.011753566,8.79084E-18,6.66427E-07,0.000679328,0.000678863,0.0166831,0.016007952,0.007508311,0.005035663,11.24999809,7.54999876,0.007515029,0.00504342,NO
6,8,30,26.66666603,1,16.66666603,36.69786072,92.42424011,11,0.733333349,3,10,1,0,0,0,1,100,1.069518685,100,0,0,0,0,5,6,20,30,1,20,36.36363602,94.11764526,7,0.699999988,0,0,3.333333254,0.555555522,0.233395562,0.006861481,0.179757312,6,1997.868774,549,551.9779663,0.013555503,593.7000122,0.004010695,20.32202148,0.366978616,0.368969232,0.01917327,0.000530914,0.001188017,0.000670239,0.438010186,0.003338674,0.075852744,0.002281195,113.9146957,3.416666746,0.07609532,0.002282342,NO
517,980,266772,0.3673549,86,16.63442993,73.99732971,20.23765945,132896,0.996326447,0,0,517,980,266772,0.3673549,86,16.63442993,73.99732971,20.23765945,132896,0.996326447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.9990234,0.994195402,0.004130873,0.109921217,0.31156069,517,59364.64063,1107,914.6151733,0.402283043,413265.5938,0.345588237,603.8482056,0.739973247,0.611373782,0.569000065,0.369561285,0.000668003,0.001533033,0,0.564638197,0.000667993,0.443953544,1,664.7176514,0.000668003,0.444033176,YES
6,6,30,20,1,16.66666603,40.50802231,58.83495331,12,0.800000012,3,10,1,0,0,0,1,100,0.267379671,100,0,0,0,0,5,4,20,20,1,20,40.44117737,58.96686172,8,0.800000012,0,0,4.25,0.708333313,0.229331672,0.037914682,0.153565273,6,3905.26709,606,557.6942139,0.026592363,22.07977104,0.004010695,39.72379303,0.405080199,0.372790247,0.03761296,1.97448E-05,0.001194466,0.000668449,0.44104743,0.000668449,0.086312823,0.001336027,129.565506,2,0.086550102,0.001336005,NO
5,3,20,15,2,40,37.09893036,89.22829437,8.5,0.850000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,15,2,40,37.09893036,89.22829437,8.5,0.850000024,0,0,4,0.800000012,0.219103977,0.001202908,0.04616382,5,1859.704224,555,549.2302856,0.012613847,220.0987091,0.003342246,18.9166317,0.370989293,0.367132545,0.017841367,0.000196822,0.001190582,0.000668003,0.439222038,0,0.095913738,0.000667993,143.926178,1,0.096143074,0.000668003,NO
3,4,6,66.66666412,1,33.33333206,13.30213928,92.12963104,1,0.333333343,0,0,1,0,0,0,1,100,0.401069522,100,0,0,0,0,2,2,2,100,1,50,13.1684494,93.80952454,0,0,0,0,1.333333254,0.444444448,0.455723375,0.009957636,0.166037232,3,532.3566895,199,466.178772,0.003574223,0,0.002005348,5.415052414,0.133021384,0.311616838,0.005055478,0,0.000768987,0.000669791,0.131408989,0.002672011,0.036835134,0.00222596,55.23810196,3.333333492,0.036899198,0.002226676,NO
13,12,156,7.692307472,4,30.76922989,8.155079842,68.92655182,72,0.923076928,39,25,8,0,56,0,8,100,5.481283188,88.17204285,28,1,7,12.5,6,8,30,26.66666603,1,16.66666603,7.620320797,75,11,0.733333349,3,10,11.46428585,0.881868124,0.11359933,0.115795679,0.137319639,13,1157.1521,122,452.7459412,0.007816874,4405.260254,0.008689839,11.77037811,0.081550799,0.302637666,0.0110564,0.003939388,0.001186382,0.001360633,0.437234074,0.509391367,0.096183836,0.128798604,144.3283081,193.1923523,0.096411698,0.129053012,YES
5,6,20,30,1,20,4.745989323,62.28070068,7,0.699999988,0.5,2.5,1,0,0,0,1,100,0.802139044,100,0,0,0,0,4,3,12,25,1,25,4.411764622,64.70587921,4.5,0.75,0,0,2.599999905,0.519999981,0.258742034,0.002249258,0.13638179,5,123.9329834,71,403.8980103,0.000781361,15.82796192,0.003342246,1.260627747,0.047459893,0.269985288,0.001105179,1.41541E-05,0.00077127,0.000668449,0.133982763,0.000668449,0.029976992,0.001336013,44.9809761,2,0.030047413,0.001336005,NO
4,1,12,8.333333015,3,75,3.074866295,73.01587677,5.5,0.916666687,3,25,1,0,0,0,1,100,0.534759343,100,0,0,0,0,3,1,6,16.66666603,2,66.66666412,2.807486534,76.36363983,2.5,0.833333313,0,0,3.5,0.875,0.274645686,0.003100167,0.047008548,4,80.60622406,46,376.1256714,0.0005113,76.23549652,0.002673797,0.819914401,0.030748663,0.251420915,0.000723197,6.81733E-05,0.000670241,0.000676573,0.003341353,0.012675083,0.003339607,0.00444265,5,6.659523964,0.003340013,0.00444858,NO
