@RELATION Lucene-NETmetrics

@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
11,27,110,24.54545403,1,9.090909004,28.55072403,52.81501389,41.5,0.75454545,4.166666508,3.787878752,7,3,42,7.142857075,4,57.1428566,7.10144949,50.51546478,19.5,0.928571403,0,0,4,3,12,25,2,50,27.10144997,67.75362396,4.5,0.75,0,0,7.545454502,0.685950398,0.141117707,0.020773517,0.230880708,11,3482.040283,197,243.3659515,0.053741444,104.3195724,0.01594203,37.00683975,0.285507232,0.352704287,0.076013356,0.000438861,0.001916752,0.001505919,0.24534072,0.03906332,0.074799784,0.023371119,51.85953903,16.16666603,0.075049981,0.023396043,YES
46,148,2070,7.149758339,1,2.173913002,54.92753601,34.45454407,961,0.92850244,957.666687,46.26409149,20,51,380,13.42105293,1,5,16.37681198,40.50179291,164.5,0.865789473,276.3333435,72.71929932,33,87,1056,8.238636017,1,3.030303001,53.33333206,38.65546036,484.5,0.917613626,263,24.90530396,41.38679123,0.899712861,0.051209956,0.066153616,0.440496773,46,8231.614258,379,297.0166321,0.126251757,14444.94434,0.06666667,87.48492432,0.549275339,0.430458874,0.178573921,0.060768366,0.001900162,0.002739171,0.238738224,0.472358882,0.132647112,0.172345668,91.76667786,119.392952,0.132802725,0.172782853,YES
59,151,3422,4.412624359,1,1.694915295,48.11594391,34.08624268,1635.5,0.955873787,77.83333588,2.274498463,57,126,3192,3.947368383,5,8.771929741,47.97101593,35.10074234,1533,0.960526288,0,0,2,1,2,50,1,50,3.333333254,74.19355011,0.5,0.5,0,0,55.07627106,0.933496118,0.033218954,0.06390547,0.323413163,59,10640.625,332,295.3665466,0.163606718,15375.96094,0.085507244,113.0876999,0.481159419,0.428067446,0.231409788,0.064685054,0.00146196,0.00296178,0.010126051,0.512124836,0.007108847,0.268206954,4.916666985,185.5760803,0.007115292,0.268561631,NO
3,2,6,33.33333206,1,33.33333206,13.04347801,92.7835083,2,0.666666687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,33.33333206,1,33.33333206,13.04347801,92.7835083,2,0.666666687,0,0,1.666666627,0.555555522,0.451282173,0.006883298,0.161375672,3,420.5536499,90,207.5091095,0.006391402,55.15043259,0.004347826,4.469610214,0.130434781,0.300737828,0.009040173,0.000232012,0.00205307,0.001447178,0.29554522,0,0.074551567,0.001447187,51.73892212,1,0.074875429,0.001447178,NO
4,2,12,16.66666603,2,50,8.695652008,89.55223846,5,0.833333313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,16.66666603,2,50,8.695652008,89.55223846,5,0.833333313,0,0,3,0.75,0.36538431,0.085002214,0.17514126,4,560.4900513,60,198.592453,0.008599111,51.77719879,0.005797102,5.956842899,0.086956523,0.287815154,0.012162816,0.000217821,0.001470538,0.001447178,0.015908472,0,0.010651182,0.001447187,7.366666794,1,0.010660878,0.001447178,NO
84,94,6972,1.348250151,9,10.71428585,35.21739197,35.11560822,3439,0.986517489,127.3333359,1.826353073,82,86,6642,1.294790745,9,10.97560978,34.78260803,35.50296021,3278,0.987052083,0,0,2,1,2,50,1,50,2.0289855,87.5,0.5,0.5,0,0,81.94047546,0.975481868,0.036343791,0.405560553,0.279258311,84,6183.961426,243,292.7331543,0.093743846,32553.25195,0.121739127,65.72264099,0.352173924,0.42425096,0.13259384,0.136948124,0.001451379,0.003972824,0.002898551,0.636655569,0.004341548,0.259808749,3,179.9073334,0.004341534,0.260357946,NO
4,4,12,33.33333206,1,25,2.898550749,54.05405426,4,0.666666687,0,0,3,1,6,16.66666603,2,66.66666412,2.0289855,63.63636398,2.5,0.833333313,0,0,1,0,0,0,1,100,2.173913002,100,0,0,0,0,2,0.5,0.379652768,0.017318889,0.225000009,4,241.5588989,20,172.088913,0.003664776,2.795171261,0.005797102,2.567268372,0.028985508,0.249404222,0.005183559,1.1759E-05,0.001449275,0.002746586,0.001449275,0.473789275,0.002894365,0.097688802,2,67.88300323,0.002894356,0.098238789,NO
2,2,2,100,1,50,3.043478251,51.21951294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,100,1,50,3.043478251,51.21951294,0,0,0,0,1,0.5,0.597407281,1.1314E-05,0.093073592,2,6.095804691,21,130.0900116,2.7205E-05,0,0.002898551,0.064785719,0.030434782,0.188536242,3.84795E-05,0,0.001451379,0.001447178,0.002898551,0,0.004341554,0.001447187,3,1,0.004341534,0.001447178,NO
5,1,20,5,4,80,2.898550749,55.55555725,9.5,0.949999988,0,0,5,1,20,5,4,80,2.898550749,55.55555725,9.5,0.949999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.599999905,0.920000017,0.226000011,0.007170874,0.060000002,5,284.288208,20,178.8020935,0.004312429,41.47898483,0.007246377,3.021392107,0.028985508,0.259133458,0.006099616,0.000174498,0.001447178,0.002765531,0,0.477403045,0.001447187,0.122891746,1,85.27574921,0.001447178,0.123409189,YES
8,14,56,25,1,12.5,12.60869598,55.76922989,21,0.75,3,5.357142925,7,13,42,30.95238113,1,14.28571415,12.60869598,56.49350739,14.5,0.690476179,0,0,1,0,0,0,1,100,0.289855063,100,0,0,0,0,5,0.625,0.200330108,0.050145697,0.235404462,8,1607.65686,87,221.8659515,0.024714556,153.524765,0.011594203,17.08604622,0.12608695,0.321544856,0.03495694,0.000645863,0.001449275,0.002974984,0.001449275,0.514297664,0.002894368,0.177248776,2,122.8180313,0.002894356,0.177739561,NO
