@RELATION ant-1.3-NETmetrics

@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
9,15,72,20.83333397,1,11.11111069,64,47.05882263,28.5,0.791666687,0,0,7,0,42,0,7,100,25.60000038,43.83561707,21,1,0,0,2,1,2,50,1,50,58.40000153,75.25772858,0.5,0.5,0,0,6.111111164,0.679012358,0.177365988,0.062182542,0.223056793,10,1900.592041,80,58.3333168,0.055475324,4.79262495,0.079999998,6.990119934,0.639999986,0.46666652,0.078465804,0.000618403,0.009501368,0.009003169,0.166031748,0.119428575,0.085536487,0.093650773,10.86666679,11.83333397,0.086243384,0.093915351,YES
7,16,42,38.09523773,1,14.28571415,73.59999847,47.91666794,13,0.619047642,5,11.90476227,5,5,20,25,1,20,60,75,7.5,0.75,5,25,3,6,6,100,1,33.33333206,72,55.21472549,0,0,0,0,3.6875,0.526785731,0.271254063,0.070814118,0.333413452,8,1636.386719,92,59.33330917,0.0477308,32.19017029,0.064000003,6.018408298,0.736000001,0.474666476,0.067511737,0.00415357,0.009403446,0.027889336,0.157269835,0.721206367,0.077066645,0.358159006,9.799999237,45.49999619,0.077777773,0.361111075,NO
87,363,7482,4.851644039,2,2.298850536,93.59999847,11.73520565,3559.5,0.951483548,26.61666679,0.355742663,86,315,7310,4.309165478,2,2.325581312,93.59999847,12.35480499,3497.5,0.956908345,0,0,1,0,0,0,1,100,39.20000076,98,0,0,0,0,79.75862122,0.916765749,0.061076071,0.302601397,0.736727118,88,13021.29492,117,104.0000076,0.379623801,2459.595703,0.703999996,47.89055634,0.93599999,0.832000077,0.536950231,0.317367196,0.008,0.03977092,0.008,0.806857169,0.015872989,0.74619025,2,94.08332825,0.015873017,0.746693075,NO
6,7,30,23.33333397,1,16.66666603,60,68.1818161,11.5,0.766666651,3,10,5,4,20,20,1,20,59.20000076,72.54901886,8,0.800000012,0,0,1,0,0,0,1,100,5.599999905,87.5,0,0,0,0,4.333333492,0.722222209,0.259708911,0.028938796,0.232645705,6,995.5765991,75,55.9999733,0.029016525,24.79610252,0.048,3.661595821,0.600000024,0.447999775,0.041041762,0.003199497,0.009390729,0.027883114,0.156126991,0.721142828,0.057485685,0.356825709,7.352380276,45.33332825,0.058352225,0.359788328,NO
3,2,6,33.33333206,1,33.33333206,9.600000381,52.17391205,2,0.666666687,1,16.66666603,2,1,2,50,1,50,9.600000381,70.58823395,0.5,0.5,0,0,1,0,0,0,1,100,4.800000191,100,0,0,0,0,1.666666627,0.555555522,0.475627571,0.006357344,0.192460328,3,201.4592743,12,42.53333282,0.005813925,0.200000003,0.024,0.740939915,0.096000001,0.340266675,0.008223373,2.58065E-05,0.009465395,0.008330557,0.162857145,0.047682539,0.051041242,0.038222194,6.55476141,4.833333492,0.052021917,0.038359791,NO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268339,0,0,0,0,0,9.86915E-07,0,0,0,0,0.007936508,0.007936508,0,0,0.007936522,0.007936522,1,1,0.007936508,0.007936508,NO
8,13,56,23.2142849,1,12.5,63.20000076,58.51852036,21.5,0.767857134,5.833333492,10.41666698,4,0,12,0,4,100,12.80000019,50,6,1,0,0,4,4,12,33.33333206,2,50,62.40000153,75.72815704,4,0.666666687,0,0,5.75,0.71875,0.234058425,0.030959958,0.346935034,9,1268.265625,79,57.66663361,0.036916014,51.65565109,0.071999997,4.66450882,0.632000029,0.461333066,0.052215014,0.006665245,0.009581481,0.008263917,0.173079371,0.039936509,0.086272985,0.043619022,10.96666622,5.5,0.087037034,0.043650795,YES
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10519E-06,0,0,0,0,0,2.98098E-08,0,0,0,0,0.007936508,0.007936508,0,0,0.007936522,0.007936522,1,1,0.007936508,0.007936508,NO
22,49,462,10.60606098,1,4.545454502,84,30.17241287,206.5,0.893939376,14.5,3.138528109,20,28,380,7.368421078,1,5,56,27.34375,176,0.926315784,0,0,2,0,2,0,2,100,70.40000153,95.6521759,1,1,0,0,17.61363602,0.800619841,0.093043961,0.082018875,0.349390358,23,4012.952881,105,69.33334351,0.117066301,134.9198761,0.184,14.7590971,0.839999974,0.554666758,0.165581763,0.017409015,0.008129553,0.028781949,0.023936508,0.730158746,0.027746003,0.342641562,3.5,43.57618713,0.027777778,0.345842749,NO
4,6,12,50,1,25,28.79999924,49.31506729,3,0.5,0,0,4,6,12,50,1,25,28.79999924,49.31506729,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.356045097,0.000501783,0.193181828,4,707.9067993,36,47.98332214,0.020643145,0,0.032000002,2.603585243,0.287999988,0.383866578,0.029198226,0,0.007936508,0.029049501,0,0.732761919,0.007936522,0.241520688,1,30.94405556,0.007936508,0.245587736,NO
