@RELATION xerces-1.3-NETmetrics

@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
8,10,56,17.8571434,1,12.5,18.02197838,52.90322495,23,0.821428597,7.5,13.39285755,3,2,6,33.33333206,1,33.33333206,2.857142925,61.90476227,2,0.666666687,0,0,5,3,20,15,2,40,17.1428566,58.20895386,8.5,0.850000024,0,0,5.5625,0.6953125,0.189722031,0.009230603,0.226201609,9,-0.144260928,82,155.1166687,0.015535817,670.6190186,0.01978022,-0.122444354,0.180219784,0.340915769,0.021974282,0.006492898,0.002303914,0.002207506,0.048255254,0.006593407,0.030658469,0.008771922,13.99999905,4,0.030701753,0.00877193,YES
4,2,12,16.66666603,2,50,2.857142925,59.09090805,5,0.833333313,1,8.333333015,1,0,0,0,1,100,0.879120886,100,0,0,0,0,3,0,6,0,3,100,2.857142925,72.22222137,3,1,0,0,3,0.75,0.362087667,0.012777828,0.197916672,5,1.948433757,13,115.799881,0.000960748,103.7093201,0.010989011,1.653772235,0.028571429,0.254505247,0.001358908,0.001004108,0.002319689,0.002197802,0.054742623,0.002197802,0.026065253,0.004385959,11.91666698,2,0.026133042,0.004385965,YES
2,0,2,0,2,100,2.197802305,76.92308044,1,1,0,0,2,0,2,0,2,100,2.197802305,76.92308044,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0,3,0.24639754,10,99.74989319,0.000252675,1.024999976,0.006593407,0.209134862,0.021978023,0.219230533,0.00035739,9.924E-06,0.002192982,0.002212368,0,0.008781569,0.002192977,0.008767102,1,4,0.002192982,0.00877193,NO
6,4,30,13.33333302,2,33.33333206,4.835165024,48.88888931,13,0.866666675,0,0,6,4,30,13.33333302,2,33.33333206,4.835165024,48.88888931,13,0.866666675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666666508,0.777777791,0.25604713,0.002590024,0.238035128,6,2.890264511,22,125.0166092,0.002406278,45.96960831,0.013186813,2.453170061,0.048351649,0.274761766,0.003403505,0.000445075,0.002192982,0.002222222,0,0.013186813,0.002192977,0.015350869,1,7,0.002192982,0.015350877,NO
16,46,240,19.16666603,1,6.25,10.32966995,21.07623291,97,0.808333337,23.53333282,9.805555344,3,2,6,33.33333206,1,33.33333206,2.417582512,45.83333206,2,0.666666687,0,0,13,34,156,21.79487228,1,7.692307472,9.890110016,22.61306572,61,0.782051265,0,0,10.25,0.640625,0.134022221,0.014806464,0.45035708,17,2.131026983,47,135.5666199,0.009977304,60.68588638,0.037362639,1.808751941,0.103296705,0.297948629,0.01411217,0.000587558,0.002277859,0.002207506,0.03734336,0.006593407,0.035078086,0.008771922,16,4,0.03508772,0.00877193,NO
7,9,42,21.4285717,2,28.5714283,8.571428299,42.39130402,16.5,0.785714269,1.25,2.976190567,1,0,0,0,1,100,1.318681359,100,0,0,0,0,6,5,30,16.66666603,3,50,8.571428299,45.34883881,12.5,0.833333313,0,0,4.428571224,0.632653058,0.218664691,0.008804529,0.231734067,8,1.06788969,39,127.9833374,0.004479758,360.6218872,0.017582418,0.906392813,0.085714288,0.281282067,0.006336291,0.003491522,0.00229337,0.002197802,0.043869291,0.002197802,0.029202819,0.004385959,13.33333302,2,0.029239766,0.004385965,NO
1,0,0,0,1,100,5.054944992,95.83333588,0,0,0,0,1,0,0,0,1,100,5.054944992,95.83333588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,-136.464325,23,124.7166443,0.003024605,0,0.004395605,-115.8268356,0.050549451,0.274102509,0.004278083,0,0.002192982,0.002504817,0,0.124768652,0.002192977,0.047706205,1,21.83333397,0.002192982,0.047880117,NO
4,3,12,25,2,50,28.13186836,51.20000076,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,28.13186836,51.20000076,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,27.87949753,128,155.5163879,0.027492028,87.97432709,0.008791209,23.66328239,0.281318694,0.341794252,0.03888547,0.000851763,0.002886433,0.002192982,0.240775004,0,0.096095257,0.002192977,43.96665955,1,0.096418113,0.002192982,NO
4,3,12,25,2,50,28.13186836,51.20000076,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,28.13186836,51.20000076,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,27.88160706,128,155.5163879,0.027492028,87.97432709,0.008791209,23.66507339,0.281318694,0.341794252,0.03888547,0.000851763,0.002886433,0.002192982,0.240775004,0,0.096095257,0.002192977,43.96665955,1,0.096418113,0.002192982,NO
4,3,12,25,2,50,28.13186836,51.20000076,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,28.13186836,51.20000076,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,27.88677979,128,155.5163879,0.027492028,87.97432709,0.008791209,23.66946411,0.281318694,0.341794252,0.03888547,0.000851763,0.002886433,0.002192982,0.240775004,0,0.096095257,0.002192977,43.96665955,1,0.096418113,0.002192982,NO
