@RELATION Eclipse_JDT_Core-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
65,8,608.0,158.0,9.35385,566.0,158.0,8.70769,42.0,15.0,0.646154,NO
2,2,10.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,NO
120,12,1361.0,99.0,11.3417,768.0,77.0,6.4,593.0,66.0,4.94167,YES
28,5,138.0,39.0,4.92857,123.0,39.0,4.39286,15.0,23.0,0.535714,NO
93,8,1870.0,684.0,20.1075,1881.0,692.0,20.2258,-11.0,18.0,-0.11828,NO
16,5,37.0,6.0,2.3125,17.0,6.0,1.0625,20.0,4.0,1.25,NO
30,5,535.0,142.0,17.8333,74.0,13.0,2.46667,461.0,142.0,15.3667,NO
7,2,14.0,7.0,2.0,29.0,27.0,4.14286,-15.0,4.0,-2.14286,NO
52,7,1075.0,343.0,20.6731,889.0,343.0,17.0962,186.0,68.0,3.57692,NO
23,6,122.0,42.0,5.30435,138.0,42.0,6.0,-16.0,16.0,-0.695652,NO
25,5,228.0,82.0,9.12,61.0,8.0,2.44,167.0,74.0,6.68,NO
11,3,193.0,81.0,17.5455,12.0,4.0,1.09091,181.0,81.0,16.4545,NO
32,5,219.0,89.0,6.84375,207.0,89.0,6.46875,12.0,11.0,0.375,NO
52,5,991.0,226.0,19.0577,633.0,148.0,12.1731,358.0,161.0,6.88462,NO
13,4,91.0,31.0,7.0,49.0,14.0,3.76923,42.0,17.0,3.23077,NO
9,4,11.0,5.0,1.22222,10.0,5.0,1.11111,1.0,1.0,0.111111,NO
193,12,6571.0,1071.0,34.0466,6072.0,1123.0,31.4611,499.0,174.0,2.58549,YES
12,5,228.0,53.0,19.0,162.0,35.0,13.5,66.0,40.0,5.5,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
91,9,6880.0,1627.0,75.6044,5271.0,1359.0,57.9231,1609.0,583.0,17.6813,YES
35,7,405.0,155.0,11.5714,409.0,155.0,11.6857,-4.0,12.0,-0.114286,NO
6,3,104.0,49.0,17.3333,6.0,4.0,1.0,98.0,49.0,16.3333,NO
43,6,409.0,105.0,9.51163,317.0,110.0,7.37209,92.0,79.0,2.13953,YES
168,10,2126.0,307.0,12.6548,1719.0,307.0,10.2321,407.0,63.0,2.42262,YES
20,7,115.0,14.0,5.75,175.0,94.0,8.75,-60.0,5.0,-3.0,NO
92,9,2972.0,319.0,32.3043,3264.0,892.0,35.4783,-292.0,168.0,-3.17391,YES
76,7,1763.0,600.0,23.1974,1852.0,600.0,24.3684,-89.0,43.0,-1.17105,YES
54,7,740.0,243.0,13.7037,669.0,243.0,12.3889,71.0,85.0,1.31481,NO
4,4,18.0,17.0,4.5,7.0,6.0,1.75,11.0,11.0,2.75,NO
149,11,5262.0,483.0,35.3154,4660.0,483.0,31.2752,602.0,226.0,4.04027,NO
2,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,NO
10,3,60.0,32.0,6.0,61.0,33.0,6.1,-1.0,0.0,-0.1,NO
47,5,320.0,52.0,6.80851,262.0,52.0,5.57447,58.0,20.0,1.23404,NO
37,6,284.0,64.0,7.67568,258.0,64.0,6.97297,26.0,22.0,0.702703,NO
82,8,2577.0,325.0,31.4268,2733.0,325.0,33.3293,-156.0,81.0,-1.90244,YES
29,5,184.0,69.0,6.34483,185.0,69.0,6.37931,-1.0,6.0,-0.0344828,NO
39,7,465.0,167.0,11.9231,264.0,167.0,6.76923,201.0,74.0,5.15385,NO
7,1,23.0,11.0,3.28571,6.0,4.0,0.857143,17.0,10.0,2.42857,NO
89,9,2001.0,399.0,22.4831,1889.0,399.0,21.2247,112.0,117.0,1.25843,YES
