@RELATION Eclipse_PDE_UI-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
5,2,185.0,95.0,37.0,24.0,20.0,4.8,161.0,95.0,32.2,NO
10,7,22.0,10.0,2.2,12.0,3.0,1.2,10.0,10.0,1.0,NO
2,2,8.0,8.0,4.0,15.0,15.0,7.5,-7.0,0.0,-3.5,NO
2,2,10.0,10.0,5.0,18.0,18.0,9.0,-8.0,0.0,-4.0,NO
5,3,14.0,6.0,2.8,11.0,5.0,2.2,3.0,2.0,0.6,NO
75,5,1019.0,107.0,13.5867,1267.0,559.0,16.8933,-248.0,104.0,-3.30667,NO
410,8,2715.0,81.0,6.62195,1242.0,326.0,3.02927,1473.0,81.0,3.59268,YES
10,5,42.0,17.0,4.2,38.0,18.0,3.8,4.0,3.0,0.4,NO
8,3,21.0,10.0,2.625,20.0,6.0,2.5,1.0,10.0,0.125,NO
5,3,12.0,8.0,2.4,51.0,46.0,10.2,-39.0,6.0,-7.8,NO
6,3,82.0,50.0,13.6667,48.0,42.0,8.0,34.0,50.0,5.66667,YES
8,5,107.0,49.0,13.375,82.0,63.0,10.25,25.0,33.0,3.125,NO
5,3,14.0,8.0,2.8,10.0,8.0,2.0,4.0,8.0,0.8,NO
9,4,79.0,32.0,8.77778,53.0,42.0,5.88889,26.0,26.0,2.88889,NO
7,4,314.0,106.0,44.8571,131.0,88.0,18.7143,183.0,91.0,26.1429,NO
6,3,94.0,39.0,15.6667,7.0,5.0,1.16667,87.0,39.0,14.5,NO
17,1,44.0,9.0,2.58824,13.0,7.0,0.764706,31.0,8.0,1.82353,NO
45,8,986.0,179.0,21.9111,735.0,150.0,16.3333,251.0,91.0,5.57778,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
