@RELATION Equinox_Framework-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
2,1,10.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,NO
18,7,1431.0,532.0,79.5,1131.0,552.0,62.8333,300.0,394.0,16.6667,NO
14,4,342.0,130.0,24.4286,337.0,123.0,24.0714,5.0,8.0,0.357143,YES
4,2,3.0,3.0,0.75,49.0,44.0,12.25,-46.0,0.0,-11.5,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
14,2,195.0,82.0,13.9286,97.0,73.0,6.92857,98.0,27.0,7.0,NO
7,3,211.0,95.0,30.1429,88.0,43.0,12.5714,123.0,95.0,17.5714,NO
11,5,102.0,31.0,9.27273,83.0,40.0,7.54545,19.0,27.0,1.72727,YES
7,3,100.0,42.0,14.2857,15.0,7.0,2.14286,85.0,38.0,12.1429,NO
13,4,1117.0,492.0,85.9231,1187.0,520.0,91.3077,-70.0,8.0,-5.38462,YES
3,2,1.0,1.0,0.333333,1.0,1.0,0.333333,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
10,5,206.0,169.0,20.6,83.0,36.0,8.3,123.0,133.0,12.3,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
44,3,2587.0,2021.0,58.7955,2332.0,2011.0,53.0,255.0,65.0,5.79545,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
8,1,499.0,237.0,62.375,19.0,10.0,2.375,480.0,237.0,60.0,NO
9,6,74.0,49.0,8.22222,102.0,50.0,11.3333,-28.0,0.0,-3.11111,NO
2,1,7.0,7.0,3.5,1.0,1.0,0.5,6.0,6.0,3.0,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
7,1,123.0,55.0,17.5714,23.0,10.0,3.28571,100.0,54.0,14.2857,NO
5,1,150.0,73.0,30.0,3.0,3.0,0.6,147.0,73.0,29.4,NO
9,6,29.0,8.0,3.22222,28.0,9.0,3.11111,1.0,5.0,0.111111,NO
7,1,265.0,195.0,37.8571,148.0,100.0,21.1429,117.0,95.0,16.7143,YES
4,2,28.0,17.0,7.0,28.0,18.0,7.0,0.0,9.0,0.0,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YES
2,2,1.0,1.0,0.5,2.0,2.0,1.0,-1.0,0.0,-0.5,NO
7,3,13.0,8.0,1.85714,21.0,9.0,3.0,-8.0,0.0,-1.14286,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
13,3,316.0,122.0,24.3077,147.0,94.0,11.3077,169.0,122.0,13.0,NO
37,7,599.0,79.0,16.1892,302.0,73.0,8.16216,297.0,76.0,8.02703,NO
32,6,546.0,125.0,17.0625,546.0,122.0,17.0625,0.0,41.0,0.0,YES
9,1,51.0,19.0,5.66667,16.0,4.0,1.77778,35.0,19.0,3.88889,NO
18,5,143.0,93.0,7.94444,84.0,34.0,4.66667,59.0,59.0,3.27778,YES
55,6,1135.0,308.0,20.6364,509.0,110.0,9.25454,626.0,198.0,11.3818,YES
4,1,20.0,18.0,5.0,4.0,2.0,1.0,16.0,16.0,4.0,NO
15,5,59.0,15.0,3.93333,53.0,35.0,3.53333,6.0,8.0,0.4,YES
6,5,20.0,12.0,3.33333,24.0,16.0,4.0,-4.0,0.0,-0.666667,NO
11,2,210.0,131.0,19.0909,171.0,121.0,15.5455,39.0,32.0,3.54545,YES
17,4,499.0,201.0,29.3529,437.0,166.0,25.7059,62.0,35.0,3.64706,YES
18,6,196.0,49.0,10.8889,147.0,38.0,8.16667,49.0,20.0,2.72222,YES
17,6,112.0,70.0,6.58824,135.0,86.0,7.94118,-23.0,4.0,-1.35294,YES
10,5,175.0,131.0,17.5,222.0,174.0,22.2,-47.0,6.0,-4.7,NO
6,1,249.0,113.0,41.5,36.0,33.0,6.0,213.0,113.0,35.5,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
13,7,204.0,102.0,15.6923,160.0,118.0,12.3077,44.0,40.0,3.38462,NO
13,3,415.0,162.0,31.9231,149.0,126.0,11.4615,266.0,162.0,20.4615,YES
14,6,139.0,33.0,9.92857,70.0,20.0,5.0,69.0,25.0,4.92857,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
13,2,175.0,118.0,13.4615,90.0,32.0,6.92308,85.0,107.0,6.53846,NO
2,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
16,4,1064.0,372.0,66.5,1148.0,441.0,71.75,-84.0,38.0,-5.25,YES
12,1,436.0,142.0,36.3333,48.0,29.0,4.0,388.0,142.0,32.3333,YES
10,2,35.0,7.0,3.5,23.0,5.0,2.3,12.0,7.0,1.2,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
6,1,78.0,29.0,13.0,16.0,11.0,2.66667,62.0,28.0,10.3333,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
14,5,114.0,42.0,8.14286,148.0,41.0,10.5714,-34.0,19.0,-2.42857,YES
9,5,194.0,140.0,21.5556,204.0,161.0,22.6667,-10.0,13.0,-1.11111,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
3,1,166.0,83.0,55.3333,0.0,0.0,0.0,166.0,83.0,55.3333,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
3,1,7.0,5.0,2.33333,7.0,5.0,2.33333,0.0,0.0,0.0,YES
2,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,NO
12,1,569.0,264.0,47.4167,111.0,47.0,9.25,458.0,264.0,38.1667,NO
2,1,9.0,9.0,4.5,3.0,3.0,1.5,6.0,6.0,3.0,NO
7,1,219.0,79.0,31.2857,5.0,2.0,0.714286,214.0,79.0,30.5714,NO
96,3,4201.0,1063.0,43.7604,1315.0,360.0,13.6979,2886.0,1063.0,30.0625,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
4,1,7.0,3.0,1.75,15.0,7.0,3.75,-8.0,0.0,-2.0,NO
4,1,4.0,2.0,1.0,3.0,2.0,0.75,1.0,1.0,0.25,YES
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
134,8,2262.0,325.0,16.8806,2219.0,502.0,16.5597,43.0,159.0,0.320896,YES
9,1,388.0,161.0,43.1111,343.0,134.0,38.1111,45.0,27.0,5.0,YES
9,5,82.0,68.0,9.11111,90.0,77.0,10.0,-8.0,1.0,-0.888889,NO
7,4,37.0,29.0,5.28571,10.0,4.0,1.42857,27.0,27.0,3.85714,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
