@RELATION Mylyn-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
7,2,22.0,10.0,3.14286,8.0,3.0,1.14286,14.0,10.0,2.0,NO
14,3,60.0,33.0,4.28571,45.0,26.0,3.21429,15.0,7.0,1.07143,NO
10,2,13.0,5.0,1.3,15.0,5.0,1.5,-2.0,4.0,-0.2,NO
3,2,6.0,4.0,2.0,8.0,6.0,2.66667,-2.0,0.0,-0.666667,NO
4,2,7.0,4.0,1.75,7.0,4.0,1.75,0.0,3.0,0.0,NO
9,2,219.0,191.0,24.3333,240.0,212.0,26.6667,-21.0,7.0,-2.33333,NO
3,2,1.0,1.0,0.333333,0.0,0.0,0.0,1.0,1.0,0.333333,NO
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
39,3,281.0,98.0,7.20513,245.0,37.0,6.28205,36.0,61.0,0.923077,NO
6,2,10.0,5.0,1.66667,9.0,4.0,1.5,1.0,4.0,0.166667,NO
6,2,14.0,4.0,2.33333,11.0,4.0,1.83333,3.0,3.0,0.5,NO
8,2,22.0,8.0,2.75,19.0,8.0,2.375,3.0,4.0,0.375,NO
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
4,1,2.0,2.0,0.5,34.0,32.0,8.5,-32.0,0.0,-8.0,NO
11,3,78.0,14.0,7.09091,63.0,14.0,5.72727,15.0,12.0,1.36364,NO
21,3,112.0,58.0,5.33333,109.0,58.0,5.19048,3.0,58.0,0.142857,NO
3,1,5.0,4.0,1.66667,2.0,1.0,0.666667,3.0,3.0,1.0,NO
32,3,103.0,23.0,3.21875,71.0,9.0,2.21875,32.0,21.0,1.0,NO
10,2,155.0,102.0,15.5,154.0,104.0,15.4,1.0,102.0,0.1,NO
5,2,7.0,4.0,1.4,6.0,4.0,1.2,1.0,1.0,0.2,NO
6,3,7.0,4.0,1.16667,7.0,3.0,1.16667,0.0,3.0,0.0,NO
2,1,1.0,1.0,0.5,5.0,5.0,2.5,-4.0,0.0,-2.0,NO
3,1,21.0,16.0,7.0,11.0,9.0,3.66667,10.0,7.0,3.33333,NO
26,3,147.0,45.0,5.65385,109.0,43.0,4.19231,38.0,21.0,1.46154,NO
5,2,35.0,15.0,7.0,14.0,9.0,2.8,21.0,14.0,4.2,NO
10,3,133.0,90.0,13.3,21.0,5.0,2.1,112.0,89.0,11.2,NO
13,2,99.0,43.0,7.61538,55.0,42.0,4.23077,44.0,42.0,3.38462,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
4,2,6.0,4.0,1.5,3.0,1.0,0.75,3.0,3.0,0.75,NO
3,1,7.0,5.0,2.33333,3.0,2.0,1.0,4.0,4.0,1.33333,NO
7,2,28.0,8.0,4.0,22.0,8.0,3.14286,6.0,5.0,0.857143,YES
2,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,NO
7,3,25.0,11.0,3.57143,11.0,4.0,1.57143,14.0,7.0,2.0,NO
3,1,31.0,31.0,10.3333,31.0,31.0,10.3333,0.0,31.0,0.0,NO
7,2,15.0,6.0,2.14286,17.0,8.0,2.42857,-2.0,3.0,-0.285714,NO
7,3,11.0,4.0,1.57143,8.0,2.0,1.14286,3.0,3.0,0.428571,NO
23,3,121.0,27.0,5.26087,71.0,15.0,3.08696,50.0,21.0,2.17391,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
6,2,35.0,19.0,5.83333,19.0,11.0,3.16667,16.0,8.0,2.66667,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YES
4,2,68.0,63.0,17.0,67.0,65.0,16.75,1.0,3.0,0.25,NO
15,2,74.0,33.0,4.93333,40.0,9.0,2.66667,34.0,24.0,2.26667,NO
3,1,3.0,2.0,1.0,4.0,4.0,1.33333,-1.0,1.0,-0.333333,NO
2,1,0.0,0.0,0.0,2.0,2.0,1.0,-2.0,0.0,-1.0,NO
13,2,88.0,40.0,6.76923,30.0,11.0,2.30769,58.0,40.0,4.46154,NO
15,3,495.0,112.0,33.0,310.0,156.0,20.6667,185.0,61.0,12.3333,YES
4,1,4.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,NO
12,2,45.0,20.0,3.75,37.0,12.0,3.08333,8.0,8.0,0.666667,NO
5,2,6.0,4.0,1.2,3.0,1.0,0.6,3.0,3.0,0.6,NO
8,2,23.0,7.0,2.875,21.0,9.0,2.625,2.0,3.0,0.25,NO
14,2,215.0,108.0,15.3571,156.0,60.0,11.1429,59.0,94.0,4.21429,YES
4,2,10.0,5.0,2.5,6.0,4.0,1.5,4.0,4.0,1.0,NO
3,2,5.0,3.0,1.66667,5.0,3.0,1.66667,0.0,0.0,0.0,NO
5,2,17.0,9.0,3.4,13.0,8.0,2.6,4.0,3.0,0.8,NO
5,1,139.0,131.0,27.8,134.0,131.0,26.8,5.0,131.0,1.0,NO
2,1,0.0,0.0,0.0,5.0,5.0,2.5,-5.0,0.0,-2.5,YES
13,2,40.0,10.0,3.07692,39.0,15.0,3.0,1.0,5.0,0.0769231,NO
4,3,6.0,4.0,1.5,3.0,1.0,0.75,3.0,3.0,0.75,NO
34,3,208.0,83.0,6.11765,300.0,106.0,8.82353,-92.0,71.0,-2.70588,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YES
3,2,14.0,13.0,4.66667,14.0,13.0,4.66667,0.0,0.0,0.0,NO
22,3,142.0,50.0,6.45455,186.0,115.0,8.45454,-44.0,13.0,-2.0,NO
5,1,149.0,127.0,29.8,19.0,11.0,3.8,130.0,127.0,26.0,YES
14,2,111.0,37.0,7.92857,96.0,24.0,6.85714,15.0,13.0,1.07143,NO
6,3,19.0,9.0,3.16667,13.0,9.0,2.16667,6.0,4.0,1.0,NO
9,2,17.0,4.0,1.88889,25.0,16.0,2.77778,-8.0,3.0,-0.888889,NO
