@RELATION ant-1.6-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
25,10,244,111,9.76,108,0,4.32,136,60,5.44,YES
7,1,482,331,68.85714285714286,69,0,9.857142857142858,413,331,59.0,NO
2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
4,3,14,10,3.5,4,0,1.0,10,10,2.5,NO
2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
29,6,1384,662,47.724137931034484,490,0,16.896551724137932,894,662,30.82758620689655,YES
6,5,35,15,5.833333333333333,20,0,3.3333333333333335,15,8,2.5,YES
5,3,39,34,7.8,47,0,9.4,-8,2,-1.6,NO
11,4,90,30,8.181818181818182,28,0,2.5454545454545454,62,29,5.636363636363637,NO
9,6,456,307,50.666666666666664,40,0,4.444444444444445,416,307,46.22222222222222,YES
41,8,974,146,23.75609756097561,649,0,15.829268292682928,325,89,7.926829268292683,YES
5,3,19,15,3.8,4,0,0.8,15,15,3.0,NO
5,4,18,13,3.6,4,0,0.8,14,12,2.8,NO
24,9,670,294,27.916666666666668,171,0,7.125,499,216,20.791666666666668,YES
8,5,43,17,5.375,4,0,0.5,39,17,4.875,NO
2,1,72,68,36.0,0,0,0.0,72,68,36.0,NO
31,9,206,46,6.645161290322581,114,0,3.6774193548387095,92,39,2.967741935483871,NO
2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
7,4,9,4,1.2857142857142858,7,0,1.0,2,2,0.2857142857142857,NO
47,10,954,132,20.29787234042553,810,0,17.23404255319149,144,100,3.0638297872340425,YES
6,5,18,7,3.0,7,0,1.1666666666666667,11,6,1.8333333333333333,YES
16,8,199,45,12.4375,152,0,9.5,47,43,2.9375,YES
10,5,711,628,71.1,65,0,6.5,646,628,64.6,YES
32,7,416,67,13.0,136,0,4.25,280,51,8.75,YES
13,4,95,33,7.3076923076923075,64,0,4.923076923076923,31,31,2.3846153846153846,YES
24,8,200,45,8.333333333333334,59,0,2.4583333333333335,141,37,5.875,YES
6,4,17,9,2.8333333333333335,7,0,1.1666666666666667,10,8,1.6666666666666667,NO
2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
5,3,53,38,10.6,33,0,6.6,20,15,4.0,NO
38,8,479,77,12.605263157894736,185,0,4.868421052631579,294,64,7.7368421052631575,YES
9,4,52,30,5.777777777777778,17,0,1.8888888888888888,35,28,3.888888888888889,NO
6,4,10,6,1.6666666666666667,8,0,1.3333333333333333,2,2,0.3333333333333333,NO
4,4,2,1,0.5,3,0,0.75,-1,0,-0.25,NO
3,3,3,1,1.0,3,0,1.0,0,0,0.0,NO
3,3,5,3,1.6666666666666667,4,0,1.3333333333333333,1,1,0.3333333333333333,YES
3,2,308,246,102.66666666666667,56,0,18.666666666666668,252,246,84.0,NO
4,2,173,170,43.25,8,0,2.0,165,170,41.25,NO
4,4,4,2,1.0,4,0,1.0,0,1,0.0,NO
8,5,95,42,11.875,31,0,3.875,64,35,8.0,NO
8,3,33,12,4.125,26,0,3.25,7,8,0.875,NO
5,4,14,12,2.8,7,0,1.4,7,8,1.4,NO
4,4,2,1,0.5,3,0,0.75,-1,0,-0.25,NO
8,4,64,48,8.0,19,0,2.375,45,34,5.625,YES
5,3,127,106,25.4,22,0,4.4,105,87,21.0,NO
7,5,24,11,3.4285714285714284,12,0,1.7142857142857142,12,9,1.7142857142857142,NO
5,4,4,2,0.8,4,0,0.8,0,1,0.0,NO
6,4,18,14,3.0,9,0,1.5,9,9,1.5,NO
4,4,2,1,0.5,3,0,0.75,-1,0,-0.25,NO
11,6,139,69,12.636363636363637,96,0,8.727272727272727,43,51,3.909090909090909,NO
12,5,1280,918,106.66666666666667,346,0,28.833333333333332,934,918,77.83333333333333,NO
15,5,72,19,4.8,36,0,2.4,36,12,2.4,NO
4,4,7,5,1.75,4,0,1.0,3,4,0.75,NO
5,5,387,242,77.4,5,0,1.0,382,242,76.4,YES
34,7,1494,899,43.94117647058823,425,0,12.5,1069,899,31.441176470588236,YES
16,6,162,97,10.125,248,0,15.5,-86,5,-5.375,YES
11,5,30,14,2.727272727272727,16,0,1.4545454545454546,14,13,1.2727272727272727,NO
4,3,4,2,1.0,2,0,0.5,2,2,0.5,NO
3,2,2,1,0.6666666666666666,2,0,0.6666666666666666,0,0,0.0,NO
2,1,2,1,1.0,2,0,1.0,0,0,0.0,NO
4,3,3,1,0.75,4,0,1.0,-1,0,-0.25,NO
5,4,20,17,4.0,21,0,4.2,-1,0,-0.2,NO
12,5,125,58,10.416666666666666,42,0,3.5,83,52,6.916666666666667,NO
7,2,346,186,49.42857142857143,22,0,3.142857142857143,324,186,46.285714285714285,YES
15,6,271,132,18.066666666666666,44,0,2.933333333333333,227,111,15.133333333333333,NO
37,8,367,43,9.91891891891892,214,0,5.783783783783784,153,30,4.135135135135135,YES
12,5,50,10,4.166666666666667,50,0,4.166666666666667,0,5,0.0,YES
10,2,244,190,24.4,42,0,4.2,202,190,20.2,NO
2,2,47,42,23.5,9,0,4.5,38,37,19.0,NO
