@RELATION jedit-4.2-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
3,1,181,81,60.333333333333336,56,0,18.666666666666668,125,66,41.666666666666664,NO
3,1,30,20,10.0,4,0,1.3333333333333333,26,17,8.666666666666666,NO
1,1,22,22,22.0,0,0,0.0,22,22,22.0,NO
2,1,38,34,19.0,26,0,13.0,12,11,6.0,NO
3,1,43,32,14.333333333333334,12,0,4.0,31,31,10.333333333333334,NO
3,1,75,41,25.0,41,0,13.666666666666666,34,20,11.333333333333334,NO
3,1,37,28,12.333333333333334,25,0,8.333333333333334,12,11,4.0,NO
3,1,64,34,21.333333333333332,14,0,4.666666666666667,50,29,16.666666666666668,NO
2,1,12,10,6.0,145,0,72.5,-133,0,-66.5,NO
2,1,169,156,84.5,65,0,32.5,104,156,52.0,NO
1,1,106,106,106.0,0,0,0.0,106,106,106.0,NO
1,1,0,0,0.0,9,0,9.0,-9,0,-9.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,16,13,8.0,6,0,3.0,10,11,5.0,NO
2,1,59,57,29.5,21,0,10.5,38,38,19.0,NO
1,1,4,4,4.0,2,0,2.0,2,2,2.0,NO
2,1,24,17,12.0,6,0,3.0,18,15,9.0,NO
1,1,1,1,1.0,1,0,1.0,0,0,0.0,NO
3,1,133,78,44.333333333333336,79,0,26.333333333333332,54,33,18.0,NO
2,1,31,24,15.5,12,0,6.0,19,19,9.5,NO
1,1,9,9,9.0,18,0,18.0,-9,0,-9.0,NO
1,1,56,56,56.0,12,0,12.0,44,44,44.0,NO
3,1,118,77,39.333333333333336,77,0,25.666666666666668,41,31,13.666666666666666,NO
1,1,0,0,0.0,1,0,1.0,-1,0,-1.0,NO
1,1,1,1,1.0,1,0,1.0,0,0,0.0,NO
2,1,20,17,10.0,5,0,2.5,15,14,7.5,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,29,28,14.5,2,0,1.0,27,27,13.5,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,3,3,3.0,2,0,2.0,1,1,1.0,NO
3,1,22,18,7.333333333333333,11,0,3.6666666666666665,11,13,3.6666666666666665,NO
3,1,112,90,37.333333333333336,21,0,7.0,91,87,30.333333333333332,NO
3,1,51,32,17.0,67,0,22.333333333333332,-16,9,-5.333333333333333,NO
2,1,28,23,14.0,15,0,7.5,13,10,6.5,NO
2,1,8,6,4.0,2,0,1.0,6,5,3.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,1,137,91,45.666666666666664,63,0,21.0,74,41,24.666666666666668,NO
4,1,440,206,110.0,158,0,39.5,282,127,70.5,NO
1,1,19,19,19.0,14,0,14.0,5,5,5.0,NO
3,1,322,179,107.33333333333333,132,0,44.0,190,121,63.333333333333336,NO
