@RELATION log4j-1.0-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
2,1,114,110,57.0,4,0,2.0,110,110,55.0,YES
3,1,298,283,99.33333333333333,10,0,3.3333333333333335,288,283,96.0,NO
2,1,272,255,136.0,13,0,6.5,259,255,129.5,YES
5,1,313,291,62.6,22,0,4.4,291,291,58.2,YES
8,1,1072,1003,134.0,42,0,5.25,1030,1003,128.75,YES
2,1,42,41,21.0,1,0,0.5,41,41,20.5,NO
2,1,23,14,11.5,2,0,1.0,21,14,10.5,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
5,1,478,467,95.6,15,0,3.0,463,467,92.6,YES
6,1,233,101,38.833333333333336,14,0,2.3333333333333335,219,101,36.5,YES
8,1,391,364,48.875,32,0,4.0,359,364,44.875,YES
2,1,82,78,41.0,4,0,2.0,78,78,39.0,NO
4,1,387,383,96.75,4,0,1.0,383,383,95.75,YES
3,1,550,536,183.33333333333334,14,0,4.666666666666667,536,536,178.66666666666666,YES
3,1,178,171,59.333333333333336,3,0,1.0,175,171,58.333333333333336,YES
7,1,713,620,101.85714285714286,86,0,12.285714285714286,627,620,89.57142857142857,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,19,18,9.5,1,0,0.5,18,18,9.0,NO
2,1,269,264,134.5,5,0,2.5,264,264,132.0,YES
2,1,76,74,38.0,2,0,1.0,74,74,37.0,NO
4,1,246,241,61.5,5,0,1.25,241,241,60.25,NO
2,1,264,240,132.0,24,0,12.0,240,240,120.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,358,341,179.0,11,0,5.5,347,341,173.5,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,1,241,221,80.33333333333333,14,0,4.666666666666667,227,221,75.66666666666667,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,290,277,145.0,11,0,5.5,279,277,139.5,NO
2,1,104,94,52.0,3,0,1.5,101,94,50.5,NO
2,1,118,107,59.0,4,0,2.0,114,107,57.0,NO
3,1,147,138,49.0,4,0,1.3333333333333333,143,138,47.666666666666664,NO
2,1,119,116,59.5,3,0,1.5,116,116,58.0,NO
2,1,60,57,30.0,3,0,1.5,57,57,28.5,NO
2,1,144,142,72.0,2,0,1.0,142,142,71.0,YES
2,1,182,173,91.0,9,0,4.5,173,173,86.5,NO
2,1,76,68,38.0,1,0,0.5,75,68,37.5,NO
2,1,90,88,45.0,2,0,1.0,88,88,44.0,YES
2,1,37,36,18.5,1,0,0.5,36,36,18.0,NO
2,1,95,94,47.5,1,0,0.5,94,94,47.0,NO
2,1,60,55,30.0,4,0,2.0,56,55,28.0,YES
3,1,120,116,40.0,3,0,1.0,117,116,39.0,YES
3,1,45,43,15.0,2,0,0.6666666666666666,43,43,14.333333333333334,NO
2,1,82,80,41.0,2,0,1.0,80,80,40.0,YES
5,1,353,317,70.6,17,0,3.4,336,317,67.2,YES
2,1,104,102,52.0,2,0,1.0,102,102,51.0,NO
2,1,526,514,263.0,12,0,6.0,514,514,257.0,YES
2,1,69,66,34.5,3,0,1.5,66,66,33.0,NO
2,1,55,47,27.5,2,0,1.0,53,47,26.5,NO
2,1,51,49,25.5,2,0,1.0,49,49,24.5,NO
2,1,79,78,39.5,1,0,0.5,78,78,39.0,NO
2,1,59,56,29.5,3,0,1.5,56,56,28.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
4,1,187,89,46.75,21,0,5.25,166,80,41.5,NO
5,1,119,61,23.8,16,0,3.2,103,61,20.6,NO
7,1,422,339,60.285714285714285,31,0,4.428571428571429,391,339,55.857142857142854,YES
1,1,6,6,6.0,5,0,5.0,1,1,1.0,NO
2,1,416,408,208.0,8,0,4.0,408,408,204.0,YES
5,1,104,90,20.8,9,0,1.8,95,90,19.0,NO
5,1,261,95,52.2,49,0,9.8,212,88,42.4,YES
2,1,378,368,189.0,10,0,5.0,368,368,184.0,YES
4,1,53,39,13.25,6,0,1.5,47,39,11.75,NO
2,1,63,54,31.5,3,0,1.5,60,54,30.0,NO
3,1,60,55,20.0,3,0,1.0,57,55,19.0,NO
2,1,111,104,55.5,7,0,3.5,104,104,52.0,NO
2,1,72,64,36.0,8,0,4.0,64,64,32.0,NO
4,1,128,122,32.0,6,0,1.5,122,122,30.5,YES
2,1,72,64,36.0,8,0,4.0,64,64,32.0,NO
3,1,30,28,10.0,2,0,0.6666666666666666,28,28,9.333333333333334,NO
1,1,91,91,91.0,0,0,0.0,91,91,91.0,NO
