@RELATION poi-2.0-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
2,2,34,33,17.0,21,0,10.5,13,13,6.5,NO
6,4,335,139,55.833333333333336,81,0,13.5,254,139,42.333333333333336,NO
8,2,229,124,28.625,196,0,24.5,33,50,4.125,NO
5,2,75,40,15.0,68,0,13.6,7,14,1.4,NO
5,2,79,42,15.8,71,0,14.2,8,15,1.6,NO
3,2,143,128,47.666666666666664,44,0,14.666666666666666,99,128,33.0,NO
5,2,53,36,10.6,54,0,10.8,-1,21,-0.2,NO
5,2,54,39,10.8,53,0,10.6,1,21,0.2,NO
5,2,60,39,12.0,61,0,12.2,-1,20,-0.2,NO
9,2,337,163,37.44444444444444,350,0,38.888888888888886,-13,33,-1.4444444444444444,YES
8,2,619,283,77.375,523,0,65.375,96,56,12.0,YES
5,2,60,32,12.0,56,0,11.2,4,14,0.8,YES
9,2,364,165,40.44444444444444,236,0,26.22222222222222,128,59,14.222222222222221,YES
7,2,158,89,22.571428571428573,148,0,21.142857142857142,10,41,1.4285714285714286,NO
9,2,325,157,36.111111111111114,243,0,27.0,82,55,9.11111111111111,YES
5,2,641,369,128.2,304,0,60.8,337,369,67.4,NO
3,2,225,208,75.0,2,0,0.6666666666666666,223,208,74.33333333333333,NO
5,2,59,39,11.8,60,0,12.0,-1,21,-0.2,NO
6,2,134,73,22.333333333333332,129,0,21.5,5,22,0.8333333333333334,NO
6,3,382,188,63.666666666666664,347,0,57.833333333333336,35,81,5.833333333333333,NO
6,2,341,191,56.833333333333336,229,0,38.166666666666664,112,116,18.666666666666668,NO
4,2,138,72,34.5,142,0,35.5,-4,13,-1.0,NO
18,4,200,108,11.11111111111111,214,0,11.88888888888889,-14,16,-0.7777777777777778,NO
2,2,2,1,1.0,1,0,0.5,1,1,0.5,YES
2,2,2,1,1.0,1,0,0.5,1,1,0.5,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
7,4,120,90,17.142857142857142,38,0,5.428571428571429,82,86,11.714285714285714,NO
2,2,2,1,1.0,2,0,1.0,0,0,0.0,NO
2,2,11,10,5.5,15,0,7.5,-4,0,-2.0,NO
5,4,260,192,52.0,69,0,13.8,191,139,38.2,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,2,158,157,79.0,1,0,0.5,157,157,78.5,NO
2,2,73,72,36.5,1,0,0.5,72,72,36.0,NO
2,2,3,2,1.5,3,0,1.5,0,0,0.0,YES
3,3,4,2,1.3333333333333333,4,0,1.3333333333333333,0,0,0.0,NO
2,2,3,2,1.5,3,0,1.5,0,0,0.0,NO
2,2,2,1,1.0,2,0,1.0,0,0,0.0,YES
1,1,1,1,1.0,1,0,1.0,0,0,0.0,NO
