@RELATION synapse-1.0-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
20,4,150,28,7.5,48,0,2.4,102,28,5.1,NO
7,3,97,44,13.857142857142858,11,0,1.5714285714285714,86,38,12.285714285714286,NO
2,1,12,12,6.0,0,0,0.0,12,12,6.0,NO
9,2,98,51,10.88888888888889,30,0,3.3333333333333335,68,51,7.555555555555555,NO
1,1,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,13,11,6.5,13,0,6.5,0,0,0.0,YES
1,1,39,39,39.0,53,0,53.0,-14,0,-14.0,NO
15,3,292,162,19.466666666666665,333,0,22.2,-41,38,-2.7333333333333334,NO
4,3,4,2,1.0,3,0,0.75,1,1,0.25,NO
4,2,44,30,11.0,4,0,1.0,40,30,10.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,2,2,1,0.6666666666666666,3,0,1.0,-1,0,-0.3333333333333333,NO
2,2,4,2,2.0,4,0,2.0,0,0,0.0,NO
4,2,32,29,8.0,26,0,6.5,6,29,1.5,NO
3,2,53,27,17.666666666666668,8,0,2.6666666666666665,45,23,15.0,NO
3,2,45,32,15.0,10,0,3.3333333333333335,35,32,11.666666666666666,NO
3,2,62,49,20.666666666666668,10,0,3.3333333333333335,52,49,17.333333333333332,NO
3,2,65,52,21.666666666666668,10,0,3.3333333333333335,55,52,18.333333333333332,NO
3,1,4,3,1.3333333333333333,2,0,0.6666666666666666,2,2,0.6666666666666666,NO
3,2,4,2,1.3333333333333333,2,0,0.6666666666666666,2,2,0.6666666666666666,NO
14,4,88,28,6.285714285714286,26,0,1.8571428571428572,62,17,4.428571428571429,NO
2,1,8,7,4.0,2,0,1.0,6,6,3.0,NO
2,1,3,2,1.5,2,0,1.0,1,1,0.5,NO
2,2,96,93,48.0,2,0,1.0,94,93,47.0,NO
