@RELATION velocity-1.6-PROCESSmetrics

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
4,2,77,69,19.25,5,0,1.25,72,69,18.0,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,1,1.0,1,0,1.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,1,1.0,5,0,5.0,-4,0,-4.0,NO
4,1,25,9,6.25,144,0,36.0,-119,3,-29.75,YES
5,2,33,12,6.6,157,0,31.4,-124,5,-24.8,YES
2,1,12,10,6.0,2,0,1.0,10,10,5.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
2,1,31,30,15.5,5,0,2.5,26,25,13.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,YES
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
2,1,3,2,1.5,1,0,0.5,2,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
2,2,2,1,1.0,2,0,1.0,0,0,0.0,YES
1,1,1,1,1.0,1,0,1.0,0,0,0.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,2,2,2.0,2,0,2.0,0,0,0.0,NO
1,1,8,8,8.0,7,0,7.0,1,1,1.0,NO
2,2,35,34,17.5,130,0,65.0,-95,0,-47.5,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
8,2,400,266,50.0,178,0,22.25,222,266,27.75,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
4,2,68,40,17.0,0,0,0.0,68,40,17.0,YES
2,2,84,60,42.0,0,0,0.0,84,60,42.0,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,2,49,33,24.5,0,0,0.0,49,33,24.5,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
6,1,519,492,86.5,183,0,30.5,336,492,56.0,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
2,2,59,58,29.5,0,0,0.0,59,58,29.5,NO
1,1,35,35,35.0,0,0,0.0,35,35,35.0,NO
2,1,7,4,3.5,3,0,1.5,4,4,2.0,NO
1,1,8,8,8.0,0,0,0.0,8,8,8.0,NO
1,1,2,2,2.0,0,0,0.0,2,2,2.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
1,1,3,3,3.0,0,0,0.0,3,3,3.0,NO
1,1,1,1,1.0,1,0,1.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
4,2,4,2,1.0,12,0,3.0,-8,1,-2.0,NO
1,1,2,2,2.0,2,0,2.0,0,0,0.0,NO
2,2,2,1,1.0,1,0,0.5,1,1,0.5,NO
10,3,45,12,4.5,8,0,0.8,37,9,3.7,YES
19,3,479,147,25.210526315789473,148,0,7.7894736842105265,331,146,17.42105263157895,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
9,2,153,50,17.0,25,0,2.7777777777777777,128,48,14.222222222222221,YES
3,1,26,22,8.666666666666666,0,0,0.0,26,22,8.666666666666666,YES
12,2,294,135,24.5,203,0,16.916666666666668,91,98,7.583333333333333,NO
9,2,159,87,17.666666666666668,141,0,15.666666666666666,18,25,2.0,YES
1,1,112,112,112.0,0,0,0.0,112,112,112.0,YES
4,2,228,201,57.0,18,0,4.5,210,201,52.5,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
5,2,236,202,47.2,12,0,2.4,224,202,44.8,YES
11,2,134,40,12.181818181818182,211,0,19.181818181818183,-77,40,-7.0,YES
1,1,10,10,10.0,4,0,4.0,6,6,6.0,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,YES
4,1,28,14,7.0,97,0,24.25,-69,1,-17.25,YES
2,1,7,5,3.5,11,0,5.5,-4,5,-2.0,YES
3,2,52,26,17.333333333333332,13,0,4.333333333333333,39,19,13.0,YES
14,2,430,236,30.714285714285715,148,0,10.571428571428571,282,236,20.142857142857142,YES
11,2,180,82,16.363636363636363,331,0,30.09090909090909,-151,36,-13.727272727272727,YES
3,1,4,2,1.3333333333333333,3,0,1.0,1,1,0.3333333333333333,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,1,159,156,53.0,7,0,2.3333333333333335,152,156,50.666666666666664,YES
3,1,15,12,5.0,15,0,5.0,0,1,0.0,YES
