@RELATION ant-1.5-CKNET

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
42,2,115,0,20,703,1369,19,48,342,14.03508759,1,5.263157845,72.01364899,37.94964218,147,0.859649122,35,10.23391819,13,14,156,8.974358559,1,7.692307472,52.55972672,51.85185242,71,0.910256386,0,0,7,10,42,23.80952454,1,14.28571415,66.55290222,50.38759613,16,0.761904776,7,16.66666603,14.17500019,0.746052623,0.097775556,0.142151117,0.241734862,20,4333.090332,211,138.9833374,0.070362657,94.12831879,0.068259388,20.67785645,0.720136523,0.474345863,0.099522851,0.002200391,0.004885043,0.01136584,0.304764241,0.703141332,0.118401848,0.326197833,35.00120163,96.28335571,0.11905171,0.327494413,NO
11,2,15,0,12,13,97,12,28,132,21.21212196,1,8.333333015,61.43344879,41.28440475,52,0.787878811,14.83333302,11.23737335,9,11,72,15.27777767,2,22.22222137,47.78157043,65.72769928,30.5,0.847222209,11,15.27777767,4,9,12,75,1,25,58.36177444,48.71794891,1.5,0.25,0,0,8.42307663,0.701923072,0.149478242,0.09444207,0.270089805,13,2822.581543,180,130.4834747,0.04580678,140.1197205,0.044368602,13.46958637,0.614334464,0.445336103,0.064790353,0.003275509,0.004879267,0.011364077,0.303939998,0.7030949,0.096217312,0.319656372,28.50119781,94.36670685,0.096942849,0.320975184,NO
14,4,26,0,193,0,153,173,715,29756,2.402876616,1,0.578034699,91.80887604,12.47102451,14520.5,0.975971222,83.31666565,0.279999554,172,649,29412,2.206582308,1,0.581395328,91.80887604,12.87697506,14381.5,0.977934182,0,0,1,0,0,0,1,100,22.86689377,98.52941132,0,0,0,0,165.8843994,0.958869338,0.029397741,0.326297015,0.62961036,174,22749.08594,269,227.0332642,0.36850518,16893.30273,0.593856633,108.5604706,0.918088734,0.774857581,0.521223724,0.394906312,0.003412969,0.01509609,0.003412969,0.777332783,0.006802757,0.675100625,2,198.5833282,0.006802721,0.675453484,NO
7,1,7,0,9,21,7,9,16,72,22.22222137,1,11.11111069,46.41638184,59.38864517,28,0.777777791,6.833333492,9.490740776,8,12,56,21.4285717,1,12.5,46.07508469,62.5,22,0.785714269,0,0,1,0,0,0,1,100,4.095562935,92.30769348,0,0,0,0,6.833333492,0.759259224,0.166447327,0.030315785,0.205096558,9,1641.613037,136,121.150177,0.02662803,36.80111694,0.030716723,7.833909988,0.46416381,0.413481832,0.037663408,0.000860281,0.004872127,0.011363195,0.302918434,0.703071713,0.072632685,0.317381054,21.59086037,93.70004272,0.073438302,0.318707615,NO
4,1,4,0,5,6,4,5,3,20,15,2,40,9.215017319,50,8.5,0.850000024,3,15,4,2,12,16.66666603,2,50,8.532423019,55.55555725,5,0.833333313,0,0,1,0,0,0,1,100,3.07167244,100,0,0,0,0,4,0.800000012,0.244644001,0.004992751,0.103760682,5,398.42099,27,95.54288483,0.00641093,4.508323669,0.017064847,1.901297092,0.092150174,0.326084942,0.009067794,0.000105389,0.00488863,0.003533228,0.305286616,0.037449792,0.061073929,0.028302174,18.20754814,8.333333969,0.061930437,0.028344674,NO
16,1,38,3,13,80,334,13,23,156,14.7435894,3,23.07692337,66.55290222,49.87212372,66.5,0.852564096,22.33333397,14.31623936,6,0,30,0,6,100,9.897610664,54.71697998,15,1,0,0,7,6,42,14.28571415,4,57.1428566,64.84641266,56.21301651,18,0.857142866,0,0,10.30769253,0.79289937,0.130642429,0.019314429,0.286991119,14,2327.577881,195,133.4834137,0.037691571,753.9505005,0.047781572,11.10738945,0.665529013,0.455574781,0.053311981,0.017624725,0.004969808,0.00349642,0.316686422,0.027280537,0.09312094,0.027199199,27.60753632,8,0.093903184,0.027210884,NO
8,2,25,0,4,14,163,2,1,2,50,1,50,44.36859894,92.19857788,0.5,0.5,0,0,1,0,0,0,1,100,4.095562935,92.30769348,0,0,0,0,1,0,0,0,1,100,43.3447113,99.21875,0,0,0,0,1.5,0.75,0.543658257,0.003204742,0.042165242,3,850.9310913,130,116.6501617,0.013820115,0,0.010238908,4.060711861,0.443686008,0.398123413,0.019547546,0,0.004902535,0.003424617,0.307260126,0.00681433,0.090517536,0.008497574,26.83452988,2.5,0.091273911,0.008503402,NO
12,1,47,0,3,60,466,2,1,2,50,1,50,60.40955734,94.65240479,0.5,0.5,0,0,1,0,0,0,1,100,4.095562935,92.30769348,0,0,0,0,2,1,2,50,1,50,60.40955734,94.65240479,0.5,0.5,0,0,1.166666627,0.583333313,0.594946206,0.190880388,0.053208839,3,971.3233032,177,124.7334518,0.015766231,0,0.010238908,4.635232925,0.604095578,0.425711453,0.022300186,0,0.005044505,0.003412969,0.326855659,0.003412969,0.088876784,0.006802757,26.37420082,2,0.089708164,0.006802721,NO
34,1,67,1,33,437,1171,33,80,1056,7.575757504,2,6.060606003,76.10921478,31.67613602,488,0.924242437,90.5,8.570075989,27,37,702,5.270655155,1,3.703703642,47.78157043,29.53586578,332.5,0.94729346,0,0,6,3,30,10,3,50,64.16382599,81.73912811,13.5,0.899999976,0,0,28.40909004,0.860881507,0.057026304,0.094273873,0.27623269,34,6304.206055,223,149.1165771,0.102324888,611.0944824,0.116040953,30.08417892,0.761092126,0.508930326,0.144731104,0.014285251,0.004880568,0.011281379,0.304125756,0.700900853,0.098748736,0.283023685,29.24286842,83.6333313,0.099465542,0.284467101,NO
2,1,2,0,2,1,2,2,1,2,50,1,50,60.06826019,94.11764526,0.5,0.5,0,0,1,0,0,0,1,100,4.095562935,92.30769348,0,0,0,0,1,0,0,0,1,100,59.04436874,99.42528534,0,0,0,0,1,0.5,0.546301305,0.003968994,0.044556841,2,975.0219727,176,124.5667877,0.015846964,0,0.006825938,4.65288353,0.600682616,0.425142616,0.022414377,0,0.003424617,0.011327611,0.00681433,0.702143013,0.008497576,0.17656,2.5,52.44288254,0.008503402,0.178377151,NO
