@RELATION camel-1.2-CKNET

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
1,4,2,0,2,0,5,2,0,2,0,2,100,1.812191129,91.66666412,1,1,1,50,1,0,0,0,1,100,0.988467872,85.7142868,0,0,0,0,1,0,0,0,1,100,0.823723257,100,0,0,0,0,2,1,0.5,0,0,2,115.7296753,11,166.2735748,0.001538813,5.785584927,0.003294893,0.9472785,0.018121911,0.273926824,0.002176539,3.14569E-05,0.001647446,0.005261424,0.001647447,0.6885432,0.003289467,0.090460397,2,55.606884,0.003289474,0.091458693,YES
1,1,1,0,28,0,1,17,33,272,12.13235283,1,5.882352829,11.69686985,33.17757034,119.5,0.878676474,0,0,17,33,272,12.13235283,1,5.882352829,11.69686985,33.17757034,119.5,0.878676474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0.79411763,0.110798344,0.049601492,0.329927295,17,2802.416748,71,197.1476898,0.037756611,56.39329529,0.028006589,22.93853378,0.116968699,0.324790269,0.053403977,0.000306617,0.001644737,0.005328768,0,0.692493856,0.001644731,0.178925306,1,109.3048096,0.001644737,0.179777652,YES
1,1,1,0,22,0,1,20,66,380,17.36842155,1,5,47.44645691,47.05882263,157,0.826315761,5.283333302,1.390350819,17,22,272,8.088234901,2,11.76470566,18.28665543,45.12195206,125,0.91911763,0,0,3,1,6,16.66666603,2,66.66666412,43.16309738,71.58470154,2.5,0.833333313,0,0,14.5,0.725000024,0.112661242,0.057350341,0.441799045,20,4998.8125,288,243.3222198,0.067391984,169.80867,0.03294893,40.91662216,0.474464566,0.400860339,0.095321052,0.00092327,0.002624967,0.005306362,0.374046236,0.691187799,0.071468256,0.197334245,43.75950623,120.4773483,0.071972869,0.19815354,YES
0,1,0,0,0,0,0,1,0,0,0,1,100,3.624382257,95.6521759,0,0,0,0,1,0,0,0,1,100,3.624382257,95.6521759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,171.8036804,22,176.3811493,0.002305099,0,0.001647446,1.406259298,0.036243822,0.290578514,0.003260394,0,0.001644737,0.00526576,0,0.688800633,0.001644731,0.094212867,1,57.88464355,0.001644737,0.095205009,NO
23,1,23,0,111,253,23,110,328,11990,2.735613108,1,0.909090936,72.98188019,26.35336113,5831,0.972643852,2445.588867,20.39690399,104,286,10712,2.669902802,2,1.923076868,70.01647186,26.83080864,5213,0.973300993,1881.091675,17.56060219,10,4,90,4.444444656,6,60,34.10214233,74.19355011,43,0.955555558,32,35.55555725,105.2105255,0.956459343,0.024593025,0.135724351,0.450876683,110,16414.58203,443,317.1726379,0.220679224,20485.72656,0.181219116,134.3577576,0.729818761,0.522524953,0.312134683,0.111383289,0.00262988,0.005357411,0.375216752,0.694141269,0.108704329,0.414038211,66.36193085,252.0165405,0.109147914,0.414500892,YES
1,1,1,0,9,0,1,9,8,72,11.11111069,1,11.11111069,21.91103745,67.17171478,32,0.888888896,0,0,8,0,56,0,8,100,8.072487831,55.68181992,28,1,0,0,1,0,0,0,1,100,18.1219101,100,0,0,0,0,7.722222328,0.858024716,0.152344301,0.083807319,0.124366991,9,1573.171387,133,207.9307861,0.021148102,22.18698883,0.014827018,12.8768301,0.219110385,0.342554837,0.029912449,0.000120633,0.002627308,0.005307197,0.374604404,0.691236556,0.081781946,0.174339205,50.01990509,106.519455,0.082269579,0.175196469,NO
4,3,8,3,5,6,20,5,1,20,5,4,80,4.612850189,75.67567444,9.5,0.949999988,0,0,5,1,20,5,4,80,4.612850189,75.67567444,9.5,0.949999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.699999809,0.939999998,0.219600707,0.004892625,0.045833334,5,229.4721832,28,177.9355316,0.003028255,172.2752686,0.008237232,1.878291488,0.0461285,0.293139249,0.004283246,0.000936681,0.001644737,0.00532148,0,0.692076504,0.001644731,0.108094968,1,66.31427765,0.001644737,0.109069534,YES
2,4,7,6,8,0,23,8,8,56,14.28571415,2,25,32.61943817,85.7142868,24,0.857142866,6,10.71428585,6,2,30,6.666666508,4,66.66666412,2.635914326,50,14,0.933333337,0,0,2,0,2,0,2,100,32.61943817,99.49748993,1,1,0,0,6.4375,0.8046875,0.227735221,0.112076402,0.278826594,9,1608.338501,198,218.2722015,0.021626871,161.5840149,0.014827018,13.16468239,0.326194406,0.359591752,0.030589635,0.000878551,0.002625013,0.005252864,0.374057055,0.688031077,0.070434019,0.116235472,43.1317215,71.2505722,0.070940331,0.117188439,YES
45,2,67,0,21,916,461,18,48,306,15.68627453,2,11.11111069,62.10873032,40.80086517,129,0.843137264,38.83333206,12.69063187,5,2,20,10,3,60,3.953871489,50,9,0.899999976,0,0,13,26,156,16.66666603,3,23.07692337,61.61449814,42.69406509,65,0.833333313,0,0,13.91666698,0.773148119,0.095043793,0.028299944,0.281962276,19,6711.050293,377,259.6722717,0.09052597,656.5205688,0.031301484,54.93175125,0.621087313,0.427796155,0.128042385,0.003569579,0.002641807,0.001666653,0.378045619,0.013171442,0.10103555,0.012331423,61.71038055,7.5,0.101497337,0.012335527,YES
3,1,3,0,37,3,3,37,83,1332,6.231231213,1,2.702702761,41.68039703,34.65753555,624.5,0.937687695,14.75,1.107357383,36,66,1260,5.238095284,1,2.777777672,37.89126968,37.64320755,597,0.947619021,7.166666508,0.568783045,2,2,2,100,1,50,29.98352623,79.47598267,0,0,0,0,33.36841965,0.90184921,0.050157227,0.085795686,0.275505275,37,7358.666504,253,245.2051697,0.099170543,1026.822144,0.060955521,60.2326622,0.416803956,0.403962374,0.140269503,0.005582952,0.002627399,0.005342887,0.37462607,0.693306744,0.084197879,0.299814612,51.48656464,182.6828461,0.084681846,0.300465196,NO
