@RELATION jedit-4.0-CKNET

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
27,1,40,0,3,25,1278,3,3,6,50,1,33.33333206,21.29032326,59.45946121,1.5,0.5,0,0,3,3,6,50,1,33.33333206,21.29032326,59.45946121,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833333254,0.611111104,0.405099988,0.013563322,0.098359935,4,158.9684143,66,96.06666565,0.002366413,44.06234741,0.012903226,0.943133414,0.212903231,0.309892476,0.003347119,0.000919978,0.003215434,0.010877957,0,0.706700563,0.003215432,0.218396172,1,68.41667175,0.003215434,0.2199893,NO
8,2,38,0,18,28,269,18,90,306,29.41176414,1,5.555555344,25.16129112,15.26418781,108,0.70588237,3.134523869,1.024354219,1,0,0,0,1,100,14.83870983,97.87233734,0,0,0,0,17,80,272,29.41176414,1,5.882352829,24.83870888,16.59482765,96,0.70588237,0,0,11.66666698,0.648148119,0.114812925,0.025598777,0.411167443,19,924.7252197,78,109.1666565,0.014144371,159.151062,0.061290324,5.486242294,0.251612902,0.3521505,0.020006184,0.003322916,0.004110915,0.010567581,0.218535423,0.697998166,0.124553382,0.161712334,38.83332825,50.83818817,0.124866009,0.163466841,NO
7,2,17,0,16,19,52,16,79,240,32.91666794,1,6.25,24.51612854,17.35159874,80.5,0.670833349,11.03611088,4.598379612,8,9,56,16.0714283,1,12.5,18.38709641,40.14084625,23.5,0.839285731,0,0,8,31,56,55.3571434,1,12.5,24.1935482,25.33783722,12.5,0.446428567,0,0,9.40625,0.587890625,0.132743418,0.026351584,0.430874825,17,815.7025146,76,107.7499847,0.012462175,19.32807732,0.05483871,4.839428425,0.245161295,0.347580582,0.017626839,0.000403551,0.004109879,0.010577316,0.218338355,0.698278189,0.10492973,0.18268019,32.75,57.3382225,0.105305463,0.184367269,NO
2,2,6,0,10,1,30,10,38,90,42.22222137,1,10,22.25806427,19.7142849,26,0.577777803,0.285714298,0.317460328,5,5,20,25,1,20,18.06451607,50,7.5,0.75,0,0,5,9,20,45,1,20,21.29032326,27.73109245,5.5,0.550000012,0,0,4.550000191,0.454999983,0.163299009,0.005518354,0.273791969,10,554.3050537,69,101.4166641,0.008358519,1.434880376,0.032258064,3.288600445,0.222580642,0.327150524,0.011822516,2.99589E-05,0.004109171,0.010571185,0.2182035,0.698101878,0.095252328,0.171389788,29.74999809,53.83819962,0.095659159,0.173113182,NO
4,2,22,0,10,2,173,10,37,90,41.11111069,1,10,23.22580719,18.94736862,26.5,0.588888884,3.033333302,3.370370388,2,1,2,50,1,50,17.41935539,81.8181839,0.5,0.5,0,0,8,23,56,41.07143021,1,12.5,22.90322495,22.61146545,16.5,0.589285731,0,0,4.949999809,0.495000005,0.15814127,0.00173177,0.256300479,11,622.0587158,72,102,0.009414598,2.157294512,0.035483871,3.690571785,0.232258067,0.329032272,0.013316263,4.50422E-05,0.004109825,0.010568302,0.218327984,0.698018909,0.104392104,0.163862869,32.58332825,51.50485611,0.104769543,0.165610462,NO
4,2,24,0,10,6,171,10,36,90,40,1,10,23.22580719,19.40700722,27,0.600000024,3.866666555,4.29629612,3,2,6,33.33333206,1,33.33333206,15.8064518,72.05882263,2,0.666666687,0,0,7,16,42,38.09523773,1,14.28571415,22.90322495,23.43234253,13,0.619047642,0,0,5.099999905,0.50999999,0.163974851,0.003221413,0.278152317,11,607.3182983,72,102,0.009184519,2.783881664,0.035483871,3.603119373,0.232258067,0.329032272,0.012990833,5.81247E-05,0.004109716,0.010569743,0.218307227,0.698060334,0.102241568,0.167088702,31.91666412,52.50486374,0.102625929,0.168825924,NO
3,2,18,0,11,3,273,11,34,110,30.90909004,1,9.090909004,22.25806427,18.06282806,38,0.690909088,1.116666675,1.015151501,1,0,0,0,1,100,14.83870983,97.87233734,0,0,0,0,10,27,90,30,1,10,22.25806427,20.59701538,31.5,0.699999988,0,0,6.818181992,0.619834721,0.13758181,0.004748134,0.226767451,12,617.486145,69,101.9166718,0.009322239,5.81518507,0.038709678,3.663443565,0.222580642,0.328763455,0.013185628,0.000121415,0.004109879,0.010567581,0.218338355,0.697998166,0.107080273,0.161712334,33.41666412,50.83818817,0.107449077,0.163466841,NO
4,2,21,0,12,6,279,12,44,132,33.33333206,1,8.333333015,25.16129112,17.64705849,44,0.666666687,2.116666555,1.603535295,1,0,0,0,1,100,14.83870983,97.87233734,0,0,0,0,11,37,110,33.63636398,1,9.090909004,25.16129112,19.74683571,36.5,0.663636386,0,0,7.583333015,0.631944418,0.121860109,0.005187495,0.205356926,13,754.7653198,78,106.1666489,0.011627357,23.31170082,0.041935485,4.477898121,0.251612902,0.34247306,0.016446048,0.000486725,0.004110315,0.010567581,0.218421325,0.697998166,0.112456612,0.161712334,35.08332825,50.83818817,0.112808131,0.163466841,NO
3,2,10,0,14,3,63,14,62,182,34.06593323,1,7.142857075,24.51612854,17.11711693,60,0.65934068,13.12619019,7.212192535,5,5,20,25,1,20,18.70967674,55.23809433,7.5,0.75,0,0,9,23,72,31.94444466,1,11.11111069,23.87096786,21.82890892,24.5,0.680555582,0,0,8.25,0.589285672,0.134892523,0.015097065,0.36074385,15,781.7542114,76,106.7499847,0.011988237,21.85593224,0.048387095,4.638019085,0.245161295,0.344354779,0.016956488,0.00045633,0.004109988,0.010592135,0.218359083,0.698703408,0.106811464,0.180951998,33.33333206,56.80248642,0.107181132,0.18264465,NO
6,2,46,0,16,15,279,15,71,210,33.80952454,1,6.666666508,25.16129112,16.31799126,69.5,0.661904752,11.01666641,5.246031761,3,2,6,33.33333206,1,33.33333206,22.58064461,68.62744904,2,0.666666687,0.5,8.333333015,13,56,156,35.89743423,1,7.692307472,24.83870888,18.37708855,50,0.641025662,10.36666679,6.645298958,8.6875,0.579166651,0.132782444,0.052420683,0.36789456,16,844.9920654,78,107.6666565,0.012989094,24.9894352,0.051612902,5.013198853,0.251612902,0.347311795,0.018372126,0.000521755,0.00411037,0.010660248,0.218431696,0.700643063,0.115144789,0.219277114,35.91666412,68.68332672,0.115487665,0.220846713,NO
