@RELATION log4j-1.0-CKNET

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
9,1,9,0,22,36,9,24,57,552,10.326087,1,4.166666508,73.79310608,28.60962486,247.5,0.896739125,53.75,9.737318993,20,34,380,8.947368622,1,5,61.37931061,32.72058868,173,0.910526335,0,0,4,2,12,16.66666603,2,50,44.13793182,62.74509811,5,0.833333313,0,0,20.0625,0.8359375,0.095297389,0.11441689,0.396525621,24,5113.519531,107,72.5,0.191450238,219.005249,0.165517241,27.93346405,0.737931013,0.5,0.270792425,0.020977514,0.00952819,0.025043178,0.283136517,0.731554091,0.101228237,0.392254889,14.97261906,57.61665726,0.102552183,0.394634634,YES
19,1,31,9,20,131,181,21,53,420,12.61904716,1,4.761904716,65.51724243,29.0519886,183.5,0.873809516,54,12.85714245,12,3,132,2.272727251,9,75,34.48275757,43.10344696,64.5,0.977272749,0,0,9,12,72,16.66666603,1,11.11111069,64.13793182,44.07582855,30,0.833333313,0,0,16.45238113,0.783446729,0.106570974,0.070564292,0.422022581,22,4477.979004,95,68.74999237,0.167531908,168.5816956,0.151724145,24.46171761,0.655172408,0.474137872,0.236961678,0.016147671,0.009550155,0.024074381,0.284789801,0.720547915,0.130530372,0.24399811,19.22143173,36.11944199,0.131653637,0.247393444,NO
12,2,39,0,9,14,174,9,14,72,19.44444466,1,11.11111069,53.79310226,46.98795319,29,0.805555582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,72,19.44444466,1,11.11111069,53.79310226,46.98795319,29,0.805555582,0,0,6.44444418,0.716049373,0.2000186,0.024087675,0.324185878,10,2123.455811,78,59.91664124,0.079430826,49.61378098,0.068965517,11.59973621,0.537931025,0.41321823,0.112349115,0.004752278,0.009845861,0.006849315,0.306471407,0,0.154493779,0.006849303,22.71666908,1,0.155593619,0.006849315,YES
14,1,42,2,20,91,247,23,65,506,12.84584999,1,4.347826004,78.62068939,27.94117737,220.5,0.8715415,73.75,14.57509899,12,2,132,1.515151501,10,83.33333588,40.6896553,49.57983017,65,0.984848499,0,0,11,18,110,16.36363602,1,9.090909004,78.62068939,39.44636536,46,0.836363614,0,0,18.652174,0.810964108,0.102550805,0.124253184,0.413337618,24,5600.897461,114,73.16667175,0.209749833,393.1176758,0.165517241,30.59584808,0.786206901,0.504597723,0.296675861,0.037654951,0.009589313,0.024584604,0.287718475,0.726452529,0.176129714,0.292435437,25.83333206,43.14285278,0.176940635,0.295498997,YES
49,1,96,3,60,688,800,64,144,4032,3.571428537,3,4.6875,80.68965149,20.96774101,1944,0.964285731,706.0333252,17.51074791,56,77,3080,2.5,6,10.71428585,72.41379547,25.24038506,1501.5,0.975000024,210.5,6.834415436,12,13,132,9.848484993,2,16.66666603,70.34482574,45.94594574,59.5,0.901515126,76.5,57.95454407,60.04411697,0.938189328,0.06005628,0.246900126,0.538014591,65,9678.117188,117,94.16667175,0.361742407,2466.708496,0.448275864,52.86835098,0.806896567,0.649425328,0.511658311,0.236274764,0.00956843,0.025292167,0.286159664,0.734246552,0.160037786,0.538002253,23.50000191,78.75000763,0.160958916,0.53938359,YES
4,1,11,0,1,2,61,1,0,0,0,1,100,15.17241383,95.6521759,0,0,0,0,1,0,0,0,1,100,15.17241383,95.6521759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,272.8809814,22,44.11665344,0.010178466,0,0.013793103,1.490658402,0.151724145,0.304252774,0.014396699,0,0.006849315,0.025239339,0,0.733726978,0.006849303,0.25301221,1,37.43333435,0.006849315,0.256392688,NO
2,1,4,0,4,1,10,4,8,12,66.66666412,1,25,48.27586365,56,2,0.333333343,0,0,2,1,2,50,1,50,27.58620644,74.07407379,0.5,0.5,0,0,2,2,2,100,1,50,44.13793182,90.14084625,0,0,0,0,2,0.5,0.380067319,0.011483666,0.22815527,4,1340.603027,70,55.66664886,0.050232563,0,0.027586207,7.323270321,0.482758611,0.383907914,0.071050301,0,0.009543869,0.024680851,0.284317434,0.727538943,0.10622824,0.268001914,15.69761848,39.59999084,0.107517935,0.271232814,NO
2,2,11,0,4,0,67,4,5,12,41.66666794,1,25,32.41379166,70.14925385,3.5,0.583333313,0,0,1,0,0,0,1,100,6.206896782,90,0,0,0,0,3,2,6,33.33333206,1,33.33333206,31.03448296,78.94736481,2,0.666666687,0,0,1.875,0.46875,0.435837179,0.026105413,0.308333337,5,813.9194336,47,52.16663361,0.030387517,0.333333343,0.034482758,4.446172237,0.324137926,0.359769881,0.042980928,3.19285E-05,0.009709388,0.006896552,0.296646208,0.006896551,0.101708487,0.013698604,15.05595112,2,0.10312295,0.01369863,NO
20,2,46,2,17,58,413,19,36,342,10.52631569,1,5.263157845,60.6896553,30.66202164,153,0.894736826,54,15.78947353,11,5,110,4.545454502,6,54.54545593,28.96551704,41.17647171,52.5,0.954545438,0,0,8,10,56,17.8571434,1,12.5,55.86206818,43.78378296,23,0.821428597,0,0,15.68421078,0.825484753,0.096941791,0.057877917,0.306585521,20,4056.896973,88,66.83332062,0.151796222,195.3405304,0.137931034,22.16148567,0.606896579,0.46091944,0.214704692,0.018710779,0.00956843,0.024288107,0.286159664,0.723051488,0.144405589,0.252854168,21.23333359,37.40357208,0.145433798,0.25618884,YES
10,2,33,0,6,33,321,5,4,20,20,2,40,55.17241287,51.94805145,8,0.800000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,20,2,40,55.17241287,51.94805145,8,0.800000012,0,0,3.700000048,0.74000001,0.242206201,0.008391835,0.09677238,6,1839.244141,80,58.24998093,0.068902612,4.44707346,0.04137931,10.04718208,0.551724136,0.401724011,0.097457722,0.000425965,0.00964673,0.006849315,0.292017013,0,0.123783626,0.006849303,18.25,1,0.125,0.006849315,YES
