@RELATION poi-2.0-CKNET

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
3,1,30,0,1,3,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.040246606,0,0,0,0,0.003194888,0.005664034,0,0,0,0,0.003184713,0.003184713,0,0,0.003184722,0.003184722,1,1,0.003184713,0.003184713,NO
8,1,19,0,8,0,333,8,9,56,16.0714283,3,37.5,30.99041557,65.10066986,23.5,0.839285731,7,12.5,7,9,42,21.4285717,2,28.5714283,18.53035164,54.20560837,16.5,0.785714269,0,0,1,0,0,0,1,100,13.09904194,97.61904907,0,0,0,0,6.375,0.796875,0.178256929,0.00823294,0.188980371,9,427.8792725,97,119.6168213,0.007189464,763.9046631,0.028753994,2.329758167,0.309904158,0.382162362,0.010168972,0.015644807,0.003194888,0.003621176,0.003194888,0.120917365,0.006369432,0.067867152,2,21.3666687,0.006369427,0.068046719,NO
16,3,28,0,4,120,104,4,3,12,25,1,25,5.111821175,51.61290359,4.5,0.75,1,8.333333015,1,0,0,0,1,100,1.91693294,100,0,0,0,0,3,1,6,16.66666603,2,66.66666412,5.111821175,64,2.5,0.833333313,0,0,2.5,0.625,0.38268885,0.013117524,0.231547639,5,48.82374954,16,93.13320923,0.000735537,82.47275543,0.015974442,0.265840232,0.05111821,0.297550201,0.001040363,0.001689046,0.003377686,0.003194888,0.057314668,0.003194888,0.034417603,0.006369391,10.83333302,2,0.034501061,0.006369427,NO
5,3,7,3,4,4,29,4,0,12,0,4,100,2.875399351,69.2307663,6,1,0,0,4,0,12,0,4,100,2.875399351,69.2307663,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.25,0,0,5,41.07939911,9,90.14981079,0.00061606,67.47854614,0.015974442,0.223673046,0.028753994,0.288018554,0.000871373,0.001381964,0.003184713,0.003278482,0,0.028692944,0.003184722,0.023327511,1,7.333333492,0.003184713,0.023354566,NO
5,4,7,2,5,4,29,5,4,20,20,2,40,5.111821175,50,8,0.800000012,0,0,5,4,20,20,2,40,5.111821175,50,8,0.800000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399999857,0.680000007,0.345404118,0.067735933,0.280000001,6,118.1411133,16,93.6332016,0.001929186,305.25,0.019169329,0.643266082,0.05111821,0.299147606,0.002728692,0.006251536,0.003184713,0.003278551,0,0.028713293,0.003184722,0.025457436,1,8,0.003184713,0.025477707,NO
4,5,8,0,1,6,20,1,0,0,0,1,100,1.597444057,83.33333588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,1.597444057,83.33333588,0,0,0,0,1,1,1,1,0,1,5.569946766,5,70.82860565,7.50143E-05,0,0.003194888,0.03032778,0.015974442,0.226289481,0.000106102,0,0.003194888,0.003184713,0.003194888,0,0.00636939,0.003184722,2,1,0.006369427,0.003184713,NO
4,4,8,0,3,6,20,3,1,6,16.66666603,2,66.66666412,5.4313097,65.38461304,2.5,0.833333313,2,33.33333206,2,1,2,50,1,50,4.792332172,71.42857361,0.5,0.5,0,0,1,0,0,0,1,100,1.277955294,80,0,0,0,0,2.333333254,0.777777791,0.389896721,0.007270079,0.079365082,3,42.18442154,17,92.79988098,0.00066385,11.15245342,0.009584664,0.229689792,0.054313101,0.296485245,0.000938968,0.000228403,0.003194888,0.003236145,0.003194888,0.015943917,0.00636939,0.014316027,2,4.5,0.006369427,0.01433121,NO
4,4,8,0,3,6,20,3,1,6,16.66666603,2,66.66666412,5.4313097,65.38461304,2.5,0.833333313,2,33.33333206,2,1,2,50,1,50,4.792332172,71.42857361,0.5,0.5,0,0,1,0,0,0,1,100,1.277955294,80,0,0,0,0,2.333333254,0.777777791,0.389896721,0.007270079,0.079365082,3,42.18526459,17,92.79988098,0.00066385,11.15245342,0.009584664,0.229694381,0.054313101,0.296485245,0.000938968,0.000228403,0.003194888,0.003236145,0.003194888,0.015943917,0.00636939,0.014316027,2,4.5,0.006369427,0.01433121,NO
4,5,8,0,2,6,20,2,1,2,50,1,50,4.792332172,71.42857361,0.5,0.5,0,0,1,0,0,0,1,100,4.472843647,93.33333588,0,0,0,0,1,0,0,0,1,100,1.597444057,83.33333588,0,0,0,0,1,0.5,0.646989822,0.009205392,0.135714293,2,42.26387405,15,91.96655273,0.000686727,0,0.006389776,0.230122402,0.047923323,0.293822855,0.000971325,0,0.003194888,0.003236112,0.003194888,0.015933741,0.00636939,0.012718583,2,4,0.006369427,0.012738854,NO
6,1,25,0,5,7,230,5,6,20,30,1,20,53.67412186,88.8888855,7,0.699999988,2,10,2,1,2,50,1,50,4.472843647,60.86956406,0.5,0.5,0,0,3,1,6,16.66666603,2,66.66666412,51.11820984,96.38554382,2.5,0.833333313,0,0,2.599999905,0.519999981,0.33343485,0.022969443,0.279084265,6,907.7404175,168,126.0667648,0.015669812,173.1062012,0.019169329,4.94255209,0.536741197,0.402769208,0.022163806,0.003545224,0.003236179,0.003246618,0.01595409,0.01912863,0.015913468,0.015903296,5,5,0.015923567,0.015923567,YES
