@RELATION synapse-1.1-CKNET

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
1,1,1,0,1,0,1,1,0,0,0,1,100,2.702702761,85.7142868,0,0,0,0,1,0,0,0,1,100,2.702702761,85.7142868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,93.08790588,6,60.89994431,0.002388185,0,0.004504505,0.535118699,0.027027028,0.274324059,0.003377913,0,0.004484305,0.0208138,0,0.788167119,0.004484299,0.143966869,1,32.7678299,0.004484305,0.146940947,NO
7,1,32,3,19,9,211,17,40,272,14.70588207,1,5.882352829,63.96396255,40.92219162,116,0.852941155,6.5,2.389705896,16,31,240,12.91666698,1,6.25,47.74774933,40,104.5,0.870833337,0,0,2,0,2,0,2,100,58.10810852,87.16216278,1,1,1,50,12.94444466,0.761437893,0.119783275,0.140043691,0.311638653,18,4646.936523,142,103.4500198,0.120048307,110.7491989,0.081081077,26.71305847,0.639639616,0.46599108,0.169799581,0.004514663,0.011071767,0.021664878,0.597705305,0.796610534,0.144022837,0.372210383,32.58295059,83.43334961,0.146111891,0.37414059,NO
2,1,2,0,9,1,2,9,9,72,12.5,1,11.11111069,36.03603745,61.53845978,31.5,0.875,1,1.388888836,8,2,56,3.571428537,6,75,32.43243408,68.57142639,27,0.964285731,0,0,1,0,0,0,1,100,11.26126099,100,0,0,0,0,7.611111164,0.845678985,0.155413851,0.046258714,0.155605465,9,1515.629639,80,89.00002289,0.039039638,112.0601501,0.040540539,8.712643623,0.360360354,0.40090099,0.055218723,0.004568104,0.011013543,0.021494966,0.595564127,0.794974387,0.124871589,0.311099112,28.33136177,69.86663818,0.127046466,0.313303322,NO
4,1,4,0,74,6,4,74,178,5402,3.295075893,1,1.35135138,77.47747803,20.9245739,2612,0.967049241,1383.466675,25.61026764,74,178,5402,3.295075893,1,1.35135138,77.47747803,20.9245739,2612,0.967049241,1383.466675,25.61026764,1,0,0,0,1,100,29.72973061,100,0,0,0,0,69.50666809,0.939279258,0.040955059,0.175769061,0.480964154,74,10527.43262,172,137.0833282,0.270727783,4508.779785,0.333333343,60.51727295,0.77477479,0.617492497,0.382924736,0.183799267,0.011070663,0.021895651,0.597664952,0.798792064,0.141019836,0.538877308,31.91627884,120.4333878,0.14312233,0.540060043,NO
48,1,48,0,71,1128,48,66,183,4290,4.265734196,1,1.515151501,84.68468475,23.61808968,2053.5,0.957342684,294.157135,6.856810093,65,169,4160,4.0625,1,1.538461566,81.08107758,23.71541595,1995.5,0.959375024,249.5833282,5.999599457,5,3,20,15,2,40,63.51351166,70.5,8.5,0.850000024,17,85,61.0357132,0.924783528,0.041587055,0.11668507,0.489571661,66,10556.06348,188,135.7500153,0.272014469,4282.386719,0.297297299,60.68185806,0.846846819,0.611486554,0.384744644,0.174570411,0.011145138,0.021925926,0.600371718,0.799074888,0.188047394,0.533171356,42.35635757,119.1666718,0.189938828,0.534379721,NO
8,1,55,0,16,14,379,7,4,42,9.523809433,4,57.1428566,50.4504509,70.44025421,19,0.90476191,12,28.5714283,3,0,6,0,3,100,1.35135138,50,3,1,0,0,4,4,12,33.33333206,1,25,49.09909821,71.24182892,4,0.666666687,0,0,6.214285851,0.887755096,0.159900293,0.003752176,0.056060217,8,1673.715576,112,93.50008392,0.043144904,649.1768799,0.036036037,9.621405602,0.504504502,0.421171546,0.061025325,0.026463531,0.011269036,0.004545454,0.604815543,0.013513514,0.187276423,0.01793726,42.18969345,4,0.189191446,0.017937221,NO
3,1,3,0,10,3,3,10,12,90,13.33333302,2,20,28.82882881,51.61290359,39,0.866666675,7,7.777777672,9,11,72,15.27777767,2,22.22222137,26.57657623,51.30434799,30.5,0.847222209,0,0,1,0,0,0,1,100,4.05405426,100,0,0,0,0,7.900000095,0.790000021,0.18113108,0.034279451,0.320052564,10,1400.465942,64,86.36669159,0.036012486,252.4202271,0.045045044,8.050621986,0.288288295,0.389039159,0.050937038,0.010289847,0.010942429,0.021385223,0.592918038,0.793903768,0.104934007,0.28399685,23.90522766,63.84993744,0.107198328,0.286322594,NO
2,1,6,0,11,1,81,8,0,56,0,8,100,14.41441441,50.79365158,28,1,0,0,8,0,56,0,8,100,14.41441441,50.79365158,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0.125,0,0,9,876.0233765,32,73.90002441,0.022459591,221.4189148,0.040540539,5.035847664,0.144144148,0.332883,0.031767454,0.009026086,0.004484305,0.005250585,0,0.146608502,0.004484299,0.064757168,1,14.52857113,0.004484305,0.065150544,YES
3,4,6,0,82,3,17,82,177,6642,2.66486001,3,3.658536673,90.09008789,22.09944725,3232.5,0.973351419,0,0,82,177,6642,2.66486001,3,3.658536673,90.09008789,22.09944725,3232.5,0.973351419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.42073059,0.956350386,0.026736958,0.044988368,0.413399279,82,12285.09766,200,145.9166718,0.316305518,7146.647949,0.369369358,70.62126923,0.9009009,0.657282293,0.447391123,0.291331291,0.004484305,0.03362108,0,0.870540917,0.004484299,0.590430796,1,131.9500275,0.004484305,0.59170413,NO
6,1,18,0,4,13,57,1,0,0,0,1,100,3.153153181,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,3.153153181,87.5,0,0,0,0,1,1,1,1,0,2,102.8781738,7,64.54994202,0.002611188,0,0.009009009,0.591398358,0.031531531,0.290765494,0.003693336,0,0.011318446,0.004484305,0.606572926,0,0.143607065,0.004484299,32.49961853,1,0.145738199,0.004484305,NO
26,1,31,0,16,245,193,14,31,182,17.03296661,1,7.142857075,57.65765762,44.75524521,75.5,0.82967031,8.333333015,4.578754425,12,19,132,14.39393902,1,8.333333015,40.09009171,45.64102554,56.5,0.856060624,0,0,2,0,2,0,2,100,38.28828812,93.40659332,1,1,0,0,10.3214283,0.737244904,0.127297163,0.028929912,0.310281903,15,3615.210205,128,99.45005798,0.093331262,120.4202423,0.067567565,20.78214836,0.576576591,0.447973222,0.132010266,0.004908901,0.004524887,0.024633821,0.009009009,0.821678221,0.013453018,0.328545481,3,73.76663971,0.013452915,0.330792099,NO
10,1,53,0,15,25,537,10,17,90,18.88888931,1,10,51.35135269,53.02325439,36.5,0.811111093,3.833333254,4.259259224,8,7,56,12.5,3,37.5,29.72973061,53.22580719,24.5,0.875,0,0,2,0,2,0,2,100,38.28828812,93.40659332,1,1,0,0,7.150000095,0.714999974,0.15384762,0.034440927,0.217115179,11,2647.010986,114,95.116745,0.068321675,39.25576019,0.04954955,15.21642494,0.513513505,0.428453803,0.096636035,0.001600251,0.004524887,0.022331757,0.009009009,0.802831948,0.013453018,0.28771022,3,64.68327332,0.013452915,0.290059507,YES
47,1,105,0,42,589,933,36,119,1260,9.444444656,1,2.777777672,90.99098969,29.19075203,570.5,0.905555546,293.9381104,23.32842064,23,37,506,7.312252998,2,8.695652008,57.65765762,38.32335281,234.5,0.926877499,14,2.766798496,14,20,182,10.98901081,1,7.142857075,74.77477264,44.50402069,81,0.890109897,6.833333492,3.754578829,30.44594574,0.845720708,0.065371752,0.050686792,0.468732059,37,8574.154297,202,123.2500229,0.221284881,1638.550659,0.166666672,49.28879166,0.909909904,0.555180311,0.312991351,0.066795103,0.011214953,0.02168816,0.602876425,0.79683274,0.257661521,0.39022845,57.81068039,87.43334198,0.259240717,0.392077774,YES
6,1,35,0,10,3,145,8,7,56,12.5,3,37.5,67.11711884,58.66141891,24.5,0.875,4,7.142857075,1,0,0,0,1,100,4.05405426,90,0,0,0,0,7,5,42,11.90476227,3,42.8571434,66.66666412,60.65573883,18.5,0.880952358,0,0,6.8125,0.8515625,0.150919795,0.014649894,0.090922475,9,2726.344238,149,100.033432,0.070383705,78.35301208,0.040540539,15.67247486,0.671171188,0.450601041,0.099552624,0.003194041,0.034611788,0.004504505,0.874419272,0.004504505,0.255794466,0.008968604,57.67422867,2,0.258628815,0.00896861,NO
1,1,1,0,10,0,1,9,9,72,12.5,1,11.11111069,36.03603745,56.73758698,31.5,0.875,0,0,9,9,72,12.5,1,11.11111069,36.03603745,56.73758698,31.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.277777672,0.80864197,0.157303765,0.013786632,0.181033105,9,1672.563477,80,88.70008087,0.043111436,41.11400223,0.040540539,9.614783287,0.360360354,0.399549901,0.060977984,0.001676002,0.004484305,0.025831975,0,0.830161989,0.004484299,0.313489974,1,70.43328857,0.004484305,0.315844357,NO
8,2,60,2,13,12,727,7,5,42,11.90476227,3,42.8571434,18.01801872,51.28205109,18.5,0.880952358,9,21.4285717,4,3,12,25,1,25,8.108108521,51.42856979,4.5,0.75,0,0,4,1,12,8.333333015,3,75,17.11711693,65.51724243,5.5,0.916666687,2,16.66666603,5.5,0.785714269,0.236697406,0.174848914,0.189880967,8,788.697876,40,78.76664734,0.020170769,18.74761009,0.036036037,4.533854008,0.180180177,0.354804724,0.028530084,0.000764242,0.011033798,0.020753482,0.596311569,0.787520707,0.143704712,0.182822868,32.51232147,41.38932419,0.145795166,0.185602352,NO
2,2,30,2,14,1,377,7,8,42,19.04761887,1,14.28571415,50.4504509,76.71232605,17,0.809523821,6,14.28571415,2,0,2,0,2,100,3.153153181,58.33333206,1,1,0,0,5,6,20,30,1,20,50.4504509,83.58209229,7,0.699999988,0,0,5.285714149,0.755102038,0.227852881,0.04499108,0.237072766,8,1328.088623,112,93.03342438,0.034121443,81.62594604,0.036036037,7.634558678,0.504504502,0.419069469,0.048262294,0.003327461,0.011412708,0.005065833,0.609865487,0.115319356,0.153511167,0.038198628,34.70278931,8.601189613,0.155617893,0.038570356,NO
2,2,15,7,14,1,46,12,26,132,19.69696999,1,8.333333015,63.06306458,52.04460907,53,0.803030312,56.5,42.80303192,7,0,42,0,7,100,10.81081104,48.97959137,21,1,0,0,5,5,20,25,1,20,60.81081009,61.36363602,7.5,0.75,0,0,8.041666985,0.670138896,0.179685548,0.08129178,0.397962213,13,2656.872559,140,100.3667679,0.068377428,169.5617828,0.058558557,15.2731142,0.630630612,0.452102572,0.096714891,0.006912143,0.011167563,0.020739911,0.601179659,0.787379324,0.205934823,0.191081136,46.32736588,43.22266006,0.207746029,0.193823591,NO
2,2,14,7,12,1,40,11,19,110,17.27272797,1,9.090909004,38.73873901,49.71098328,45.5,0.827272713,57,51.81818008,7,0,42,0,7,100,9.909910202,55,21,1,0,0,4,5,12,41.66666794,1,25,35.13513565,58.64661789,3.5,0.583333313,0,0,8,0.727272749,0.204106688,0.152709484,0.373779655,12,1621.712036,86,89.56671906,0.041566849,23.94202423,0.054054055,9.322462082,0.387387395,0.403453678,0.05879328,0.000975991,0.019483939,0.004994601,0.773360789,0.102634028,0.234780326,0.058304276,52.90593719,13.05119038,0.237246349,0.058525518,NO
5,1,18,17,24,10,142,20,26,380,6.842105389,2,10,66.66666412,50.85910797,177,0.931578934,26,6.842105389,17,0,272,0,17,100,26.57657623,45.03816605,136,1,0,0,3,1,6,16.66666603,2,66.66666412,59.00901031,81.875,2.5,0.833333313,0,0,17.82500076,0.891250014,0.096009046,0.198992744,0.222158372,21,3454.179199,148,105.7834396,0.088850252,231.215744,0.094594598,19.85645676,0.666666687,0.476501971,0.125672206,0.009425451,0.011003172,0.020905923,0.595180333,0.789096296,0.123370051,0.240555733,27.9980278,54.20600891,0.125551701,0.24307628,NO
8,1,36,17,31,22,190,21,20,420,4.761904716,2,9.523809433,67.11711884,52.83687973,200,0.952380955,49,11.66666698,17,0,272,0,17,100,26.12612534,53.21100998,136,1,0,0,4,1,12,8.333333015,3,75,59.90990829,76.87861633,5.5,0.916666687,0,0,19.5,0.928571403,0.0941016,0.253188133,0.206956074,22,2993.042969,149,106.4501038,0.076812215,443.3568115,0.0990991,17.20560074,0.671171188,0.479504973,0.108645283,0.018073328,0.011258177,0.00539857,0.604451954,0.170120791,0.133228853,0.115058325,30.1956501,25.71785736,0.135406509,0.115326717,YES
4,2,34,0,13,2,314,8,8,56,14.28571415,3,37.5,42.34234238,46.7661705,24,0.857142866,4.5,8.035714149,1,0,0,0,1,100,13.96396351,96.875,0,0,0,0,7,6,42,14.28571415,3,42.8571434,41.44144058,54.43787003,18,0.857142866,0,0,6.5,0.8125,0.153020144,0.009918806,0.100856662,9,2120.718018,94,89.65003967,0.054651156,30.18848801,0.040540539,12.19101334,0.423423409,0.403829008,0.077300079,0.001230626,0.011100555,0.021014767,0.598755717,0.790207267,0.176830828,0.203044787,39.86628342,45.87859344,0.178772569,0.205733597,NO
4,2,24,0,11,6,140,4,3,12,25,1,25,36.03603745,58.82352829,4.5,0.75,2,16.66666603,1,0,0,0,1,100,13.06306267,96.66666412,0,0,0,0,3,2,6,33.33333206,1,33.33333206,35.58558655,74.52830505,2,0.666666687,0,0,2.875,0.71875,0.281518161,0.007974588,0.058303233,5,1203.852661,80,85.0667038,0.030974651,2.836361647,0.022522522,6.920384407,0.360360354,0.38318336,0.043811388,0.000115624,0.011465166,0.005017743,0.611663222,0.106795132,0.161079541,0.038802098,36.38295364,8.726191521,0.163152263,0.039130904,NO
2,3,4,0,7,1,9,7,6,42,14.28571415,1,14.28571415,36.03603745,70.17543793,18,0.857142866,8,19.04761887,5,4,20,20,1,20,7.657657623,50,8,0.800000012,0,0,2,1,2,50,1,50,30.63063049,85,0.5,0.5,0,0,5.428571224,0.775510192,0.224764645,0.015550111,0.244775862,7,1115.056885,80,87.23335266,0.028675621,90.59367371,0.031531531,6.409939289,0.360360354,0.392943025,0.040559579,0.003693028,0.011077845,0.020749602,0.59792757,0.787480295,0.149203092,0.184249312,33.73295212,41.70599747,0.15126884,0.187022403,NO
2,3,5,0,5,1,14,4,2,12,16.66666603,2,50,9.909910202,53.658535,5,0.833333313,2,16.66666603,1,0,0,0,1,100,4.05405426,90,0,0,0,0,3,1,6,16.66666603,2,66.66666412,9.009009361,64.51612854,2.5,0.833333313,0,0,3,0.75,0.306524009,0.000626523,0.107052676,5,466.6419373,22,73.76660919,0.011932072,4.101320744,0.022522522,2.682505608,0.0990991,0.332282037,0.016877048,0.000167189,0.011110555,0.020672316,0.599119306,0.786672354,0.165042222,0.163453475,37.24921417,37.08932495,0.167036831,0.166319847,NO
3,3,12,0,5,3,33,4,3,12,25,1,25,35.13513565,77.22772217,4.5,0.75,1,8.333333015,1,0,0,0,1,100,3.153153181,87.5,0,0,0,0,3,1,6,16.66666603,2,66.66666412,34.68468475,82.79570007,2.5,0.833333313,0,0,2.75,0.6875,0.324495167,0.006871987,0.136536792,5,883.8134155,78,82.93336487,0.022700923,8.297336578,0.022522522,5.080628872,0.351351351,0.37357372,0.032108802,0.000338239,0.019321149,0.004990783,0.771421611,0.101947241,0.197223216,0.031727713,44.56827545,7.151190281,0.199857742,0.032068118,NO
