@RELATION velocity-1.6-CKNET

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
5,2,35,0,27,0,319,26,104,650,16,1,3.846153736,80.70175171,25.13661194,273,0.839999974,92.55000305,14.23846149,12,15,132,11.36363602,2,16.66666603,46.4912262,46.08695602,58.5,0.886363626,4.333333492,3.282828331,26,104,650,16,1,3.846153736,80.70175171,25.13661194,273,0.839999974,92.55000305,14.23846149,18.94444466,0.72863245,0.077328086,0.028959239,0.387464523,27,5213.307129,184,119.2500229,0.110882685,1491.628174,0.118421055,25.45594025,0.807017565,0.523026407,0.156835482,0.057640783,0.00893522,0.015794942,0.513540924,0.726729453,0.226929277,0.307966113,52.2594986,70.94992828,0.228207424,0.309825003,YES
10,3,20,0,7,3,86,7,10,42,23.80952454,1,14.28571415,24.56140327,55.4455452,16,0.761904776,5,11.90476227,5,4,20,20,1,20,16.22806931,56.06060791,8,0.800000012,0,0,7,10,42,23.80952454,1,14.28571415,24.56140327,55.4455452,16,0.761904776,5,11.90476227,4.428571224,0.632653058,0.22424455,0.033574205,0.233373746,8,554.1112671,56,85.61665344,0.011621146,39.58732605,0.03508772,2.705657482,0.245614037,0.375511646,0.016437264,0.001529768,0.008854712,0.015625,0.509097517,0.723722517,0.123542242,0.223213106,28.68732643,51.62620163,0.12527217,0.225441933,NO
12,3,30,0,8,64,93,3,1,6,16.66666603,2,66.66666412,2.631578922,54.54545593,2.5,0.833333313,2,33.33333206,1,0,0,0,1,100,0.877192974,100,0,0,0,0,3,1,6,16.66666603,2,66.66666412,2.631578922,54.54545593,2.5,0.833333313,2,33.33333206,2.333333254,0.777777791,0.482253134,0.0245823,0.194444448,4,5.876937866,6,51.09295273,2.38004E-05,2,0.01754386,0.028696369,0.02631579,0.224091902,3.36639E-05,7.72857E-05,0.004405286,0.004405201,0.00877193,0.008752777,0.013100496,0.010907456,3,2.5,0.013100437,0.01091703,NO
5,2,10,0,5,10,32,2,0,2,0,2,100,5.70175457,86.66666412,1,1,1,50,1,0,0,0,1,100,4.38596487,90.90908813,0,0,0,0,2,0,2,0,2,100,5.70175457,86.66666412,1,1,1,50,2,1,0.5,0,0,2,24.56946945,13,63.6000061,0.000467953,222,0.00877193,0.119969711,0.057017542,0.278947383,0.000661886,0.008578716,0.004424607,0.004385965,0.01311959,0.004385965,0.013081344,0.008733569,3,2,0.013100437,0.008733625,NO
15,4,89,0,22,51,776,10,5,90,5.555555344,7,70,27.19298172,62,42.5,0.944444418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,90,5.555555344,7,70,27.19298172,62,42.5,0.944444418,0,0,9.149999619,0.915000021,0.115197055,0.008520499,0.068209186,11,528.0961914,62,88.53334808,0.010992858,1777.395386,0.048245613,2.578629017,0.27192983,0.388304144,0.015548596,0.068683647,0.013924515,0.004366812,0.689439178,0,0.234508753,0.004366815,54.16667938,1,0.236535713,0.004366812,NO
3,1,10,0,1,1,84,1,0,0,0,1,100,4.38596487,90.90908813,0,0,0,0,1,0,0,0,1,100,4.38596487,90.90908813,0,0,0,0,1,0,0,0,1,100,4.38596487,90.90908813,0,0,0,0,1,1,1,1,0,2,25.39347458,10,62.60000992,0.000487656,0,0.00877193,0.123993225,0.043859649,0.274561435,0.000689754,0,0.004366812,0.004385965,0,0.004385965,0.004366815,0.008733569,1,2,0.004366812,0.008733625,NO
37,1,92,0,16,0,438,4,2,12,16.66666603,2,50,2.631578922,42.8571434,5,0.833333313,1,8.333333015,3,0,6,0,3,100,2.631578922,60,3,1,0,0,4,2,12,16.66666603,2,50,2.631578922,42.8571434,5,0.833333313,1,8.333333015,3,0.75,0.458333313,0.04314943,0.333333343,5,8.067461014,6,51.59295273,4.46795E-05,3,0.021929825,0.039392427,0.02631579,0.226284876,6.31958E-05,0.000115929,0.004385965,0.004464111,0.004385965,0.021891519,0.00873357,0.02181497,2,5,0.008733625,0.021834061,NO
3,2,8,0,4,3,23,1,0,0,0,1,100,4.38596487,90.90908813,0,0,0,0,1,0,0,0,1,100,4.38596487,90.90908813,0,0,0,0,1,0,0,0,1,100,4.38596487,90.90908813,0,0,0,0,1,1,1,1,0,2,25.39246559,10,62.60000992,0.000487656,0,0.00877193,0.123988301,0.043859649,0.274561435,0.000689754,0,0.004366812,0.004385965,0,0.004385965,0.004366815,0.008733569,1,2,0.004366812,0.008733625,NO
3,1,11,0,3,3,41,2,0,2,0,2,100,5.70175457,81.25,1,1,1,50,1,0,0,0,1,100,4.38596487,90.90908813,0,0,0,0,2,0,2,0,2,100,5.70175457,81.25,1,1,1,50,2,1,0.5,0,0,3,26.79298592,13,63.6000061,0.000489638,111,0.013157895,0.130826876,0.057017542,0.278947383,0.000692558,0.004289358,0.004405201,0.004385965,0.008752777,0.004385965,0.010907457,0.008733569,2.5,2,0.01091703,0.008733625,NO
3,1,8,0,4,1,45,3,2,6,33.33333206,1,33.33333206,2.631578922,50,2,0.666666687,0,0,3,2,6,33.33333206,1,33.33333206,2.631578922,50,2,0.666666687,0,0,3,2,6,33.33333206,1,33.33333206,2.631578922,50,2,0.666666687,0,0,1.666666627,0.555555522,0.655864239,0.036624335,0.388888925,4,5.935353756,6,51.09295273,2.38812E-05,0.5,0.01754386,0.028981606,0.02631579,0.224091902,3.37781E-05,1.93214E-05,0.004366812,0.00448404,0,0.026258331,0.004366815,0.023988798,1,5.5,0.004366812,0.024017468,NO
