@RELATION Eclipse_PDE_UI-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
8.0,1,7.0,1,4,21,26.0,14,6,141.0,48.0,10.0714,106.0,73.0,7.57143,35.0,48.0,2.5,YES
26.0,1,39.0,1,25,36,78.0,7,3,127.0,87.0,18.1429,34.0,25.0,4.85714,93.0,87.0,13.2857,NO
6.0,1,24.0,0,36,15,18.0,3,2,13.0,9.0,4.33333,10.0,9.0,3.33333,3.0,3.0,1.0,NO
23.0,1,40.0,0,50,78,66.0,13,3,184.0,48.0,14.1538,68.0,16.0,5.23077,116.0,48.0,8.92308,YES
28.0,3,47.0,7,37,210,78.0,37,9,352.0,83.0,9.51351,319.0,74.0,8.62162,33.0,17.0,0.891892,NO
7.0,1,11.0,2,8,10,21.0,8,4,126.0,60.0,15.75,24.0,13.0,3.0,102.0,60.0,12.75,NO
12.0,4,14.0,4,9,15,31.0,7,4,110.0,56.0,15.7143,6.0,4.0,0.857143,104.0,56.0,14.8571,NO
15.0,1,20.0,0,2,45,51.0,17,7,98.0,23.0,5.76471,94.0,51.0,5.52941,4.0,13.0,0.235294,YES
34.0,1,73.0,0,8,36,127.0,3,2,219.0,160.0,73.0,92.0,59.0,30.6667,127.0,127.0,42.3333,YES
11.0,1,16.0,0,2,10,35.0,3,2,12.0,11.0,4.0,26.0,14.0,8.66667,-14.0,0.0,-4.66667,NO
78.0,1,140.0,0,22,136,253.0,12,2,826.0,242.0,68.8333,268.0,86.0,22.3333,558.0,156.0,46.5,NO
85.0,1,181.0,0,28,45,277.0,29,4,667.0,165.0,23.0,471.0,127.0,16.2414,196.0,117.0,6.75862,NO
53.0,1,99.0,0,39,91,146.0,103,8,1628.0,163.0,15.8058,2218.0,411.0,21.534,-590.0,56.0,-5.72815,NO
29.0,1,47.0,0,12,10,79.0,6,3,75.0,38.0,12.5,39.0,18.0,6.5,36.0,24.0,6.0,YES
2.0,1,6.0,0,2,1,11.0,25,7,197.0,45.0,7.88,188.0,47.0,7.52,9.0,24.0,0.36,YES
41.0,1,60.0,0,7,28,91.0,14,4,248.0,110.0,17.7143,150.0,77.0,10.7143,98.0,33.0,7.0,NO
5.0,1,5.0,0,1,10,18.0,4,2,73.0,35.0,18.25,3.0,3.0,0.75,70.0,35.0,17.5,NO
38.0,1,69.0,0,16,136,132.0,9,5,93.0,55.0,10.3333,54.0,24.0,6.0,39.0,31.0,4.33333,YES
5.0,1,9.0,0,3,10,20.0,13,6,70.0,21.0,5.38462,45.0,20.0,3.46154,25.0,16.0,1.92308,NO
1.0,1,3.0,0,1,0,8.0,9,6,37.0,20.0,4.11111,37.0,15.0,4.11111,0.0,5.0,0.0,NO
14.0,2,31.0,0,10,10,53.0,68,8,1072.0,168.0,15.7647,1514.0,501.0,22.2647,-442.0,100.0,-6.5,YES
19.0,1,18.0,0,1,28,37.0,3,2,15.0,11.0,5.0,17.0,13.0,5.66667,-2.0,0.0,-0.666667,NO
63.0,1,118.0,0,44,120,278.0,28,6,462.0,268.0,16.5,156.0,44.0,5.57143,306.0,224.0,10.9286,NO
24.0,1,67.0,0,7,36,108.0,3,2,15.0,10.0,5.0,10.0,10.0,3.33333,5.0,10.0,1.66667,NO
20.0,1,25.0,1,9,55,50.0,18,8,90.0,26.0,5.0,69.0,26.0,3.83333,21.0,10.0,1.16667,NO
50.0,1,93.0,0,14,91,147.0,15,5,122.0,29.0,8.13333,77.0,34.0,5.13333,45.0,19.0,3.0,NO
29.0,1,67.0,0,15,21,98.0,20,6,246.0,90.0,12.3,199.0,54.0,9.95,47.0,36.0,2.35,NO
60.0,1,182.0,0,25,120,281.0,14,4,224.0,109.0,16.0,279.0,114.0,19.9286,-55.0,10.0,-3.92857,YES
66.0,1,96.0,1,24,190,185.0,54,5,1305.0,476.0,24.1667,493.0,145.0,9.12963,812.0,476.0,15.037,YES
2.0,2,2.0,0,2,1,7.0,3,3,2.0,1.0,0.666667,2.0,1.0,0.666667,0.0,0.0,0.0,NO
9.0,1,6.0,0,5,15,22.0,8,6,52.0,31.0,6.5,45.0,31.0,5.625,7.0,6.0,0.875,NO
16.0,1,26.0,0,21,10,68.0,15,8,113.0,36.0,7.53333,103.0,51.0,6.86667,10.0,11.0,0.666667,YES
36.0,1,90.0,0,11,6,170.0,14,4,408.0,126.0,29.1429,147.0,30.0,10.5,261.0,103.0,18.6429,YES
