@RELATION Equinox_Framework-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
0.0,2,1.0,0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,0.0,1,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,11.0,0,4,1,11.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,18.0,0,2,1,26.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,18.0,0,2,1,26.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,3.0,0,1,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
3.0,1,14.0,0,6,3,15.0,2,1,10.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,NO
3.0,1,14.0,0,6,3,15.0,2,1,10.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,0.0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,0.0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,0.0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,0.0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,0.0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,1,3.0,0,2,0,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,1,2.0,0,1,0,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,1,2.0,0,1,0,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,1,3.0,0,2,0,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,1,2.0,0,1,0,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,1.0,0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,1.0,0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,2,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,1.0,0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
0.0,1,1.0,0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,4,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,4,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,4,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,4,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,4,1,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,8.0,0,4,1,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
1.0,1,2.0,0,1,0,3.0,3,1,12.0,8.0,4.0,5.0,3.0,1.66667,7.0,6.0,2.33333,NO
91.0,1,205.0,0,24,406,424.0,38,6,795.0,296.0,20.9211,173.0,39.0,4.55263,622.0,257.0,16.3684,NO
300.0,1,605.0,0,54,1128,1217.0,169,7,2958.0,124.0,17.503,1610.0,128.0,9.52663,1348.0,104.0,7.97633,YES
72.0,1,149.0,0,18,171,244.0,37,7,541.0,47.0,14.6216,285.0,27.0,7.7027,256.0,44.0,6.91892,YES
44.0,1,69.0,0,13,136,140.0,7,2,93.0,56.0,13.2857,42.0,22.0,6.0,51.0,34.0,7.28571,YES
1.0,1,3.0,0,2,1,3.0,3,1,2.0,2.0,0.666667,5.0,3.0,1.66667,-3.0,0.0,-1.0,NO
39.0,1,78.0,0,10,36,107.0,8,1,89.0,33.0,11.125,41.0,17.0,5.125,48.0,30.0,6.0,NO
15.0,1,23.0,0,10,15,47.0,6,1,184.0,88.0,30.6667,22.0,13.0,3.66667,162.0,88.0,27.0,NO
36.0,1,55.0,0,6,45,108.0,21,2,263.0,67.0,12.5238,172.0,29.0,8.19048,91.0,43.0,4.33333,NO
6.0,1,16.0,0,9,3,32.0,2,1,16.0,16.0,8.0,3.0,3.0,1.5,13.0,13.0,6.5,NO
30.0,1,85.0,0,19,78,124.0,11,2,454.0,210.0,41.2727,38.0,14.0,3.45455,416.0,210.0,37.8182,YES
0.0,2,0.0,0,0,0,0.0,6,2,281.0,139.0,46.8333,4.0,3.0,0.666667,277.0,139.0,46.1667,NO
30.0,1,45.0,0,13,21,100.0,9,1,51.0,19.0,5.66667,16.0,4.0,1.77778,35.0,19.0,3.88889,NO
57.0,1,101.0,0,16,78,180.0,12,1,569.0,264.0,47.4167,111.0,47.0,9.25,458.0,264.0,38.1667,NO
37.0,1,115.0,0,17,45,188.0,13,2,175.0,118.0,13.4615,90.0,32.0,6.92308,85.0,107.0,6.53846,NO
46.0,1,66.0,0,9,171,160.0,7,1,27.0,15.0,3.85714,19.0,14.0,2.71429,8.0,8.0,1.14286,NO
17.0,1,22.0,0,7,55,68.0,4,1,280.0,165.0,70.0,62.0,62.0,15.5,218.0,165.0,54.5,YES
65.0,1,107.0,0,24,171,196.0,10,1,547.0,202.0,54.7,100.0,73.0,10.0,447.0,159.0,44.7,YES
18.0,1,53.0,0,16,66,81.0,3,1,250.0,125.0,83.3333,0.0,0.0,0.0,250.0,125.0,83.3333,YES
102.0,2,217.0,0,29,741,367.0,9,1,980.0,406.0,108.889,88.0,61.0,9.77778,892.0,406.0,99.1111,YES
7.0,1,18.0,0,5,1,27.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
9.0,1,14.0,0,3,6,44.0,4,1,20.0,18.0,5.0,4.0,2.0,1.0,16.0,16.0,4.0,NO
10.0,1,20.0,0,6,6,73.0,7,3,13.0,8.0,1.85714,21.0,9.0,3.0,-8.0,0.0,-1.14286,NO
8.0,1,26.0,0,9,3,28.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
165.0,1,397.0,0,26,666,610.0,16,3,80.0,27.0,5.0,60.0,15.0,3.75,20.0,12.0,1.25,NO
107.0,1,219.0,0,16,435,403.0,10,2,35.0,7.0,3.5,23.0,5.0,2.3,12.0,7.0,1.2,YES
7.0,1,8.0,0,6,6,28.0,3,1,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,NO
4.0,1,7.0,0,3,3,12.0,4,1,28.0,13.0,7.0,28.0,13.0,7.0,0.0,4.0,0.0,YES
26.0,1,28.0,0,3,231,73.0,2,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,NO
20.0,1,24.0,0,3,190,64.0,2,1,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,NO
