@RELATION Lucene-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
3.0,1,3.0,0,0,3,8.0,1,1,1,1,1.0,1,1,1.0,0,0,0.0,NO
48.0,1,147.0,0,21,78,232.0,4,2,4,1,1.0,4,1,1.0,0,0,0.0,NO
40.0,1,80.0,0,12,78,188.0,4,2,4,1,1.0,4,1,1.0,0,0,0.0,NO
2.0,1,3.0,0,1,1,4.0,3,3,7.0,6.0,2.33333,6.0,5.0,2.0,1.0,1.0,0.333333,NO
4.0,1,9.0,33,50,15,12.0,11,8,78.0,28.0,7.09091,88.0,51.0,8.0,-10.0,27.0,-0.909091,YES
8.0,3,14.0,0,7,6,30.0,4,2,90.0,72.0,22.5,85.0,72.0,21.25,5.0,4.0,1.25,YES
32.0,1,34.0,0,5,45,98.0,5,2,219.0,206.0,43.8,80.0,68.0,16.0,139.0,138.0,27.8,YES
13.0,3,15.0,3,3,10,55.0,10,6,84.0,27.0,8.4,107.0,51.0,10.7,-23.0,9.0,-2.3,YES
44.0,3,8.0,0,4,3,216.0,5,2,175.0,170.0,35.0,178.0,170.0,35.6,-3.0,0.0,-0.6,NO
3.0,2,8.0,0,6,3,12.0,5,2,4.0,2.0,0.8,23.0,20.0,4.6,-19.0,1.0,-3.8,NO
7.0,3,11.0,0,2,3,30.0,4,2,21.0,11.0,5.25,10.0,8.0,2.5,11.0,8.0,2.75,NO
5.0,3,4.0,0,3,1,19.0,2,2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,NO
2.0,4,3.0,2,3,1,6.0,5,3,28.0,13.0,5.6,102.0,51.0,20.4,-74.0,1.0,-14.8,NO
4.0,3,6.0,0,14,1,17.0,7,5,45.0,13.0,6.42857,73.0,51.0,10.4286,-28.0,5.0,-4.0,NO
2.0,5,3.0,0,9,1,6.0,6,4,38.0,13.0,6.33333,111.0,51.0,18.5,-73.0,1.0,-12.1667,NO
9.0,2,13.0,0,3,15,30.0,9,6,59.0,16.0,6.55556,61.0,51.0,6.77778,-2.0,14.0,-0.222222,NO
4.0,3,10.0,0,3,1,14.0,8,5,79.0,26.0,9.875,119.0,51.0,14.875,-40.0,1.0,-5.0,NO
164.0,1,157.0,0,5,231,312.0,5,5,133.0,111.0,26.6,172.0,111.0,34.4,-39.0,1.0,-7.8,NO
3.0,2,8.0,0,47,3,12.0,5,4,32.0,13.0,6.4,58.0,51.0,11.6,-26.0,11.0,-5.2,NO
9.0,3,14.0,4,10,15,28.0,7,2,60.0,17.0,8.57143,12.0,4.0,1.71429,48.0,17.0,6.85714,NO
4.0,2,12.0,0,6,3,17.0,12,7,69.0,17.0,5.75,67.0,51.0,5.58333,2.0,17.0,0.166667,NO
10.0,3,17.0,0,21,21,36.0,21,7,320.0,75.0,15.2381,246.0,51.0,11.7143,74.0,59.0,3.52381,NO
2.0,3,4.0,0,6,1,10.0,4,2,24.0,17.0,6.0,6.0,4.0,1.5,18.0,17.0,4.5,NO
66.0,1,72.0,0,128,465,240.0,24,9,999.0,468.0,41.625,251.0,69.0,10.4583,748.0,420.0,31.1667,NO
3.0,2,5.0,42,5,3,10.0,10,5,40.0,13.0,4.0,66.0,51.0,6.6,-26.0,9.0,-2.6,YES
3.0,1,5.0,22,90,6,7.0,10,7,116.0,28.0,11.6,83.0,51.0,8.3,33.0,25.0,3.3,YES
3.0,2,4.0,10,9,3,9.0,9,6,47.0,13.0,5.22222,62.0,51.0,6.88889,-15.0,9.0,-1.66667,NO
