@RELATION Mylyn-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
4.0,1,7.0,0,0,6,12.0,3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,NO
38.0,1,89.0,0,3,10,103.0,3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,NO
11.0,1,17.0,0,1,36,36.0,3,3,8.0,8.0,2.66667,5.0,5.0,1.66667,3.0,3.0,1.0,NO
20.0,1,47.0,0,5,120,89.0,3,3,19.0,19.0,6.33333,15.0,15.0,5.0,4.0,4.0,1.33333,NO
9.0,1,9.0,0,3,15,30.0,3,3,8.0,8.0,2.66667,3.0,3.0,1.0,5.0,5.0,1.66667,NO
4.0,4,5.0,0,4,6,14.0,3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,NO
4.0,1,11.0,0,5,0,27.0,3,3,5.0,5.0,1.66667,1.0,1.0,0.333333,4.0,4.0,1.33333,NO
9.0,4,12.0,0,4,36,29.0,3,3,5.0,5.0,1.66667,4.0,4.0,1.33333,1.0,1.0,0.333333,NO
53.0,2,197.0,0,23,136,672.0,4,3,11.0,6.0,2.75,10.0,9.0,2.5,1.0,5.0,0.25,NO
10.0,2,17.0,0,9,10,37.0,3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,NO
7.0,3,9.0,0,3,21,25.0,4,3,17.0,11.0,4.25,19.0,15.0,4.75,-2.0,2.0,-0.5,NO
12.0,2,24.0,0,5,21,43.0,3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,NO
1.0,1,2.0,0,0,0,8.0,3,3,4.0,4.0,1.33333,2.0,2.0,0.666667,2.0,2.0,0.666667,NO
21.0,3,72.0,0,10,36,180.0,3,3,5.0,5.0,1.66667,1.0,1.0,0.333333,4.0,4.0,1.33333,NO
0.0,1,2.0,2,1,1,0.0,3,2,24.0,20.0,8.0,1.0,1.0,0.333333,23.0,20.0,7.66667,NO
0.0,1,0.0,0,0,0,0.0,6,2,21.0,9.0,3.5,7.0,4.0,1.16667,14.0,8.0,2.33333,NO
26.0,1,7.0,0,8,6,109.0,7,2,55.0,34.0,7.85714,89.0,56.0,12.7143,-34.0,7.0,-4.85714,NO
11.0,1,28.0,0,229,10,39.0,7,2,61.0,32.0,8.71429,162.0,132.0,23.1429,-101.0,26.0,-14.4286,NO
4.0,1,7.0,2,13,15,12.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
18.0,1,12.0,0,40,10,51.0,3,2,6.0,5.0,2.0,1.0,1.0,0.333333,5.0,4.0,1.66667,NO
96.0,1,116.0,0,15,28,294.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
49.0,1,92.0,0,10,78,151.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
19.0,1,24.0,0,14,21,54.0,3,2,3.0,2.0,1.0,2.0,1.0,0.666667,1.0,1.0,0.333333,NO
1.0,1,1.0,0,0,0,3.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
5.0,2,8.0,0,7,6,15.0,2,1,4.0,4.0,2.0,1.0,1.0,0.5,3.0,3.0,1.5,NO
0.0,1,2.0,3,2,1,0.0,2,1,11.0,11.0,5.5,0.0,0.0,0.0,11.0,11.0,5.5,NO
88.0,1,196.0,0,42,496,389.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
3.0,1,8.0,0,2,0,24.0,2,1,10.0,10.0,5.0,5.0,5.0,2.5,5.0,5.0,2.5,NO
5.0,2,8.0,0,1,6,32.0,2,1,10.0,10.0,5.0,5.0,5.0,2.5,5.0,5.0,2.5,NO
8.0,1,8.0,17,1,28,16.0,5,1,32.0,23.0,6.4,23.0,14.0,4.6,9.0,9.0,1.8,NO
3.0,1,14.0,12,52,91,9.0,14,2,50.0,13.0,3.57143,76.0,24.0,5.42857,-26.0,7.0,-1.85714,NO
6.0,1,16.0,0,110,15,18.0,9,2,36.0,15.0,4.0,9.0,5.0,1.0,27.0,15.0,3.0,NO
5.0,1,4.0,0,3,1,15.0,8,2,23.0,7.0,2.875,21.0,9.0,2.625,2.0,3.0,0.25,NO
14.0,1,42.0,0,18,10,104.0,27,3,166.0,33.0,6.14815,94.0,13.0,3.48148,72.0,30.0,2.66667,NO
12.0,1,71.0,0,17,28,108.0,19,2,84.0,22.0,4.42105,54.0,11.0,2.84211,30.0,12.0,1.57895,NO
21.0,1,51.0,0,15,36,129.0,4,2,13.0,8.0,3.25,13.0,9.0,3.25,0.0,1.0,0.0,NO
12.0,1,27.0,0,6,10,89.0,9,2,23.0,11.0,2.55556,18.0,6.0,2.0,5.0,5.0,0.555556,NO
6.0,2,13.0,3,4,6,37.0,23,3,92.0,20.0,4.0,94.0,48.0,4.08696,-2.0,7.0,-0.0869565,NO
0.0,1,7.0,9,11,21,0.0,9,1,23.0,6.0,2.55556,23.0,8.0,2.55556,0.0,3.0,0.0,NO
71.0,1,147.0,6,26,351,270.0,40,2,397.0,63.0,9.925,234.0,28.0,5.85,163.0,63.0,4.075,YES
10.0,1,20.0,0,15,10,27.0,9,2,62.0,18.0,6.88889,5.0,3.0,0.555556,57.0,18.0,6.33333,NO
25.0,1,31.0,2,21,28,83.0,37,2,157.0,34.0,4.24324,184.0,44.0,4.97297,-27.0,9.0,-0.72973,NO
5.0,1,8.0,0,3,1,18.0,13,2,37.0,7.0,2.84615,34.0,7.0,2.61538,3.0,3.0,0.230769,NO
13.0,1,32.0,0,6,10,111.0,18,2,54.0,10.0,3.0,51.0,10.0,2.83333,3.0,4.0,0.166667,NO
5.0,1,14.0,0,4,10,27.0,7,2,43.0,27.0,6.14286,33.0,24.0,4.71429,10.0,4.0,1.42857,NO
23.0,2,39.0,0,6,66,193.0,15,2,32.0,6.0,2.13333,31.0,4.0,2.06667,1.0,5.0,0.0666667,NO
27.0,2,37.0,0,11,10,98.0,15,2,35.0,7.0,2.33333,37.0,7.0,2.46667,-2.0,2.0,-0.133333,NO
33.0,1,56.0,0,15,105,313.0,12,2,45.0,20.0,3.75,37.0,12.0,3.08333,8.0,8.0,0.666667,NO
14.0,2,23.0,5,7,6,50.0,10,2,155.0,102.0,15.5,154.0,104.0,15.4,1.0,102.0,0.1,NO
3.0,2,9.0,2,6,1,13.0,5,2,46.0,38.0,9.2,40.0,38.0,8.0,6.0,38.0,1.2,NO
4.0,1,6.0,0,0,6,13.0,4,1,7.0,5.0,1.75,33.0,27.0,8.25,-26.0,0.0,-6.5,NO
2.0,1,10.0,0,3,1,15.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2.0,1,3.0,1,1,3,6.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
26.0,2,17.0,0,2,10,95.0,10,1,155.0,69.0,15.5,139.0,58.0,13.9,16.0,11.0,1.6,NO
3.0,1,20.0,4,14,1,85.0,49,3,523.0,142.0,10.6735,522.0,95.0,10.6531,1.0,47.0,0.0204082,YES
75.0,2,196.0,0,14,66,223.0,18,2,228.0,54.0,12.6667,70.0,34.0,3.88889,158.0,37.0,8.77778,YES
353.0,1,902.0,0,60,666,1550.0,184,4,4454.0,316.0,24.2065,3718.0,450.0,20.2065,736.0,298.0,4.0,YES
3.0,1,8.0,0,8,0,12.0,18,3,65.0,16.0,3.61111,77.0,33.0,4.27778,-12.0,9.0,-0.666667,NO
11.0,1,25.0,0,15,28,41.0,27,3,94.0,10.0,3.48148,75.0,10.0,2.77778,19.0,7.0,0.703704,YES
62.0,1,107.0,0,31,153,257.0,41,3,575.0,120.0,14.0244,419.0,111.0,10.2195,156.0,110.0,3.80488,YES
10.0,1,14.0,0,5,45,39.0,6,3,52.0,43.0,8.66667,8.0,2.0,1.33333,44.0,41.0,7.33333,NO
3.0,1,5.0,0,0,1,10.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
20.0,1,23.0,0,6,45,62.0,6,2,57.0,44.0,9.5,13.0,6.0,2.16667,44.0,39.0,7.33333,NO
18.0,1,59.0,0,11,91,83.0,5,2,35.0,15.0,7.0,14.0,9.0,2.8,21.0,14.0,4.2,NO
