@RELATION ant-1.6-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
49,2,126,1,24,926,1512,25,10,244,111,9.76,108,0,4.32,136,60,5.44,YES
20,1,45,2,11,112,543,7,1,482,331,68.85714285714286,69,0,9.857142857142858,413,331,59.0,NO
11,2,15,0,12,13,97,2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
15,4,27,0,243,0,157,4,3,14,10,3.5,4,0,1.0,10,10,2.5,NO
7,1,7,0,9,21,7,2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
4,1,4,0,5,6,4,2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
34,1,132,0,21,283,1255,29,6,1384,662,47.724137931034484,490,0,16.896551724137932,894,662,30.82758620689655,YES
16,1,39,3,13,80,341,6,5,35,15,5.833333333333333,20,0,3.3333333333333335,15,8,2.5,YES
3,2,5,0,2,0,34,5,3,39,34,7.8,47,0,9.4,-8,2,-1.6,NO
10,2,30,0,4,27,252,11,4,90,30,8.181818181818182,28,0,2.5454545454545454,62,29,5.636363636363637,NO
17,1,58,0,4,130,630,9,6,456,307,50.666666666666664,40,0,4.444444444444445,416,307,46.22222222222222,YES
53,1,119,1,37,1112,1739,41,8,974,146,23.75609756097561,649,0,15.829268292682928,325,89,7.926829268292683,YES
2,1,2,0,4,1,2,5,3,19,15,3.8,4,0,0.8,15,15,3.0,NO
3,5,8,0,2,0,28,5,4,18,13,3.6,4,0,0.8,14,12,2.8,NO
33,1,100,0,29,420,1585,24,9,670,294,27.916666666666668,171,0,7.125,499,216,20.791666666666668,YES
8,1,19,0,80,18,99,8,5,43,17,5.375,4,0,0.5,39,17,4.875,NO
1,1,2,0,0,0,6,2,1,72,68,36.0,0,0,0.0,72,68,36.0,NO
23,1,113,0,14,173,1964,31,9,206,46,6.645161290322581,114,0,3.6774193548387095,92,39,2.967741935483871,NO
4,2,16,0,4,0,59,2,2,1,1,0.5,1,0,0.5,0,0,0.0,NO
3,1,17,0,3,0,204,7,4,9,4,1.2857142857142858,7,0,1.0,2,2,0.2857142857142857,NO
100,1,247,0,202,4576,2015,47,10,954,132,20.29787234042553,810,0,17.23404255319149,144,100,3.0638297872340425,YES
5,1,8,19,128,4,37,6,5,18,7,3.0,7,0,1.1666666666666667,11,6,1.8333333333333333,YES
18,1,68,2,23,151,413,16,8,199,45,12.4375,152,0,9.5,47,43,2.9375,YES
20,1,50,0,3,74,721,10,5,711,628,71.1,65,0,6.5,646,628,64.6,YES
21,1,66,0,19,112,502,32,7,416,67,13.0,136,0,4.25,280,51,8.75,YES
23,1,57,0,32,147,441,13,4,95,33,7.3076923076923075,64,0,4.923076923076923,31,31,2.3846153846153846,YES
30,2,52,59,138,361,318,24,8,200,45,8.333333333333334,59,0,2.4583333333333335,141,37,5.875,YES
