@RELATION camel-1.4-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
1,4,2,0,2,0,5,1,1,2,2,2.0,0,0,0.0,2,2,2.0,NO
1,1,1,0,43,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,0,27,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
25,1,25,0,149,300,25,4,4,14,6,3.5,8,0,2.0,6,5,1.5,YES
1,1,1,0,9,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
4,3,8,3,10,6,20,1,1,1,1,1.0,2,0,2.0,-1,0,-1.0,NO
4,4,10,8,12,0,39,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,3,4,0,3,1,11,7,5,49,18,7.0,243,0,34.714285714285715,-194,18,-27.714285714285715,YES
3,1,3,0,63,3,3,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,1,0,0,43,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
13,1,13,0,176,78,13,3,3,10,6,3.3333333333333335,2,0,0.6666666666666666,8,6,2.6666666666666665,YES
2,1,2,0,2,1,2,2,2,3,2,1.5,3,0,1.5,0,1,0.0,NO
26,1,26,0,389,325,26,2,2,15,10,7.5,0,0,0.0,15,10,7.5,YES
9,2,23,0,59,32,242,1,1,0,0,0.0,2,0,2.0,-2,0,-2.0,NO
15,1,32,0,5,33,210,3,2,172,135,57.333333333333336,20,0,6.666666666666667,152,135,50.666666666666664,NO
2,5,7,0,4,0,23,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,5,10,0,4,0,34,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,0,135,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,5,7,0,4,0,25,1,1,2,2,2.0,0,0,0.0,2,2,2.0,NO
1,1,1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,2,0,5,1,2,3,2,8,7,2.6666666666666665,15,0,5.0,-7,0,-2.3333333333333335,NO
4,5,13,0,1,0,47,2,1,3,2,1.5,1,0,0.5,2,1,1.0,YES
3,5,12,0,5,1,38,1,1,2,2,2.0,0,0,0.0,2,2,2.0,NO
2,6,10,0,4,0,27,1,1,2,2,2.0,0,0,0.0,2,2,2.0,NO
3,5,10,0,4,0,37,1,1,2,2,2.0,0,0,0.0,2,2,2.0,NO
22,1,22,0,163,231,22,2,2,57,46,28.5,5,0,2.5,52,46,26.0,NO
2,1,2,0,1,1,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,5,6,0,2,0,21,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,5,6,0,8,0,21,0,0,0,0,0.0,0,0,0.0,0,0,0.0,YES
5,5,13,0,3,6,67,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,5,6,0,2,0,21,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
5,5,13,0,6,6,67,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
4,5,11,0,2,0,52,2,2,18,16,9.0,9,0,4.5,9,9,4.5,NO
0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,1,3,0,16,3,3,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,2,0,53,1,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,0,262,0,1,1,1,5,5,5.0,5,0,5.0,0,0,0.0,NO
4,1,4,0,50,6,4,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
29,1,29,0,14,406,29,2,1,70,66,35.0,38,0,19.0,32,28,16.0,YES
0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,5,9,0,3,0,44,1,1,6,6,6.0,0,0,0.0,6,6,6.0,NO
11,1,16,3,13,41,93,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,1,3,0,5,3,3,2,2,29,29,14.5,0,0,0.0,29,29,14.5,YES
4,4,8,17,60,6,21,1,1,2,2,2.0,0,0,0.0,2,2,2.0,NO
3,5,10,1,5,0,33,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,5,6,2,6,3,17,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,5,6,0,2,3,17,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,2,0,26,1,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,1,1,0,30,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,5,4,2,6,1,13,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
11,1,24,0,13,39,101,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
4,2,7,0,5,4,45,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
20,3,53,0,18,126,299,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
10,1,18,2,9,9,86,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
7,2,13,0,6,17,46,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
24,3,48,0,17,250,238,1,1,11,11,11.0,0,0,0.0,11,11,11.0,NO
4,1,11,3,3,0,31,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
7,2,21,0,11,17,90,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
18,1,33,0,13,131,144,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
7,2,8,1,2,9,40,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
11,2,34,0,12,21,180,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
12,1,35,1,13,34,217,2,2,23,23,11.5,3,0,1.5,20,21,10.0,NO
5,3,20,0,13,8,66,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
21,2,52,1,15,142,292,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,5,8,0,4,0,22,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
14,1,18,0,6,61,81,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
13,2,27,0,16,36,119,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
8,2,17,0,14,0,69,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
15,2,48,0,21,73,243,1,1,3,3,3.0,2,0,2.0,1,1,1.0,NO
9,1,17,7,11,24,125,1,1,69,69,69.0,0,0,0.0,69,69,69.0,NO
11,1,22,0,4,55,86,0,0,0,0,0.0,0,0,0.0,0,0,0.0,YES
31,1,59,1,16,437,251,2,2,4,2,2.0,5,0,2.5,-1,1,-0.5,YES
2,1,3,0,3,0,12,1,1,2,2,2.0,0,0,0.0,2,2,2.0,NO
