@RELATION ivy-2.0-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
74,1,163,0,84,2213,1119,41,3,4535,3138,110.60975609756098,3580,0,87.3170731707317,955,3138,23.29268292682927,NO
59,1,148,0,31,0,895,20,3,821,303,41.05,337,0,16.85,484,303,24.2,NO
13,1,148,0,29,78,1407,29,2,941,424,32.44827586206897,434,0,14.96551724137931,507,424,17.482758620689655,YES
13,3,32,0,8,4,134,5,2,130,105,26.0,27,0,5.4,103,105,20.6,NO
13,2,50,0,11,46,267,14,2,221,153,15.785714285714286,51,0,3.642857142857143,170,153,12.142857142857142,NO
10,2,38,0,9,15,197,11,2,180,137,16.363636363636363,51,0,4.636363636363637,129,137,11.727272727272727,NO
7,2,24,0,12,0,122,3,2,51,46,17.0,23,0,7.666666666666667,28,24,9.333333333333334,NO
29,3,97,0,21,316,677,17,3,597,317,35.11764705882353,228,0,13.411764705882353,369,317,21.705882352941178,NO
6,2,36,0,6,0,165,7,3,126,51,18.0,19,0,2.7142857142857144,107,51,15.285714285714286,NO
8,5,32,0,11,18,149,15,3,228,134,15.2,131,0,8.733333333333333,97,134,6.466666666666667,NO
14,5,105,0,20,73,623,19,3,509,309,26.789473684210527,226,0,11.894736842105264,283,309,14.894736842105264,NO
37,4,108,0,16,516,1130,22,3,755,405,34.31818181818182,187,0,8.5,568,405,25.818181818181817,NO
25,4,73,0,18,200,666,10,1,363,241,36.3,81,0,8.1,282,241,28.2,YES
8,6,41,0,6,22,204,12,3,194,80,16.166666666666668,39,0,3.25,155,80,12.916666666666666,NO
5,6,24,0,6,2,88,10,1,101,77,10.1,27,0,2.7,74,77,7.4,NO
3,5,38,2,16,3,159,11,3,144,94,13.090909090909092,42,0,3.8181818181818183,102,94,9.272727272727273,NO
7,4,27,0,7,0,147,7,2,125,94,17.857142857142858,27,0,3.857142857142857,98,94,14.0,NO
6,4,19,0,6,3,94,3,1,101,57,33.666666666666664,15,0,5.0,86,43,28.666666666666668,NO
21,3,54,0,4,0,233,16,2,427,202,26.6875,271,0,16.9375,156,202,9.75,NO
6,4,23,0,8,0,143,11,2,111,75,10.090909090909092,34,0,3.090909090909091,77,75,7.0,NO
