@RELATION jedit-4.3-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
14,1,16,0,2,91,38,3,1,192,191,64.0,191,0,63.666666666666664,1,191,0.3333333333333333,NO
5,3,6,0,1,2,36,3,1,85,84,28.333333333333332,84,0,28.0,1,84,0.3333333333333333,NO
13,1,13,0,2,78,13,4,1,245,243,61.25,247,0,61.75,-2,243,-0.5,NO
118,1,180,0,1,6075,5209,4,1,4384,4381,1096.0,4388,0,1097.0,-4,4381,-1.0,NO
18,1,94,0,13,39,707,2,2,46,33,23.0,43,0,21.5,3,3,1.5,NO
17,5,39,23,25,102,507,7,3,97,30,13.857142857142858,27,0,3.857142857142857,70,29,10.0,NO
5,2,6,2,22,10,26,5,2,52,29,10.4,135,0,27.0,-83,29,-16.6,NO
10,2,29,0,4,17,278,4,2,68,38,17.0,74,0,18.5,-6,13,-1.5,NO
19,2,38,0,17,147,193,9,3,80,58,8.88888888888889,260,0,28.88888888888889,-180,6,-20.0,NO
4,1,19,0,4,4,82,1,1,8,8,8.0,2,0,2.0,6,6,6.0,NO
21,1,67,0,30,0,411,9,3,108,53,12.0,333,0,37.0,-225,13,-25.0,NO
8,3,26,0,12,14,195,2,2,51,50,25.5,28,0,14.0,23,23,11.5,NO
16,1,39,2,17,74,360,4,3,97,82,24.25,201,0,50.25,-104,3,-26.0,NO
89,2,269,0,141,3550,2699,87,11,1252,283,14.39080459770115,3428,0,39.40229885057471,-2176,72,-25.011494252873565,NO
15,1,74,0,19,47,561,16,4,247,52,15.4375,269,0,16.8125,-22,50,-1.375,NO
2,1,4,0,27,1,72,12,6,42,14,3.5,40,0,3.3333333333333335,2,14,0.16666666666666666,NO
1,1,1,0,48,0,1,1,1,0,0,0.0,0,0,0.0,0,0,0.0,NO
5,1,15,15,60,0,57,2,2,4,4,2.0,42,0,21.0,-38,1,-19.0,NO
2,2,9,0,6,1,32,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
13,2,22,6,31,66,99,8,3,106,52,13.25,104,0,13.0,2,45,0.25,NO
11,1,37,0,48,23,187,3,3,277,270,92.33333333333333,40,0,13.333333333333334,237,237,79.0,NO
39,5,244,0,79,231,1783,86,8,1203,239,13.988372093023257,480,0,5.5813953488372094,723,236,8.406976744186046,YES
22,1,47,3,24,231,322,21,5,611,221,29.095238095238095,215,0,10.238095238095237,396,208,18.857142857142858,NO
8,2,55,0,11,12,388,4,3,6,3,1.5,6,0,1.5,0,0,0.0,NO
74,1,228,0,154,2673,2274,65,11,1342,125,20.646153846153847,860,0,13.23076923076923,482,124,7.415384615384616,NO
1,1,1,0,10,0,1,3,3,42,41,14.0,3,0,1.0,39,41,13.0,NO
20,2,84,0,12,46,798,8,5,268,63,33.5,63,0,7.875,205,63,25.625,NO
7,1,8,2,19,0,41,3,2,115,107,38.333333333333336,10,0,3.3333333333333335,105,107,35.0,NO
