@RELATION log4j-1.0-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
9,1,9,0,22,36,9,2,1,114,110,57.0,4,0,2.0,110,110,55.0,YES
19,1,31,9,20,131,181,3,1,298,283,99.33333333333333,10,0,3.3333333333333335,288,283,96.0,NO
12,2,39,0,9,14,174,2,1,272,255,136.0,13,0,6.5,259,255,129.5,YES
14,1,42,2,20,91,247,5,1,313,291,62.6,22,0,4.4,291,291,58.2,YES
49,1,96,3,60,688,800,8,1,1072,1003,134.0,42,0,5.25,1030,1003,128.75,YES
4,1,11,0,1,2,61,2,1,42,41,21.0,1,0,0.5,41,41,20.5,NO
2,1,4,0,4,1,10,2,1,23,14,11.5,2,0,1.0,21,14,10.5,NO
2,2,11,0,4,0,67,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
20,2,46,2,17,58,413,5,1,478,467,95.6,15,0,3.0,463,467,92.6,YES
10,2,33,0,6,33,321,6,1,233,101,38.833333333333336,14,0,2.3333333333333335,219,101,36.5,YES
12,1,43,0,21,24,346,8,1,391,364,48.875,32,0,4.0,359,364,44.875,YES
10,1,13,5,34,45,28,2,1,82,78,41.0,4,0,2.0,78,78,39.0,NO
12,1,41,0,12,0,275,4,1,387,383,96.75,4,0,1.0,383,383,95.75,YES
9,2,18,0,13,30,114,3,1,550,536,183.33333333333334,14,0,4.666666666666667,536,536,178.66666666666666,YES
10,1,13,2,40,15,169,3,1,178,171,59.333333333333336,3,0,1.0,175,171,58.333333333333336,YES
19,2,79,0,28,153,754,7,1,713,620,101.85714285714286,86,0,12.285714285714286,627,620,89.57142857142857,YES
2,3,5,0,4,1,14,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
1,4,3,0,2,0,7,2,1,19,18,9.5,1,0,0.5,18,18,9.0,NO
13,3,42,1,10,0,289,2,1,269,264,134.5,5,0,2.5,264,264,132.0,YES
6,2,12,0,6,13,54,2,1,76,74,38.0,2,0,1.0,74,74,37.0,NO
13,1,40,0,4,8,516,4,1,246,241,61.5,5,0,1.25,241,241,60.25,NO
8,3,25,0,7,0,217,2,1,264,240,132.0,24,0,12.0,240,240,120.0,NO
3,1,8,0,2,1,42,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
5,5,44,0,8,8,289,2,1,358,341,179.0,11,0,5.5,347,341,173.5,NO
4,2,10,0,3,0,37,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
2,1,12,0,4,0,69,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
6,5,44,0,7,13,208,3,1,241,221,80.33333333333333,14,0,4.666666666666667,227,221,75.66666666666667,NO
5,2,11,0,3,0,37,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
19,2,69,0,10,129,675,2,1,290,277,145.0,11,0,5.5,279,277,139.5,NO
5,1,41,0,7,2,250,2,1,104,94,52.0,3,0,1.5,101,94,50.5,NO
4,3,12,2,4,6,111,2,1,118,107,59.0,4,0,2.0,114,107,57.0,NO
8,1,22,0,6,0,176,3,1,147,138,49.0,4,0,1.3333333333333333,143,138,47.666666666666664,NO
8,1,14,0,3,0,146,2,1,119,116,59.5,3,0,1.5,116,116,58.0,NO
4,4,8,0,3,0,38,2,1,60,57,30.0,3,0,1.5,57,57,28.5,NO
7,1,13,0,4,0,236,2,1,144,142,72.0,2,0,1.0,142,142,71.0,YES
8,2,24,1,7,12,179,2,1,182,173,91.0,9,0,4.5,173,173,86.5,NO
4,4,15,0,3,4,80,2,1,76,68,38.0,1,0,0.5,75,68,37.5,NO
5,2,17,2,5,2,95,2,1,90,88,45.0,2,0,1.0,88,88,44.0,YES
3,1,10,0,9,0,49,2,1,37,36,18.5,1,0,0.5,36,36,18.0,NO
4,4,12,0,3,6,99,2,1,95,94,47.5,1,0,0.5,94,94,47.0,NO
4,1,15,0,0,6,73,2,1,60,55,30.0,4,0,2.0,56,55,28.0,YES
7,1,16,0,28,9,91,3,1,120,116,40.0,3,0,1.0,117,116,39.0,YES
5,1,7,0,1,8,22,3,1,45,43,15.0,2,0,0.6666666666666666,43,43,14.333333333333334,NO
6,1,9,0,3,9,44,2,1,82,80,41.0,2,0,1.0,80,80,40.0,YES
