@RELATION poi-2.0-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
3,1,30,0,1,3,315,2,2,34,33,17.0,21,0,10.5,13,13,6.5,NO
8,1,19,0,8,0,333,6,4,335,139,55.833333333333336,81,0,13.5,254,139,42.333333333333336,NO
16,3,28,0,4,120,104,8,2,229,124,28.625,196,0,24.5,33,50,4.125,NO
5,3,7,3,4,4,29,5,2,75,40,15.0,68,0,13.6,7,14,1.4,NO
5,4,7,2,5,4,29,5,2,79,42,15.8,71,0,14.2,8,15,1.6,NO
4,5,8,0,1,6,20,3,2,143,128,47.666666666666664,44,0,14.666666666666666,99,128,33.0,NO
4,4,8,0,3,6,20,5,2,53,36,10.6,54,0,10.8,-1,21,-0.2,NO
4,4,8,0,3,6,20,5,2,54,39,10.8,53,0,10.6,1,21,0.2,NO
4,5,8,0,2,6,20,5,2,60,39,12.0,61,0,12.2,-1,20,-0.2,NO
6,1,25,0,5,7,230,9,2,337,163,37.44444444444444,350,0,38.888888888888886,-13,33,-1.4444444444444444,YES
22,1,56,1,14,197,378,8,2,619,283,77.375,523,0,65.375,96,56,12.0,YES
2,1,8,0,6,1,28,5,2,60,32,12.0,56,0,11.2,4,14,0.8,YES
12,1,30,0,7,48,322,9,2,364,165,40.44444444444444,236,0,26.22222222222222,128,59,14.222222222222221,YES
10,2,20,2,5,0,53,7,2,158,89,22.571428571428573,148,0,21.142857142857142,10,41,1.4285714285714286,NO
19,3,29,0,4,171,128,9,2,325,157,36.111111111111114,243,0,27.0,82,55,9.11111111111111,YES
8,1,12,0,2,8,129,5,2,641,369,128.2,304,0,60.8,337,369,67.4,NO
2,1,16,0,3,1,231,3,2,225,208,75.0,2,0,0.6666666666666666,223,208,74.33333333333333,NO
