@RELATION synapse-1.0-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
1,1,3,0,11,0,69,20,4,150,28,7.5,48,0,2.4,102,28,5.1,NO
5,1,17,3,14,10,88,7,3,97,44,13.857142857142858,11,0,1.5714285714285714,86,38,12.285714285714286,NO
4,1,4,0,55,6,4,2,1,12,12,6.0,0,0,0.0,12,12,6.0,NO
47,1,47,0,56,1081,47,9,2,98,51,10.88888888888889,30,0,3.3333333333333335,68,51,7.555555555555555,NO
3,4,6,0,88,3,17,1,1,0,0,0.0,0,0,0.0,0,0,0.0,NO
6,1,47,0,8,13,257,2,1,13,11,6.5,13,0,6.5,0,0,0.0,YES
26,1,34,0,16,257,196,1,1,39,39,39.0,53,0,53.0,-14,0,-14.0,NO
32,1,76,0,29,172,561,15,3,292,162,19.466666666666665,333,0,22.2,-41,38,-2.7333333333333334,NO
6,1,28,0,10,9,113,4,3,4,2,1.0,3,0,0.75,1,1,0.25,NO
10,1,48,0,14,33,264,4,2,44,30,11.0,4,0,1.0,40,30,10.0,NO
1,1,1,0,9,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
4,2,21,7,15,4,71,3,2,2,1,0.6666666666666666,3,0,1.0,-1,0,-0.3333333333333333,NO
5,2,22,7,15,8,73,2,2,4,2,2.0,4,0,2.0,0,0,0.0,NO
2,1,8,11,15,1,36,4,2,32,29,8.0,26,0,6.5,6,29,1.5,NO
8,1,35,11,25,20,183,3,2,53,27,17.666666666666668,8,0,2.6666666666666665,45,23,15.0,NO
2,3,4,0,7,1,9,3,2,45,32,15.0,10,0,3.3333333333333335,35,32,11.666666666666666,NO
4,3,11,0,7,6,39,3,2,62,49,20.666666666666668,10,0,3.3333333333333335,52,49,17.333333333333332,NO
5,3,18,0,8,8,61,3,2,65,52,21.666666666666668,10,0,3.3333333333333335,55,52,18.333333333333332,NO
5,2,28,0,9,6,106,3,1,4,3,1.3333333333333333,2,0,0.6666666666666666,2,2,0.6666666666666666,NO
6,2,26,0,11,13,105,3,2,4,2,1.3333333333333333,2,0,0.6666666666666666,2,2,0.6666666666666666,NO
1,1,2,0,4,0,88,14,4,88,28,6.285714285714286,26,0,1.8571428571428572,62,17,4.428571428571429,NO
4,2,8,0,4,4,27,2,1,8,7,4.0,2,0,1.0,6,6,3.0,NO
6,2,21,0,10,13,83,2,1,3,2,1.5,2,0,1.0,1,1,0.5,NO
6,1,32,0,11,13,141,2,2,96,93,48.0,2,0,1.0,94,93,47.0,NO
5,1,26,0,13,6,145,4,2,44,22,11.0,40,0,10.0,4,3,1.0,NO
5,2,41,0,11,6,423,4,2,6,4,1.5,2,0,0.5,4,4,1.0,NO
6,2,40,0,13,13,254,3,2,9,6,3.0,3,0,1.0,6,5,2.0,NO
5,3,31,0,12,6,228,3,2,5,4,1.6666666666666667,2,0,0.6666666666666666,3,3,1.0,NO
6,3,31,0,12,13,141,3,2,4,2,1.3333333333333333,3,0,1.0,1,1,0.3333333333333333,NO
5,2,39,0,12,6,224,3,1,5,4,1.6666666666666667,1,0,0.3333333333333333,4,4,1.3333333333333333,NO
6,2,34,0,12,13,190,2,1,3,2,1.5,2,0,1.0,1,1,0.5,NO
4,3,9,0,5,4,30,2,2,4,3,2.0,1,0,0.5,3,3,1.5,NO
6,3,23,0,10,13,87,3,2,5,2,1.6666666666666667,3,0,1.0,2,2,0.6666666666666666,NO
5,2,20,0,8,8,116,3,1,5,4,1.6666666666666667,1,0,0.3333333333333333,4,4,1.3333333333333333,NO
6,2,27,0,11,13,130,2,1,3,2,1.5,2,0,1.0,1,1,0.5,NO
2,1,2,0,4,1,2,1,1,0,0,0.0,0,0,0.0,0,0,0.0,NO
11,1,44,0,13,7,525,9,2,12,4,1.3333333333333333,12,0,1.3333333333333333,0,4,0.0,NO
4,1,31,0,13,4,185,2,1,5,4,2.5,5,0,2.5,0,0,0.0,NO
2,1,2,0,7,1,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
7,1,31,0,8,3,383,6,2,13,5,2.1666666666666665,10,0,1.6666666666666667,3,4,0.5,NO
5,1,24,0,16,8,103,2,2,2,1,1.0,2,0,1.0,0,0,0.0,NO
4,3,9,0,5,4,30,2,2,6,5,3.0,1,0,0.5,5,5,2.5,NO
6,3,23,0,10,13,87,3,2,4,2,1.3333333333333333,3,0,1.0,1,1,0.3333333333333333,NO
5,2,28,0,11,6,216,7,2,46,16,6.571428571428571,27,0,3.857142857142857,19,13,2.7142857142857144,YES
6,2,30,0,12,13,161,5,2,19,9,3.8,11,0,2.2,8,5,1.6,NO
6,1,65,0,12,3,585,12,4,162,79,13.5,58,0,4.833333333333333,104,55,8.666666666666666,NO
5,1,61,0,17,6,522,11,4,151,88,13.727272727272727,61,0,5.545454545454546,90,54,8.181818181818182,NO
5,2,33,0,11,6,289,2,1,151,151,75.5,0,0,0.0,151,151,75.5,NO
6,2,30,0,12,13,167,2,1,93,93,46.5,0,0,0.0,93,93,46.5,NO
7,1,29,0,7,11,175,4,3,15,12,3.75,20,0,5.0,-5,0,-1.25,NO
5,1,27,0,11,6,120,3,3,2,1,0.6666666666666666,7,0,2.3333333333333335,-5,0,-1.6666666666666667,NO
