@RELATION velocity-1.6-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
5,2,35,0,27,0,319,4,2,77,69,19.25,5,0,1.25,72,69,18.0,YES
10,3,20,0,7,3,86,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
12,3,30,0,8,64,93,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
5,2,10,0,5,10,32,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
15,4,89,0,22,51,776,1,1,1,1,1.0,1,0,1.0,0,0,0.0,NO
3,1,10,0,1,1,84,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
37,1,92,0,16,0,438,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,2,8,0,4,3,23,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,1,11,0,3,3,41,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,1,8,0,4,1,45,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
4,1,10,0,6,6,34,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
7,1,26,0,1,1,149,1,1,1,1,1.0,5,0,5.0,-4,0,-4.0,NO
25,1,59,0,13,300,220,4,1,25,9,6.25,144,0,36.0,-119,3,-29.75,YES
28,1,60,0,12,0,278,5,2,33,12,6.6,157,0,31.4,-124,5,-24.8,YES
15,1,28,0,17,29,371,2,1,12,10,6.0,2,0,1.0,10,10,5.0,NO
0,1,0,0,16,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,1,3,0,9,3,3,1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
12,1,35,0,21,66,337,2,1,31,30,15.5,5,0,2.5,26,25,13.0,NO
1,1,1,0,6,0,1,1,1,1,1,1.0,0,0,0.0,1,1,1.0,NO
3,1,3,0,9,3,3,1,1,1,1,1.0,0,0,0.0,1,1,1.0,YES
