@RELATION xerces-1.2-CKPSS

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
10,1,15,1,0,45,53,1,1,60,60,60.0,33,0,33.0,27,27,27.0,YES
8,1,16,1,0,14,117,1,1,60,60,60.0,33,0,33.0,27,27,27.0,YES
5,3,6,0,0,8,34,1,1,60,60,60.0,33,0,33.0,27,27,27.0,YES
2,3,4,0,0,1,9,1,1,60,60,60.0,33,0,33.0,27,27,27.0,YES
8,1,27,1,0,28,128,2,2,73,61,36.5,35,0,17.5,38,27,19.0,YES
8,1,16,1,0,14,115,1,1,60,60,60.0,33,0,33.0,27,27,27.0,YES
4,1,5,0,1,0,28,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
27,4,35,0,2,351,171,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
23,4,26,0,2,253,127,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
17,4,27,0,2,136,123,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,4,7,0,2,3,19,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
5,4,8,0,2,10,28,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
7,4,11,0,2,21,43,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
13,4,16,0,2,78,72,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
11,1,37,0,5,0,332,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
12,4,22,0,3,66,97,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
9,1,22,0,9,18,366,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,4,6,0,2,3,17,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
4,2,8,0,2,4,31,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
3,4,6,0,2,3,17,0,0,0,0,0.0,0,0,0.0,0,0,0.0,NO
