@RELATION Equinox_Framework-PSSNET

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,100,0.309597522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.309597522,0,0,0,0,0,1,1,1,1,0,1,1.053127289,1,1,0,0,0.003095975,0.008203538,0.003095975,0.003095975,0,0,0.003095975,0.00308642,0.003095975,0,0.006172856,0.003086433,2,1,0.00617284,0.00308642,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,1,1,1,1,0,1,182.1066895,28,76.65000153,0.004367371,0,0.003095975,1.41855514,0.086687304,0.237306505,0.006177328,0,0.003095975,0.00308642,0.003095975,0,0.006172852,0.003086433,2,1,0.00617284,0.00308642,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,1,1,1,1,0,1,182.1066895,28,76.65000153,0.004367371,0,0.003095975,1.41855514,0.086687304,0.237306505,0.006177328,0,0.003095975,0.00308642,0.003095975,0,0.006172853,0.003086433,2,1,0.00617284,0.00308642,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,100,0.309597522,0,0,0,0,0,1,0,0,0,1,100,0.309597522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1.053122163,1,1,0,0,0.003095975,0.008203498,0.003095975,0.003095975,0,0,0.00308642,0.003095975,0,0.003095975,0.003086433,0.006172852,1,2,0.00308642,0.00617284,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,1,1,1,1,0,1,182.1066742,28,76.65000153,0.004367371,0,0.003095975,1.418555021,0.086687304,0.237306505,0.006177328,0,0.003095975,0.00308642,0.003095975,0,0.006172853,0.003086433,2,1,0.00617284,0.00308642,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,1,1,1,1,0,1,182.1066742,28,76.65000153,0.004367371,0,0.003095975,1.418555021,0.086687304,0.237306505,0.006177328,0,0.003095975,0.00308642,0.003095975,0,0.006172853,0.003086433,2,1,0.00617284,0.00308642,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,8.668730736,100,0,0,0,0,1,1,1,1,0,1,182.1066132,28,76.65000153,0.004367371,0,0.003095975,1.418554544,0.086687304,0.237306505,0.006177328,0,0.003095975,0.00308642,0.003095975,0,0.006172853,0.003086433,2,1,0.00617284,0.00308642,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,2,100,9.907120705,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,100,9.907120705,100,1,1,0,0,2,1,0.5,0,0,2,219.2864838,32,80.93334961,0.005239794,16.85281372,0.00619195,1.708174229,0.099071205,0.250567645,0.007411307,0.000324074,0.007011831,0.00308642,0.561594605,0,0.090843,0.003086433,29.91638947,1,0.092334539,0.00308642,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63292E-07,0,0,0,0,0,-1.27199E-09,0,0,0,0,0.00308642,0.00308642,0,0,0.003086433,0.003086433,1,1,0.00308642,0.00308642,NO
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4009E-07,0,0,0,0,0,-4.9861E-09,0,0,0,0,0.00308642,0.00308642,0,0,0.003086433,0.003086433,1,1,0.00308642,0.00308642,NO
