@RELATION Mylyn-PSSNET

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87973E-07,0,0,0,0,0,9.44476E-09,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.66608E-06,0,0,0,0,0,-5.16021E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,8.0,8.0,2.66667,5.0,5.0,1.66667,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55911E-07,0,0,0,0,0,1.65662E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,19.0,19.0,6.33333,15.0,15.0,5.0,4.0,4.0,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35916E-07,0,0,0,0,0,2.63066E-09,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,8.0,8.0,2.66667,3.0,3.0,1.0,5.0,5.0,1.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85208E-07,0,0,0,0,0,1.13267E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98923E-08,0,0,0,0,0,1.35277E-09,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,5.0,5.0,1.66667,1.0,1.0,0.333333,4.0,4.0,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72842E-07,0,0,0,0,0,1.49584E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,5.0,5.0,1.66667,4.0,4.0,1.33333,1.0,1.0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.91193E-07,0,0,-3.88561E-21,0,0,-3.70056E-09,0,0,-5.49591E-21,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
4,3,11.0,6.0,2.75,10.0,9.0,2.5,1.0,5.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76422E-06,0,0,0,0,0,-5.35017E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.74461E-07,0,0,0,0,0,-1.11187E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
4,3,17.0,11.0,4.25,19.0,15.0,4.75,-2.0,2.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01113E-06,0,0,0,0,0,-1.95705E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,4.0,4.0,1.33333,1.0,1.0,0.333333,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73822E-06,0,0,0,0,0,5.29985E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,4.0,4.0,1.33333,2.0,2.0,0.666667,2.0,2.0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2008E-06,0,0,0,0,0,-2.32417E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,3,5.0,5.0,1.66667,1.0,1.0,0.333333,4.0,4.0,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45174E-07,0,0,0,0,0,1.82939E-08,0,0,0,0,0.000537057,0.000537057,0,0,0.00053705,0.00053705,1,1,0.000537057,0.000537057,NO
3,2,24.0,20.0,8.0,1.0,1.0,0.333333,23.0,20.0,7.66667,3,0,6,0,3,100,0.64481461,92.30769348,3,1,0,0,3,0,6,0,3,100,0.64481461,92.30769348,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.333333343,4.06909E-08,0,3,108.4655838,12,331.9686584,0.001099232,1363.51123,0.001612036,2.099359751,0.006448146,0.178381875,0.001554783,0.000787824,0.000537057,0.000877071,0,0.387878895,0.00053705,0.102218039,1,190.6186676,0.000537057,0.102373078,NO
6,2,21.0,9.0,3.5,7.0,4.0,1.16667,14.0,8.0,2.33333,7,4,42,9.523809433,3,42.8571434,15.36808205,85.11904907,19,0.90476191,0,0,7,4,42,9.523809433,3,42.8571434,15.36808205,85.11904907,19,0.90476191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.285714149,0.897959173,0.156369656,0.003910315,0.04426948,7,1850.701538,286,443.936554,0.019210752,774.713623,0.003761419,35.8204689,0.153680816,0.23854731,0.02717221,0.000447622,0.000537057,0.000876645,0,0.387580782,0.00053705,0.147479936,1,274.8496399,0.000537057,0.147609904,NO
7,2,55.0,34.0,7.85714,89.0,56.0,12.7143,-34.0,7.0,-4.85714,6,3,30,10,3,50,11.2305212,86.36363983,13.5,0.899999976,0,0,6,3,30,10,3,50,11.2305212,86.36363983,13.5,0.899999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0.875,0.188279822,0.014540285,0.056308758,6,1479.682007,209,423.7778931,0.015364755,200.5541229,0.003224073,28.63935852,0.112305209,0.22771515,0.021732327,0.000115878,0.000537057,0.000876602,0,0.387550503,0.00053705,0.139615953,1,260.2159119,0.000537057,0.139750764,NO
