@RELATION jedit-4.2-PSSNET

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
3,1,181,81,60.333333333333336,56,0,18.666666666666668,125,66,41.666666666666664,22,116,462,25.10822487,1,4.545454502,25.94594574,14.28571415,173,0.748917758,5.369047642,1.162131548,1,0,0,0,1,100,13.24324322,98,0,0,0,0,21,105,420,25,1,4.761904716,25.67567635,15.27331161,157.5,0.75,0,0,15.63636303,0.710743785,0.093485869,0.028599406,0.402698725,23,2323.032715,96,142.0836182,0.031594831,249.4450531,0.062162161,12.49926376,0.259459466,0.384009778,0.044688586,0.00365407,0.003410138,0.008805959,0.210155174,0.695803881,0.121272534,0.163208559,45.08332825,61.09061432,0.121518403,0.16466473,NO
3,1,30,20,10.0,4,0,1.3333333333333333,26,17,8.666666666666666,20,121,380,31.84210587,1,5,27.29729652,15.93059921,129.5,0.681578934,8.719444275,2.294590712,11,14,110,12.72727299,1,9.090909004,20.27026939,33.18584061,48,0.872727275,0,0,9,41,72,56.94444275,1,11.11111069,25.67567635,23.2843132,15.5,0.430555552,0,0,12.30000019,0.61500001,0.10779646,0.030267838,0.435475498,21,2276.18042,101,142.3336182,0.030981656,45.50559616,0.056756757,12.2471714,0.272972971,0.384685457,0.043821298,0.000666602,0.00340951,0.008816241,0.210009471,0.696160793,0.101452716,0.188748851,37.74999619,70.5405426,0.101752013,0.190136239,NO
1,1,22,22,22.0,0,0,0.0,22,22,22.0,11,44,110,40,1,9.090909004,22.97297287,18.12366676,33,0.600000024,0.333333343,0.303030312,5,4,20,20,1,20,20.27026939,52.81690216,8,0.800000012,0,0,6,11,30,36.66666794,1,16.66666603,20.5405407,23.2415905,9.5,0.633333325,0,0,5.681818008,0.516528904,0.137048677,0.002486701,0.225989133,12,1408.832642,85,119.7333527,0.019038795,3.553189039,0.032432433,7.580337048,0.229729727,0.32360366,0.026928987,5.20499E-05,0.00340907,0.008808056,0.209907487,0.695876718,0.092668936,0.171316668,34.49999619,64.09061432,0.092991903,0.17275098,NO
2,1,38,34,19.0,26,0,13.0,12,11,6.0,10,39,90,43.33333206,1,10,22.43243217,18.94977188,25.5,0.566666663,1.600000024,1.777777791,2,1,2,50,1,50,16.21621704,82.19178009,0.5,0.5,0,0,8,25,56,44.6428566,1,12.5,21.62162209,21.91780853,15.5,0.553571403,0,0,5.049999714,0.504999995,0.151772246,0.001778741,0.230709344,11,1295.361084,83,118.5666885,0.017500488,1.14112103,0.02972973,6.969794273,0.224324331,0.320450515,0.024753166,1.6716E-05,0.00340929,0.008806379,0.209958464,0.695818484,0.0976239,0.165010363,36.33333206,61.75728226,0.097933508,0.166461676,NO
3,1,43,32,14.333333333333334,12,0,4.0,31,31,10.333333333333334,11,45,110,40.90909195,1,9.090909004,23.78378296,18.6046505,32.5,0.590909064,1.899999976,1.727272749,3,2,6,33.33333206,1,33.33333206,14.32432461,72.60273743,2,0.666666687,0,0,8,25,56,44.6428566,1,12.5,23.24324417,21.5,15.5,0.553571403,0,0,6,0.545454562,0.145961031,0.004553035,0.263656706,12,1468.220581,88,133.9169769,0.019919157,26.27143097,0.032432433,7.899878979,0.237837836,0.361937761,0.028174197,0.000384845,0.003409259,0.008807427,0.209951192,0.695854902,0.09717343,0.168163523,36.16666412,62.92395401,0.097484268,0.169606343,NO
3,1,75,41,25.0,41,0,13.666666666666666,34,20,11.333333333333334,12,42,132,31.81818199,1,8.333333015,23.51351357,17.57575798,45,0.681818187,1.333333373,1.010100961,1,0,0,0,1,100,13.24324322,98,0,0,0,0,11,35,110,31.81818199,1,9.090909004,23.24324417,19.3258419,37.5,0.681818187,0,0,7.666666508,0.638888896,0.1218144,0.0038548,0.206183568,13,1515.726807,87,134.2503052,0.020553865,30.53660393,0.035135135,8.155489922,0.235135138,0.362838656,0.029071944,0.000447324,0.003409447,0.008805959,0.209994912,0.695803881,0.102353618,0.163208559,38.08333206,61.09061432,0.102650493,0.16466473,NO
3,1,37,28,12.333333333333334,25,0,8.333333333333334,12,11,4.0,11,33,110,30,1,9.090909004,22.97297287,17.89473724,38.5,0.699999988,1.333333373,1.212121248,1,0,0,0,1,100,13.24324322,98,0,0,0,0,10,26,90,28.88888931,1,10,22.70270348,19.76470566,32,0.711111128,0,0,7.454545498,0.677685916,0.120257258,0.002766528,0.148235068,12,1424.202393,85,133.3336487,0.019309847,35.99793243,0.032432433,7.663035393,0.229729727,0.360361218,0.027312372,0.000527326,0.003409321,0.008805959,0.209965765,0.695803881,0.099876158,0.163208559,37.16666412,61.09061432,0.100179687,0.16466473,NO
3,1,64,34,21.333333333333332,14,0,4.666666666666667,50,29,16.666666666666668,19,104,342,30.40935707,1,5.263157845,26.75675583,15.49295807,119,0.69590646,33.86904907,9.903230667,10,17,90,18.88888931,1,10,22.43243217,35.02109528,36.5,0.811111093,10.5,11.66666698,10,29,90,32.22222137,1,10,24.32432365,21.6867466,30.5,0.677777767,2.25,2.5,12.27499962,0.646052599,0.106440201,0.025389494,0.396395594,20,2153.305176,99,141.4169617,0.029265398,49.38272858,0.054054055,11.58603191,0.267567575,0.38220799,0.041393775,0.000723397,0.00340951,0.008854852,0.210009471,0.69749397,0.102353625,0.211161479,38.08333206,78.83328247,0.102650493,0.212488636,NO
2,1,12,10,6.0,145,0,72.5,-133,0,-66.5,10,34,90,37.77777863,1,10,25.13513565,19.91434669,28,0.622222245,9.5,10.55555534,1,0,0,0,1,100,13.24324322,98,0,0,0,0,9,29,72,40.27777863,1,11.11111069,24.59459496,21.82254219,21.5,0.597222209,0,0,6.099999905,0.610000014,0.13118571,0.002568828,0.143667355,10,1453.701416,93,135.5002899,0.019860974,39.07123184,0.027027028,7.821757317,0.251351357,0.366216987,0.0280919,0.000572346,0.003409415,0.008805959,0.209987611,0.695803881,0.100326613,0.163208559,37.33333206,61.09061432,0.100628927,0.16466473,NO
2,1,169,156,84.5,65,0,32.5,104,156,52.0,12,47,132,35.60606003,1,8.333333015,23.24324417,18.02935028,42.5,0.643939376,11.73333359,8.888889313,3,2,6,33.33333206,1,33.33333206,18.64864922,70.40816498,2,0.666666687,0,0,10,31,90,34.44444275,1,10,22.70270348,21.05263138,29.5,0.655555546,4.5,5,7.192307472,0.599358976,0.135624766,0.0363461,0.249995723,13,1505.921997,86,134.0003052,0.0204277,14.8815403,0.035135135,8.102734566,0.232432425,0.362162977,0.028893493,0.000217997,0.003409353,0.008811831,0.209973052,0.696007907,0.100101359,0.172082424,37.24999237,64.37393188,0.100404292,0.173514634,NO
