@RELATION ant-1.4-PSSNET

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
20,3,665,129,33.25,181,0,9.05,484,103,24.2,14,31,182,17.03296661,2,14.28571415,77.9661026,37.91208649,75.5,0.82967031,13,7.142857075,9,0,72,0,9,100,25.98870087,44.6601944,36,1,0,0,5,7,20,35,1,20,75.14124298,50.95785522,6.5,0.649999976,0,0,10.25,0.732142866,0.11483895,0.055937365,0.224620819,15,3131.770996,138,87.06668091,0.070201121,199.308197,0.084745765,12.49533176,0.779661,0.491902143,0.099294372,0.012795852,0.006571132,0.006841109,0.145876974,0.179807022,0.083606392,0.112888366,14.94999886,20.16666603,0.083988756,0.113295875,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,12,30,132,22.72727203,1,8.333333015,70.05649567,37.12574768,51,0.772727251,11.83333302,8.964646339,9,11,72,15.27777767,2,22.22222137,52.54237366,58.125,30.5,0.847222209,7,9.722222328,4,9,12,75,1,25,67.79660797,46.15384674,1.5,0.25,0,0,8.038461685,0.669871807,0.167369172,0.084218241,0.348585278,13,2574.280518,124,83.65003204,0.057666153,70.47923279,0.073446326,10.27102184,0.700564981,0.472599059,0.081564575,0.004524861,0.006525586,0.019266354,0.139878124,0.712435722,0.07346864,0.346690625,13.14999962,62.08329773,0.073876403,0.348782569,NO
1,1,2,2,2.0,2,0,2.0,0,0,0.0,118,500,13806,3.621613741,2,1.694915295,90.96044922,11.45907497,6653,0.96378386,43.48333359,0.314959675,117,445,13572,3.278809309,2,1.709401727,90.96044922,11.94361973,6563.5,0.967211902,0,0,1,0,0,0,1,100,31.6384182,98.2456131,0,0,0,0,110.6440659,0.937661588,0.042275481,0.293223888,0.687514663,119,16310.45605,161,143.8666229,0.364961416,5601.648926,0.672316372,65.07645416,0.909604549,0.812805772,0.516211331,0.359633327,0.005649718,0.026916059,0.005649718,0.795753241,0.011235953,0.727601707,2,129.5833282,0.011235955,0.72799623,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,11,18,110,16.36363602,1,9.090909004,53.10734558,48.20512772,46,0.836363614,3.833333254,3.484848499,10,12,90,13.33333302,1,10,52.54237366,51.09889984,39,0.866666675,0,0,1,0,0,0,1,100,6.779661179,92.30769348,0,0,0,0,8.636363983,0.785123944,0.149643034,0.045765359,0.250810057,11,1718.163208,94,78.06665802,0.03845688,40.9717865,0.062146891,6.855232716,0.531073451,0.441054553,0.054394454,0.002630443,0.006520058,0.019266354,0.139148101,0.712435722,0.052201491,0.348573864,9.385713577,62.41663361,0.052728727,0.350655258,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,2,12,16.66666603,2,50,10.16949177,50,5,0.833333313,2,16.66666603,3,1,6,16.66666603,2,66.66666412,8.474575996,60,2.5,0.833333313,0,0,1,0,0,0,1,100,6.214689255,100,0,0,0,0,3,0.75,0.311006427,0.006008354,0.11300505,4,294.0057983,18,59.75947571,0.006526169,1.450000048,0.02259887,1.173042417,0.101694912,0.337624162,0.009230792,9.30919E-05,0.00655677,0.00588118,0.144004315,0.0450073,0.044448469,0.035495985,8.019046783,6.333333492,0.045050826,0.035580527,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103912,0,0,0,0,0,4.14596E-07,0,0,0,0,0.005617978,0.005617978,0,0,0.005617977,0.005617977,1,1,0.005617978,0.005617978,NO
5,2,13,5,2.6,12,0,2.4,1,5,0.2,9,18,72,25,1,11.11111069,76.83615875,47.55244827,27,0.75,6.333333492,8.79629612,4,0,12,0,4,100,10.16949177,52.94117737,6,1,0,0,5,6,20,30,2,40,75.7062149,53.17460251,7,0.699999988,0,0,6,0.666666687,0.196109921,0.025111085,0.310650885,10,2054.998779,136,84.15001678,0.046019845,109.4840622,0.056497175,8.199160576,0.768361568,0.475423813,0.065091722,0.007029023,0.006609904,0.005780158,0.15092364,0.028216846,0.07641834,0.030883111,13.68333149,5.5,0.076872647,0.030898876,YES
1,1,74,74,74.0,47,0,47.0,27,27,27.0,2,1,2,50,1,50,49.15254211,91.57894897,0.5,0.5,0,0,1,0,0,0,1,100,4.51977396,88.8888855,0,0,0,0,1,0,0,0,1,100,48.02259827,98.83721161,0,0,0,0,1.25,0.625,0.571930945,0.008189398,0.067994505,3,697.2114868,87,72.3999939,0.015628241,0,0.016949153,2.781777143,0.491525412,0.409039527,0.022105008,0,0.006564551,0.005649718,0.145019993,0.005649718,0.061397627,0.011235953,11.01904774,2,0.061904762,0.011235955,NO
2,1,15,10,7.5,0,0,0.0,15,10,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5322E-06,0,0,0,0,0,-2.20727E-08,0,0,0,0,0.005617978,0.005617978,0,0,0.005617977,0.005617977,1,1,0.005617978,0.005617978,NO
7,3,27,9,3.857142857142857,7,0,1.0,20,9,2.857142857142857,25,59,600,9.833333015,1,4,79.66101837,30.32258034,270.5,0.901666641,15.5,2.583333254,23,35,506,6.916996002,1,4.347826004,54.23728943,28.15249252,235.5,0.930830061,0,0,2,0,2,0,2,100,67.23163605,95.96774292,1,1,0,0,20.39999962,0.815999985,0.078106232,0.082470477,0.315751284,26,4751.564941,141,93.86668396,0.106489204,188.8233795,0.146892652,18.95808601,0.796610177,0.530320227,0.15062122,0.012122713,0.005714101,0.019710468,0.016917413,0.719069362,0.019647162,0.323147297,3.5,57.92737579,0.019662922,0.325434685,NO
