@RELATION camel-1.4-PSSNET

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
1,1,2,2,2.0,0,0,0.0,2,2,2.0,2,0,2,0,2,100,1.836969018,94.11764526,1,1,1,50,1,0,0,0,1,100,0.688863397,85.7142868,0,0,0,0,1,0,0,0,1,100,1.148105621,100,0,0,0,0,2,1,0.5,0,0,2,141.9839478,16,248.4989624,0.001340428,2.229798079,0.002296211,1.179737329,0.01836969,0.285303056,0.001895937,5.88516E-06,0.001148106,0.003913288,0.001148106,0.707767606,0.002293582,0.101480789,2,89.10317993,0.002293578,0.102182545,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,24,41,552,7.427536011,1,4.166666508,11.82548809,34.2192688,255.5,0.925724626,0,0,24,41,552,7.427536011,1,4.166666508,11.82548809,34.2192688,255.5,0.925724626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333397,0.868055522,0.074680567,0.076903626,0.271771163,24,3575.923584,103,291.8521118,0.034076191,203.0361023,0.027554534,29.71216393,0.118254878,0.335077047,0.04819829,0.000535878,0.001146789,0.003955136,0,0.710868299,0.001146793,0.223501086,1,195.3830566,0.001146789,0.224063143,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,25,79,600,13.16666698,1,4,48.33524704,51.97530746,260.5,0.86833334,9.283333778,1.547222257,22,24,462,5.194805145,4,18.18181801,13.54764652,41.99288177,219,0.948051929,0,0,3,1,6,16.66666603,2,66.66666412,44.66130829,73.53497314,2.5,0.833333313,0,0,19.68000031,0.787200034,0.091327675,0.097172737,0.407850951,25,5652.278809,421,357.0671387,0.053912509,327.7418213,0.028702641,46.9644928,0.483352482,0.409950793,0.076255314,0.000865017,0.001776695,0.003928555,0.354947627,0.70890522,0.065410309,0.189881086,57.33023071,166.0988312,0.065745674,0.190480307,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0,1,100,3.444316864,96.77419281,0,0,0,0,1,0,0,0,1,100,3.444316864,96.77419281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,210.5704041,30,257.4347229,0.002004671,0,0.001148106,1.749618649,0.03444317,0.295562267,0.002835461,0,0.001146789,0.003915135,0,0.707905889,0.001146793,0.106346533,1,93.34120941,0.001146789,0.10704267,NO
4,4,14,6,3.5,8,0,2.0,6,5,1.5,148,507,21756,2.330391645,1,0.67567569,75.08610535,25.477211,10624.5,0.976696074,4422.820313,20.32919693,140,432,19460,2.219938278,1,0.714285731,72.67508698,26.11386108,9514,0.977800608,3370.824951,17.32181358,12,5,132,3.787878752,8,66.66666412,31.45809364,70.07672882,63.5,0.962121189,50,37.87878799,142.5361786,0.963082314,0.019598037,0.157655329,0.464152098,148,22370.6582,654,463.0170898,0.21294497,36567.43359,0.16991964,185.8766479,0.750861108,0.531592548,0.301195145,0.096513279,0.001778865,0.003958191,0.355735004,0.711090803,0.09995231,0.422260106,87.41658783,368.5000305,0.100248381,0.422591776,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,9,8,72,11.11111069,1,11.11111069,21.92881775,68.45877838,32,0.888888896,0,0,8,0,56,0,8,100,10.21813965,67.93893433,28,1,0,0,1,0,0,0,1,100,16.99196243,100,0,0,0,0,7.722222328,0.858024716,0.142319188,0.057761554,0.100284755,9,1962.842041,191,304.9521179,0.018710917,22.68799019,0.01033295,16.3091526,0.21928817,0.350117236,0.02646523,5.98809E-05,0.001777751,0.003930488,0.355330795,0.709048688,0.075986028,0.190291286,66.5417099,166.4561157,0.076309301,0.190890044,NO
1,1,1,1,1.0,2,0,2.0,-1,0,-1.0,10,3,90,3.333333254,8,80,16.30310059,79.77528381,43.5,0.966666639,0,0,10,3,90,3.333333254,8,80,16.30310059,79.77528381,43.5,0.966666639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.649999619,0.964999974,0.111288667,0.008213541,0.050235838,10,1155.961914,142,295.3829956,0.010957379,992.8214722,0.011481056,9.604827881,0.163030997,0.339130878,0.015498415,0.002620377,0.001146789,0.003979804,0,0.712668121,0.001146793,0.196438685,1,171.8138885,0.001146789,0.19703427,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,12,12,132,9.090909004,2,16.66666603,33.18025208,83.52600861,60,0.909090936,10,7.575757504,10,2,90,2.222222328,8,80,3.099885225,50.94339752,44,0.977777779,0,0,2,0,2,0,2,100,33.06544113,98.29351807,1,1,0,0,10.5,0.875,0.16488491,0.205627501,0.259273142,13,2139.93335,289,324.8332825,0.020362251,97.61677551,0.014925373,17.78059578,0.331802517,0.372942924,0.02880092,0.000257642,0.001776695,0.003907442,0.354947627,0.707327902,0.064654469,0.130683318,56.6719017,114.5375748,0.064990714,0.131350428,NO
7,5,49,18,7.0,243,0,34.714285714285715,-194,18,-27.714285714285715,3,4,6,66.66666412,1,33.33333206,29.50631523,76.71641541,1,0.333333343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,66.66666412,1,33.33333206,29.50631523,76.71641541,1,0.333333343,0,0,1.333333254,0.444444448,0.368907154,0.001257285,0.051642589,3,1910.627441,257,315.71698,0.018261686,0,0.003444317,15.87530422,0.295063138,0.362476438,0.025829824,0,0.001781048,0.001146789,0.356526285,0,0.081675865,0.001146793,71.49884796,1,0.081994094,0.001146789,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,63,140,3906,3.584229469,1,1.587301612,42.02066422,31.68831253,1883,0.964157701,27.58333397,0.706178546,62,109,3782,2.882072926,1,1.612903237,39.4948349,34.88843918,1836.5,0.971179247,15.5,0.409836054,2,2,2,100,1,50,28.93226242,79.49526978,0,0,0,0,59.3671875,0.942336321,0.032837652,0.133642778,0.287406117,63,10680.70996,366,367.7682495,0.101813935,3254.689697,0.072330654,88.74546814,0.420206666,0.4222368,0.144008398,0.008590179,0.001777776,0.003950561,0.355340004,0.710531235,0.077612467,0.316824496,67.95835876,276.6659851,0.0779339,0.317277491,NO
