@RELATION xerces-1.2-PSSNET

@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
1,1,60,60,60.0,33,0,33.0,27,27,27.0,8,10,56,17.8571434,1,12.5,18.09954834,52.2875824,23,0.821428597,7.5,13.39285755,3,2,6,33.33333206,1,33.33333206,2.941176414,61.90476227,2,0.666666687,0,0,5,3,20,15,2,40,17.19457054,57.57575607,8.5,0.850000024,0,0,5.5625,0.6953125,0.189762041,0.00926506,0.226310164,9,-0.331979781,80,149.5999756,0.014759282,657.4663696,0.020361992,-0.275846809,0.180995479,0.338461488,0.020875929,0.006745943,0.002375042,0.002272727,0.049671613,0.00678733,0.031556752,0.009029356,13.99999905,4,0.031602707,0.009029346,YES
1,1,60,60,60.0,33,0,33.0,27,27,27.0,4,2,12,16.66666603,2,50,2.941176414,59.09090805,5,0.833333313,1,8.333333015,1,0,0,0,1,100,0.904977381,100,0,0,0,0,3,0,6,0,3,100,2.941176414,72.22222137,3,1,0,0,3,0.75,0.362087667,0.012777828,0.197916672,5,-0.20944722,13,111.7856445,0.000896996,123.5222931,0.011312217,-0.174032733,0.029411765,0.252908707,0.001268735,0.001267402,0.002391801,0.002262444,0.056346588,0.002262444,0.026828011,0.00451468,11.91666698,2,0.026899926,0.004514673,YES
1,1,60,60,60.0,33,0,33.0,27,27,27.0,2,0,2,0,2,100,1.809954762,72.72727203,1,1,0,0,2,0,2,0,2,100,1.809954762,72.72727203,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0,3,0.643603086,8,95.45228577,0.00013686,0.625,0.00678733,0.534779131,0.018099548,0.215955392,0.000193578,6.41282E-06,0.002257336,0.002277881,0,0.009039559,0.002257344,0.009024249,1,4,0.002257336,0.009029346,YES
1,1,60,60,60.0,33,0,33.0,27,27,27.0,6,4,30,13.33333302,2,33.33333206,4.298642635,50,13,0.866666675,0,0,6,4,30,13.33333302,2,33.33333206,4.298642635,50,13,0.866666675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666666508,0.777777791,0.275439322,0.001669706,0.284595966,6,3.038076639,19,121.5166473,0.002025394,171.3326111,0.013574661,2.524381876,0.042986427,0.274924546,0.002864772,0.001757961,0.002257336,0.002288329,0,0.013574661,0.002257344,0.015801365,1,7,0.002257336,0.015801355,YES
2,2,73,61,36.5,35,0,17.5,38,27,19.0,11,22,110,20,1,9.090909004,10.18099594,29.80132484,44,0.800000012,17.33333397,15.75757599,3,2,6,33.33333206,1,33.33333206,1.809954762,47.05882263,2,0.666666687,0,0,8,17,56,30.3571434,1,12.5,9.502262115,31.3432827,19.5,0.696428597,0,0,7,0.636363626,0.168951616,0.015499148,0.351289153,12,1.026289701,45,127.6999741,0.005842086,182.5979919,0.027149322,0.852759004,0.101809956,0.288913965,0.008263206,0.001873549,0.002314779,0.002272727,0.024871558,0.00678733,0.023694379,0.009029356,10.5,4,0.023702031,0.009029346,YES
1,1,60,60,60.0,33,0,33.0,27,27,27.0,5,3,20,15,2,40,8.597285271,65.51724243,8.5,0.850000024,1.5,7.5,1,0,0,0,1,100,0.904977381,100,0,0,0,0,4,1,12,8.333333015,3,75,8.597285271,70.37036896,5.5,0.916666687,0,0,3.799999952,0.75999999,0.279027253,0.010705403,0.175946966,6,3.227776766,38,121.7332993,0.00205218,364.3436279,0.013574661,2.682006598,0.085972853,0.275414705,0.002902658,0.003738353,0.002330842,0.002262444,0.031607814,0.002262444,0.021416618,0.00451468,9.5,2,0.021444695,0.004514673,YES
0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0,1,100,5.203619957,95.83333588,0,0,0,0,1,0,0,0,1,100,5.203619957,95.83333588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,-134.7493134,23,121.0690689,0.00294398,0,0.004524887,-111.9651566,0.0520362,0.273911923,0.004164046,0,0.002257336,0.00258908,0,0.128423035,0.002257344,0.049099661,1,21.83333397,0.002257336,0.049285177,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,12,25,2,50,29.18552017,51.59999847,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,29.18552017,51.59999847,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,28.51934242,129,152.0188599,0.026829872,89.15895844,0.009049774,23.69713402,0.291855216,0.343934059,0.037948899,0.000914817,0.003025967,0.002257336,0.254588723,0,0.101717778,0.002257344,45.21665573,1,0.102069199,0.002257336,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,12,25,2,50,29.18552017,51.59999847,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,29.18552017,51.59999847,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,28.52394485,129,152.0188599,0.026829872,89.15895844,0.009049774,23.70095825,0.291855216,0.343934059,0.037948899,0.000914817,0.003025967,0.002257336,0.254588723,0,0.101717778,0.002257344,45.21665573,1,0.102069199,0.002257336,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,12,25,2,50,29.18552017,51.59999847,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,29.18552017,51.59999847,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,28.52492714,129,152.0188599,0.026829872,89.15895844,0.009049774,23.7017746,0.291855216,0.343934059,0.037948899,0.000914817,0.003025967,0.002257336,0.254588723,0,0.101717778,0.002257344,45.21665573,1,0.102069199,0.002257336,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,12,25,2,50,29.18552017,51.80722809,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,29.18552017,51.80722809,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,-4.019723892,129,152.0188599,0.026704861,125.505127,0.009049774,-3.340046883,0.291855216,0.343934059,0.037772082,0.001287747,0.00303511,0.002257336,0.256840944,0,0.102466814,0.002257344,45.54998779,1,0.102821641,0.002257336,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,12,25,2,50,29.18552017,51.80722809,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,29.18552017,51.80722809,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,-4.022125244,129,152.0188599,0.026704861,125.505127,0.009049774,-3.342042208,0.291855216,0.343934059,0.037772082,0.001287747,0.00303511,0.002257336,0.256840944,0,0.102466814,0.002257344,45.54998779,1,0.102821641,0.002257336,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,12,25,2,50,29.18552017,51.80722809,4.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,2,50,29.18552017,51.80722809,4.5,0.75,0,0,3.25,0.8125,0.260505319,0.000266326,0.020700013,4,-4.022025585,129,152.0188599,0.026704861,125.505127,0.009049774,-3.341959238,0.291855216,0.343934059,0.037772082,0.001287747,0.00303511,0.002257336,0.256840944,0,0.102466814,0.002257344,45.54998779,1,0.102821641,0.002257336,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,4,12,33.33333206,1,25,28.9592762,51.20000076,4,0.666666687,0.5,4.166666508,1,0,0,0,1,100,16.51583672,98.64865112,0,0,0,0,4,4,12,33.33333206,1,25,28.9592762,51.20000076,4,0.666666687,0.5,4.166666508,2.700000048,0.675000012,0.352167815,0.238268301,0.09348309,4,0.139132008,128,151.8522034,0.027064502,54.21428299,0.009049774,0.1156068,0.289592773,0.34355703,0.038280766,0.000556266,0.003016838,0.002576508,0.25232628,0.124158606,0.100214601,0.065324061,44.54999161,29,0.100564316,0.065462753,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,16,50,240,20.83333397,2,12.5,53.16741943,36.89167786,95,0.791666687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,240,20.83333397,2,12.5,53.16741943,36.89167786,95,0.791666687,0,0,12.625,0.7890625,0.0908117,0.015319924,0.19342649,17,0.258906007,235,186.8497467,0.100665957,3999.711182,0.03846154,0.21512875,0.531674206,0.422736973,0.142384663,0.041039094,0.003055208,0.002257336,0.261743784,0,0.137600228,0.002257344,61.0833168,1,0.137885585,0.002257336,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,5,3,20,15,3,60,29.41176414,50.38759613,8.5,0.850000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,15,3,60,29.41176414,50.38759613,8.5,0.850000024,0,0,4.400000095,0.879999995,0.206723407,0.000267844,0.016560011,5,-5.292942524,130,152.6855316,0.027306298,147.3923035,0.011312217,-4.397982597,0.294117659,0.345442384,0.03862277,0.001512321,0.003035151,0.002257336,0.256851166,0,0.103975117,0.002257344,46.21665192,1,0.104326531,0.002257336,NO
0,0,0,0,0.0,0,0,0.0,0,0,0.0,23,61,506,12.055336,2,8.695652008,40.271492,43.30900192,222.5,0.879446626,74.41666412,14.70685101,7,11,42,26.19047546,1,14.28571415,19.68325806,54.71697998,15.5,0.738095224,0,0,16,18,240,7.5,3,18.75,32.80543137,57.5396843,111,0.925000012,0,0,18.847826,0.819470704,0.100552097,0.128499791,0.396134585,24,1.332924247,178,175.3332214,0.063439324,1794.582031,0.054298643,1.107546091,0.402714938,0.396681488,0.0897303,0.018413335,0.002420989,0.002583239,0.06775073,0.12644659,0.050557986,0.073238209,22.41666603,32.5,0.050601956,0.073363431,NO
