@RELATION ant-1.6-allm

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
49,2,126,1,24,926,1512,25,10,244,111,9.76,108,0,4.32,136,60,5.44,23,57,506,11.26482201,2,8.695652008,71.22507477,37.99391937,224.5,0.887351751,48.16666794,9.519104004,17,17,272,6.25,2,11.76470566,52.70655441,51.53203201,127.5,0.9375,1.5,0.551470578,7,11,42,26.19047546,1,14.28571415,65.81196594,51.44766235,15.5,0.738095224,4,9.523809433,18.6875,0.8125,0.082796097,0.153728485,0.2415196,24,4800.006836,250,165.9831848,0.06649176,237.2757416,0.068376072,23.40286636,0.71225071,0.472886562,0.094047755,0.003862853,0.004370673,0.012310174,0.351010114,0.771424234,0.129899651,0.343753934,45.94998169,121.4333878,0.130539715,0.344981223,YES
20,1,45,2,11,112,543,7,1,482,331,68.85714285714286,69,0,9.857142857142858,413,331,59.0,8,18,56,32.1428566,1,12.5,66.09686279,52.13483047,19,0.678571403,8,14.28571415,4,4,12,33.33333206,1,25,6.552706718,38.9830513,4,0.666666687,0,0,4,5,12,41.66666794,1,25,65.24216461,59.32642365,3.5,0.583333313,0,0,5.3125,0.6640625,0.178005531,0.023466282,0.179199234,9,2633.518555,232,155.3998566,0.03651328,12.59479904,0.025641026,12.83995724,0.660968661,0.442734629,0.051645376,0.000205044,0.004367736,0.012187923,0.350573033,0.769109368,0.113924965,0.231774554,40.34287262,82.12857819,0.114610434,0.233319819,NO
11,2,15,0,12,13,97,2,2,1,1,0.5,1,0,0.5,0,0,0.0,12,28,132,21.21212196,1,8.333333015,60.39886093,41.00580215,52,0.787878811,14.83333302,11.23737335,9,11,72,15.27777767,2,22.22222137,47.00854874,66.53225708,30.5,0.847222209,11,15.27777767,4,9,12,75,1,25,57.54985809,48.21002197,1.5,0.25,0,0,8.538461685,0.711538434,0.138245091,0.079922304,0.231445774,13,3051.539063,212,154.2332611,0.042276058,142.8218536,0.037037037,14.87805367,0.603988588,0.439411014,0.059796404,0.002325142,0.004367736,0.012304995,0.350573033,0.771327019,0.113924965,0.330933452,40.34287262,116.9333954,0.114610434,0.33219716,NO
15,4,27,0,243,0,157,4,3,14,10,3.5,4,0,1.0,10,10,2.5,204,905,41412,2.185356855,3,1.470588207,92.022789,11.99405861,20253.5,0.978146434,1921.152954,4.639121532,203,831,41006,2.02653265,3,1.477832556,92.022789,12.34237671,20087.5,0.979734659,0,0,1,0,0,0,1,100,21.36752129,98.68421173,0,0,0,0,196.6838226,0.964136362,0.02523805,0.326369405,0.630838215,205,26485.4082,323,270.2001343,0.366091162,24277.71484,0.584045589,129.1320038,0.920227945,0.769800961,0.517809272,0.395241588,0.004357542,0.012462276,0.349051416,0.774240851,0.075297296,0.669917107,26.78449631,235.9166565,0.076092318,0.670217752,NO
7,1,7,0,9,21,7,2,2,1,1,0.5,1,0,0.5,0,0,0.0,9,16,72,22.22222137,1,11.11111069,45.58404541,59.25925827,28,0.777777791,4.833333492,6.712963104,8,12,56,21.4285717,1,12.5,45.29914474,61.86770248,22,0.785714269,0,0,1,0,0,0,1,100,3.418803453,92.30769348,0,0,0,0,7,0.777777791,0.157892331,0.020576615,0.179335356,9,1762.324463,160,143.5667267,0.024403483,44.41398239,0.025641026,8.592371941,0.455840468,0.409022003,0.034516949,0.00072306,0.004361115,0.012304133,0.349585593,0.771310866,0.08556062,0.32903415,30.38692856,116.2667313,0.086326502,0.330303222,NO
4,1,4,0,5,6,4,2,2,1,1,0.5,1,0,0.5,0,0,0.0,5,3,20,15,2,40,8.262107849,51.7857132,8.5,0.850000024,3,15,4,2,12,16.66666603,2,50,7.692307472,57.44680786,5,0.833333313,0,0,1,0,0,0,1,100,2.56410265,100,0,0,0,0,4,0.800000012,0.242807075,0.004692552,0.0997447,5,404.7707214,29,112.9762955,0.005561493,4.361687183,0.014245015,1.973496199,0.082621083,0.321869791,0.007866328,7.10083E-05,0.00437345,0.00294093,0.351430982,0.034107096,0.070816748,0.024586217,25.21466446,8.666666985,0.071632572,0.024621213,NO
34,1,132,0,21,283,1255,29,6,1384,662,47.724137931034484,490,0,16.896551724137932,894,662,30.82758620689655,18,81,306,26.47058868,1,5.555555344,69.2307663,28.55464172,112.5,0.735294104,81.55000305,26.65032768,7,15,42,35.7142868,1,14.28571415,44.72934341,65.69037628,13.5,0.642857134,12,28.5714283,14,49,182,26.92307663,1,7.142857075,69.2307663,30.45112801,66.5,0.730769217,52.5,28.84615326,11.66666698,0.648148119,0.131996855,0.084586933,0.451987147,19,5292.347656,243,162.2332001,0.073390968,195.2468567,0.054131053,25.80331802,0.692307711,0.462202847,0.103806175,0.003178622,0.00436953,0.012300683,0.350840122,0.771246135,0.137096941,0.324760586,48.47621918,114.766716,0.137716532,0.326041818,YES
16,1,39,3,13,80,341,6,5,35,15,5.833333333333333,20,0,3.3333333333333335,15,8,2.5,13,24,156,15.38461494,2,15.38461494,66.09686279,50.76586533,66,0.846153855,21.33333397,13.67521381,6,0,30,0,6,100,10.2564106,59.01639175,15,1,0,0,7,6,42,14.28571415,4,57.1428566,63.8176651,56.56565475,18,0.857142866,0,0,10.15384579,0.781065106,0.12939702,0.014034353,0.285163969,14,2517.469482,232,158.1498718,0.034809045,657.831604,0.039886039,12.27414989,0.660968661,0.450569421,0.04923486,0.010709509,0.004419931,0.002915379,0.358278304,0.025616743,0.103152514,0.024135668,36.57026672,8.5,0.103892803,0.024147727,YES
3,2,5,0,2,0,34,5,3,39,34,7.8,47,0,9.4,-8,2,-1.6,2,1,2,50,1,50,43.3048439,92.68292999,0.5,0.5,0,0,1,0,0,0,1,100,3.703703642,92.85713959,0,0,0,0,1,0,0,0,1,100,42.45014191,99.33333588,0,0,0,0,1.5,0.75,0.540085733,0.00284288,0.038800709,3,912.5657349,152,138.6501312,0.012651215,0,0.008547009,4.449296474,0.433048427,0.395014614,0.017894223,0,0.004386458,0.00285712,0.353357285,0.005689912,0.10916853,0.007098254,38.67620468,2.5,0.109875582,0.007102273,NO
10,2,30,0,4,27,252,11,4,90,30,8.181818181818182,28,0,2.5454545454545454,62,29,5.636363636363637,2,1,2,50,1,50,43.3048439,92.68292999,0.5,0.5,0,0,1,0,0,0,1,100,3.703703642,92.85713959,0,0,0,0,1,0,0,0,1,100,42.45014191,99.33333588,0,0,0,0,1.5,0.75,0.540085733,0.00284288,0.038800709,3,912.5658569,152,138.6501312,0.012651215,0,0.008547009,4.449296951,0.433048427,0.395014614,0.017894223,0,0.004386458,0.00285712,0.353357285,0.005689912,0.10916853,0.007098254,38.67620468,2.5,0.109875582,0.007102273,NO
