@RELATION camel-1.0-allm

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
0,1,0,0,1,0,0,1,1,33,33,33.0,0,0,0.0,33,33,33.0,1,0,0,0,1,100,3.254437923,91.66666412,0,0,0,0,1,0,0,0,1,100,3.254437923,91.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,100.0692139,11,98.68333435,0.001893322,0,0.00295858,0.646800935,0.032544378,0.291962534,0.002677966,0,0.002949852,0.002984917,0,0.011781955,0.002949846,0.009078655,1,3.083333254,0.002949852,0.009095378,NO
17,1,17,0,84,136,17,20,2,256,54,12.8,253,0,12.65,3,29,0.15,83,234,6806,3.438142776,1,1.204819322,76.03549957,23.34241676,3286,0.965618551,731.5,10.74786949,79,220,6162,3.570269346,1,1.265822768,73.66864014,23.46842575,2971,0.964297295,435.5,7.067510605,7,2,42,4.761904716,5,71.42857361,41.71597672,77.90055084,20,0.952380955,16,38.09523773,78.81977081,0.949635744,0.032969873,0.149333239,0.445191413,83,12692.64941,257,193.2332306,0.241796345,6849.683594,0.245562136,82.03939819,0.760355055,0.571695924,0.342003316,0.12026906,0.004172015,0.009657143,0.293815792,0.69660157,0.107698701,0.452566504,36.70001602,153.6666565,0.108259633,0.453293979,YES
4,3,8,2,2,6,20,1,1,41,41,41.0,0,0,0.0,41,41,41.0,2,0,2,0,2,100,1.775147915,75,1,1,0,0,2,0,2,0,2,100,1.775147915,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0,2,74.95350647,6,94.84999084,0.00139645,2.727695465,0.00591716,0.484464675,0.01775148,0.28062126,0.001975177,4.78938E-05,0.002949852,0.003232748,0,0.087771207,0.002949846,0.027536534,1,9.398809433,0.002949852,0.027725102,NO
25,2,45,0,18,252,273,3,2,138,113,46.0,4,0,1.3333333333333333,134,112,44.666666666666664,14,38,182,20.87912178,2,14.28571415,71.59763336,38.96940231,72,0.791208804,19.5,10.71428585,4,2,12,16.66666603,2,50,6.213017941,50,5,0.833333313,0,0,10,17,90,18.88888931,3,30,70.41419983,41.10535431,36.5,0.811111093,0,0,9.964285851,0.711734712,0.119170785,0.016784035,0.277433187,15,5058.073242,242,156.0333099,0.096586198,310.9718323,0.044378698,32.69303894,0.715976357,0.46163702,0.136614144,0.005460148,0.004186588,0.003011941,0.296285629,0.020675151,0.103252307,0.018667806,35.20000839,6.333333492,0.10383483,0.0186824,NO
3,1,3,0,34,3,3,13,2,78,26,6.0,31,0,2.3846153846153846,47,26,3.6153846153846154,34,83,1122,7.39750433,1,2.941176414,51.18343353,29.52218437,519.5,0.926024973,8.916666985,0.794711828,33,67,1056,6.344696999,1,3.030303001,47.04141998,31.92771149,494.5,0.936553001,1.916666627,0.181502521,2,2,2,100,1,50,39.64496994,78.36257172,0,0,0,0,30.25714302,0.889915943,0.062262658,0.126930967,0.328350842,34,6688.452637,173,152.5166321,0.127649352,649.9320679,0.100591719,43.2310524,0.511834323,0.451232642,0.180550709,0.011411726,0.004167283,0.009613196,0.293012857,0.695205212,0.082015224,0.335210443,28.01905251,114.0001144,0.08265207,0.336283535,NO
0,1,0,0,27,0,0,2,1,4,3,2.0,5,0,2.5,-1,0,-0.5,27,19,702,2.706552744,11,40.74074173,45.56212997,35.89743423,341.5,0.972934484,25,3.561253548,26,18,650,2.769230843,11,42.30769348,45.56212997,36.66666794,316,0.972307682,0,0,1,0,0,0,1,100,2.662721872,100,0,0,0,0,26.07407379,0.965706468,0.045452114,0.01729762,0.094016835,27,5566.423828,154,145.6833038,0.106312856,226.6624298,0.079881653,35.97877884,0.455621302,0.4310157,0.15037179,0.003979816,0.00295858,0.009683982,0.00295858,0.697456837,0.005899688,0.307883918,2,104.7666855,0.005899705,0.309046268,NO
0,1,0,0,1,0,0,3,1,33,16,11.0,0,0,0.0,33,16,11.0,9,1,72,1.388888836,8,88.8888855,7.988165855,75,35.5,0.986111104,0,0,9,1,72,1.388888836,8,88.8888855,7.988165855,75,35.5,0.986111104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.777777672,0.975308657,0.141975328,0.032858688,0.111111112,9,81.81859589,27,98.27623749,0.001357861,1985.055542,0.026627218,0.528837442,0.079881653,0.290758103,0.001920596,0.034854274,0.002949852,0.011762659,0,0.751461804,0.002949846,0.189337388,1,64.75713348,0.002949852,0.191023991,NO
9,1,9,0,99,36,9,21,1,154,40,7.333333333333333,62,0,2.9523809523809526,92,40,4.380952380952381,88,287,7656,3.748693943,1,1.136363626,78.10650635,21.32471657,3684.5,0.962513089,553.8166504,7.23375988,84,184,6972,2.63912797,1,1.190476179,67.15975952,23.57217026,3394,0.973608732,492.9166565,7.069946289,6,6,30,20,1,16.66666603,61.83432007,53.31632614,12,0.800000012,16.5,55,83.05555725,0.943813145,0.035362493,0.180797532,0.485739142,88,14174.46875,264,197.0332184,0.270138532,6340.931152,0.260355026,91.6171875,0.781065106,0.582938492,0.382091284,0.111336209,0.00416754,0.009639242,0.293056488,0.696034312,0.088425882,0.429884046,30.18571854,145.9999847,0.089043416,0.430678427,NO
2,1,2,0,2,1,2,1,1,38,38,38.0,0,0,0.0,38,38,38.0,1,0,0,0,1,100,4.733727932,94.11764526,0,0,0,0,1,0,0,0,1,100,4.733727932,94.11764526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,211.4667664,16,106.1334457,0.004034549,0,0.00295858,1.366823077,0.047337279,0.314004272,0.005706576,0,0.002949852,0.002976112,0,0.008849557,0.002949846,0.008347735,1,2.833333254,0.002949852,0.008357915,NO
15,1,15,0,185,105,15,18,1,186,68,10.333333333333334,50,0,2.7777777777777777,136,68,7.555555555555555,134,470,17822,2.637190104,1,0.74626863,82.84024048,17.08358765,8676,0.973628104,339.5690613,1.90533638,133,426,17556,2.426520824,1,0.751879692,80.7692337,17.54498672,8565,0.97573477,68.41666412,0.38970533,2,0,2,0,2,100,33.72780991,82.01438904,1,1,1,50,128.8148193,0.961304605,0.026821896,0.1962464,0.568521261,134,19849.75391,280,222.7498474,0.378058583,15944.49023,0.396449715,128.2995911,0.82840234,0.659023225,0.534736335,0.279958755,0.004167129,0.00967705,0.292986691,0.697229922,0.080535948,0.541323304,27.5190506,183.6666107,0.081177138,0.541789412,NO
