@RELATION ivy-2.0-allm

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
74,1,163,0,84,2213,1119,41,3,4535,3138,110.60975609756098,3580,0,87.3170731707317,955,3138,23.29268292682927,83,424,6806,6.229797363,1,1.204819322,90.31339264,17.04301071,3191,0.937702,2343.971436,34.43978119,41,96,1640,5.853658676,1,2.439024448,75.21367645,28.38709641,772,0.941463411,68.91666412,4.202235699,46,182,2070,8.79227066,1,2.173913002,83.19087982,23.34132767,944,0.912077308,756.6405029,36.55268097,74.13218689,0.893158853,0.034249075,0.114664428,0.508871198,84,14133.82617,317,210.9999237,0.193206027,4571.091797,0.23931624,68.06659698,0.903133929,0.601139367,0.273275852,0.07441745,0.011244955,0.012202754,0.749498188,0.769384563,0.39723745,0.399222612,140.1833344,140.9000244,0.398248106,0.400284171,NO
59,1,148,0,31,0,895,20,3,821,303,41.05,337,0,16.85,484,303,24.2,31,124,930,13.33333302,1,3.225806475,82.62108612,24.6389122,403,0.866666675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,124,930,13.33333302,1,3.225806475,82.62108612,24.6389122,403,0.866666675,0,0,25.40322685,0.819458902,0.056267854,0.020631993,0.299540877,32,7685.812988,290,180.4998474,0.105220169,667.84198,0.091168091,37.01383591,0.826210797,0.514244556,0.148826271,0.010872479,0.011358488,0.002840909,0.752031505,0,0.36907202,0.002840922,130.3000946,1,0.370170712,0.002840909,NO
13,1,148,0,29,78,1407,29,2,941,424,32.44827586206897,434,0,14.96551724137931,507,424,17.482758620689655,29,62,812,7.635468006,2,6.896551609,77.49287415,30.22222137,375,0.923645318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,62,812,7.635468006,2,6.896551609,77.49287415,30.22222137,375,0.923645318,0,0,26.15517235,0.901902497,0.056962695,0.03610472,0.249381527,30,5510.207031,272,176.3332825,0.075292028,2363.411865,0.085470088,26.53641129,0.774928749,0.502374053,0.10649509,0.038476385,0.012173551,0.002840909,0.768826067,0,0.363495052,0.002840922,128.3596191,1,0.364657998,0.002840909,YES
13,3,32,0,8,4,134,5,2,130,105,26.0,27,0,5.4,103,105,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.034392595,0,0,0,0,0.002849003,0.004981495,0,0,0,0,0.002840909,0.002840909,0,0,0.002840922,0.002840922,1,1,0.002840909,0.002840909,NO
13,2,50,0,11,46,267,14,2,221,153,15.785714285714286,51,0,3.642857142857143,170,153,12.142857142857142,7,13,42,30.95238113,1,14.28571415,54.70085526,60.37735748,14.5,0.690476179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,42,30.95238113,1,14.28571415,54.70085526,60.37735748,14.5,0.690476179,0,0,4.785714149,0.683673441,0.188890755,0.007988769,0.145493343,8,1698.856689,192,151.9999237,0.023198674,26.19464684,0.022792023,8.181464195,0.547008574,0.433048218,0.032812834,0.000426449,0.01142132,0.002840909,0.753415525,0,0.282484651,0.002840922,99.91075897,1,0.283837378,0.002840909,NO
10,2,38,0,9,15,197,11,2,180,137,16.363636363636363,51,0,4.636363636363637,129,137,11.727272727272727,6,7,30,23.33333397,1,16.66666603,39.03133774,64.31925201,11.5,0.766666651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,30,23.33333397,1,16.66666603,39.03133774,64.31925201,11.5,0.766666651,0,0,4.583333492,0.763888896,0.2036663,0.003615937,0.103652984,7,1237.567749,137,142.166748,0.016891155,23.45087814,0.019943019,5.95995903,0.390313387,0.405033469,0.023891309,0.000381781,0.011376527,0.002840909,0.752436221,0,0.241459027,0.002840922,85.51071167,1,0.242928162,0.002840909,NO
7,2,24,0,12,0,122,3,2,51,46,17.0,23,0,7.666666666666667,28,24,9.333333333333334,7,9,42,21.4285717,1,14.28571415,31.62393188,64.16184998,16.5,0.785714269,4.333333492,10.31746006,2,1,2,50,1,50,10.54131031,84.09091187,0.5,0.5,0,0,5,4,20,20,1,20,28.77492905,78.29457092,8,0.800000012,0,0,4.642857075,0.663265288,0.212908626,0.009003518,0.215527028,8,997.7406006,111,136.5001678,0.013582909,130.2727203,0.022792023,4.804984093,0.316239327,0.388889372,0.019212035,0.002120842,0.011279645,0.003066627,0.750283241,0.073815078,0.260836899,0.039192751,92.30956268,13.83333302,0.262243062,0.039299242,NO
29,3,97,0,21,316,677,17,3,597,317,35.11764705882353,228,0,13.411764705882353,369,317,21.705882352941178,14,24,182,13.18681335,2,14.28571415,56.41025543,49.87405396,79,0.868131876,17.16666603,9.432234764,2,0,2,0,2,100,8.262107849,93.54838562,1,1,0,0,12,20,132,15.15151501,1,8.333333015,55.8404541,53.55191422,56,0.848484874,0,0,11.3214283,0.808673441,0.111955754,0.018319611,0.237548903,15,2012.380981,198,156.4166107,0.027386166,523.0820923,0.042735044,9.691354752,0.56410259,0.445631355,0.038735736,0.008515785,0.011717185,0.003057278,0.759712458,0.070974164,0.312902033,0.037776344,110.5929565,13.33333302,0.314184546,0.037878785,NO
6,2,36,0,6,0,165,7,3,126,51,18.0,19,0,2.7142857142857144,107,51,15.285714285714286,4,4,12,33.33333206,1,25,29.05982971,80.95237732,4,0.666666687,1,8.333333015,1,0,0,0,1,100,3.988604069,93.33333588,0,0,0,0,3,2,6,33.33333206,1,33.33333206,27.92022705,88.28829193,2,0.666666687,0,0,2.5,0.625,0.352696031,0.002704788,0.186649665,5,643.4067383,102,133.5001984,0.008751656,4.772376537,0.014245015,3.098559856,0.290598303,0.380342454,0.01237858,7.76944E-05,0.011191174,0.003065984,0.748292208,0.073620826,0.198711991,0.028461514,70.50356293,10.06666756,0.200294212,0.028598487,NO
8,5,32,0,11,18,149,15,3,228,134,15.2,131,0,8.733333333333333,97,134,6.466666666666667,9,17,72,23.61111069,1,11.11111069,60.11396027,47.30941772,27.5,0.763888896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,72,23.61111069,1,11.11111069,60.11396027,47.30941772,27.5,0.763888896,0,0,6.055555344,0.672839522,0.135619402,0.002724946,0.103157304,10,2832.239258,211,155.6665955,0.03878808,10.15061474,0.028490029,13.63968182,0.601139605,0.443494588,0.054862913,0.000165252,0.012290777,0.002840909,0.77105999,0,0.315006495,0.002840922,111.3429642,1,0.316315234,0.002840909,NO
