@RELATION jedit-3.2-allm

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
27,1,40,0,3,25,1277,1,1,520,520,520.0,0,0,0.0,520,520,520.0,3,3,6,50,1,33.33333206,23.55072403,59.09090805,1.5,0.5,0,0,3,3,6,50,1,33.33333206,23.55072403,59.09090805,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833333254,0.611111104,0.405235738,0.013626258,0.098525278,4,398.6615601,65,87.18333435,0.006691828,40.11511993,0.014492754,2.232898712,0.23550725,0.31588164,0.009465104,0.001057052,0.003610108,0.011519198,0,0.689112127,0.00361012,0.220638081,1,61.59287262,0.003610108,0.222356945,NO
8,2,37,0,18,28,271,1,1,183,183,183.0,0,0,0.0,183,183,183.0,18,90,306,29.41176414,1,5.555555344,27.17391396,14.91053677,108,0.70588237,3.134523869,1.024354219,1,0,0,0,1,100,16.66666603,97.87233734,0,0,0,0,17,80,272,29.41176414,1,5.882352829,26.81159401,16.22806931,96,0.70588237,0,0,11.66666698,0.648148119,0.115697019,0.025968099,0.416197211,19,2195.063721,75,98.26663971,0.037063524,140.8218231,0.068840578,12.2945261,0.271739125,0.356038541,0.052423656,0.00371072,0.004778145,0.011174089,0.245343477,0.679406643,0.139796898,0.161826536,38.83332825,45.35366058,0.140192524,0.16373162,NO
7,2,17,0,16,19,53,1,1,81,81,81.0,0,0,0.0,81,81,81.0,16,79,240,32.91666794,1,6.25,26.44927597,16.9767437,80.5,0.670833349,11.03611088,4.598379612,8,9,56,16.0714283,1,12.5,20.652174,40.42553329,23.5,0.839285731,0,0,8,31,56,55.3571434,1,12.5,26.08695602,24.91349411,12.5,0.446428567,0,0,9.40625,0.587890625,0.133861408,0.026556319,0.436677665,17,1931.373535,73,96.9332962,0.032569859,18.59924698,0.061594203,10.81760025,0.26449275,0.351207584,0.046067692,0.000490099,0.004776574,0.011185864,0.245094955,0.679746747,0.117756322,0.18477343,32.75,51.68700409,0.118231043,0.186595678,NO
2,2,6,0,10,1,30,1,1,52,52,52.0,0,0,0.0,52,52,52.0,10,37,90,41.11111069,1,10,24.63768196,19.71014404,26.5,0.588888884,0.285714298,0.317460328,5,4,20,20,1,20,20.28985596,50.90909195,8,0.800000012,0,0,5,9,20,45,1,20,23.55072403,27.65957451,5.5,0.550000012,0,0,4.75,0.474999994,0.161961392,0.007496282,0.267096728,10,1376.346436,68,91.18332672,0.023170229,0.779580474,0.036231883,7.708899975,0.246376812,0.33037436,0.032772601,2.05423E-05,0.004775499,0.011178615,0.244924903,0.679537475,0.106887706,0.172696114,29.74999809,48.3536644,0.107400715,0.174561962,NO
4,2,21,0,10,2,174,1,1,137,137,137.0,0,0,0.0,137,137,137.0,10,37,90,41.11111069,1,10,25.72463799,18.88297844,26.5,0.588888884,3.033333302,3.370370388,2,1,2,50,1,50,19.56521797,81.8181839,0.5,0.5,0,0,8,23,56,41.07143021,1,12.5,25.36231804,22.58064461,16.5,0.589285731,0,0,4.949999809,0.495000005,0.158593878,0.001744157,0.25808841,11,1540.973755,71,91.68332672,0.025982032,1.210785866,0.039855074,8.630975723,0.257246375,0.332185954,0.036749691,3.19048E-05,0.004776491,0.011174994,0.245081872,0.679432809,0.11715275,0.164241984,32.58332825,46.02032852,0.117629342,0.166138366,NO
4,2,23,0,10,6,175,1,1,130,130,130.0,0,0,0.0,130,130,130.0,10,36,90,40,1,10,25.72463799,19.34604836,27,0.600000024,3.866666555,4.29629612,3,2,6,33.33333206,1,33.33333206,17.75362396,72.05882263,2,0.666666687,0,0,7,16,42,38.09523773,1,14.28571415,25.36231804,23.41137123,13,0.619047642,0,0,5.099999905,0.50999999,0.164402395,0.003248729,0.279797763,11,1505.749634,71,91.68332672,0.025382884,1.726262093,0.039855074,8.433686256,0.257246375,0.332185954,0.035902239,4.54878E-05,0.004776326,0.011176804,0.245055705,0.679485142,0.114737943,0.167865187,31.91666412,47.02032852,0.115222611,0.169748485,NO
3,2,18,0,11,3,273,1,1,151,151,151.0,0,0,0.0,151,151,151.0,11,34,110,30.90909004,1,9.090909004,24.63768196,18.03713608,38,0.690909088,1.116666675,1.015151501,1,0,0,0,1,100,16.66666603,97.87233734,0,0,0,0,10,27,90,30,1,10,24.63768196,20.60606003,31.5,0.699999988,0,0,6.818181992,0.619834721,0.138502911,0.004964252,0.230705023,12,1523.284058,68,91.68332672,0.025658904,4.173537731,0.043478262,8.531895638,0.246376812,0.332185954,0.03629265,0.000109975,0.004776574,0.011174089,0.245094955,0.679406643,0.120171301,0.161826536,33.41666412,45.35366058,0.120637774,0.16373162,NO
4,2,21,0,12,6,279,1,1,215,215,215.0,0,0,0.0,215,215,215.0,12,44,132,33.33333206,1,8.333333015,27.17391396,17.28110504,44,0.666666687,2.116666555,1.603535295,1,0,0,0,1,100,16.66666603,97.87233734,0,0,0,0,11,37,110,33.63636398,1,9.090909004,27.17391396,19.37984467,36.5,0.663636386,0,0,7.583333015,0.631944418,0.122681946,0.005325655,0.209307149,13,1764.786011,75,95.26663971,0.029865228,19.51741028,0.047101449,9.884545326,0.271739125,0.345168978,0.042242188,0.000514293,0.004777235,0.011174089,0.245199591,0.679406643,0.126209944,0.161826536,35.08332825,45.35366058,0.12665461,0.16373162,NO
3,2,10,0,14,3,63,1,1,87,87,87.0,0,0,0.0,87,87,87.0,14,61,182,33.51648331,1,7.142857075,26.44927597,16.78160858,60.5,0.664835155,13.12619019,7.212192535,5,5,20,25,1,20,21.01449203,55.76922989,7.5,0.75,0,0,9,22,72,30.55555534,1,11.11111069,25.72463799,21.45015144,25,0.694444418,0,0,8.357142448,0.596938729,0.13570489,0.015200295,0.364674866,15,1831.025757,73,95.9332962,0.030920966,21.53170776,0.054347824,10.25555325,0.26449275,0.347584397,0.043735452,0.00056737,0.00477674,0.011189945,0.245121121,0.679864466,0.119869374,0.178307727,33.33333206,49.90246964,0.120336942,0.180153325,NO
6,2,45,0,16,15,280,1,1,203,203,203.0,0,0,0.0,203,203,203.0,15,70,210,33.33333206,1,6.666666508,27.17391396,15.99147129,70,0.666666687,11.01666641,5.246031761,3,2,6,33.33333206,1,33.33333206,24.27536201,67.67676544,2,0.666666687,0.5,8.333333015,13,55,156,35.25640869,1,7.692307472,26.81159401,18.04878044,50.5,0.647435904,10.36666679,6.645298958,8.78125,0.585416675,0.133330256,0.053300332,0.370022029,16,1978.09314,75,96.76663208,0.033447832,22.97768021,0.057971016,11.07927608,0.271739125,0.350603729,0.047309522,0.000605472,0.004777318,0.011262088,0.245212674,0.681931138,0.129229262,0.213262573,35.91666412,59.5500145,0.12966305,0.214982003,NO
