@RELATION synapse-1.2-allm

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE revision_num REAL
@ATTRIBUTE author_num REAL
@ATTRIBUTE linesadd_sum REAL
@ATTRIBUTE linesadd_max REAL
@ATTRIBUTE linesadd_avg REAL
@ATTRIBUTE linesdel_sum REAL
@ATTRIBUTE linesdel_max REAL
@ATTRIBUTE linesdel_avg REAL
@ATTRIBUTE codechurn_sum REAL
@ATTRIBUTE codechurn_max REAL
@ATTRIBUTE codechurn_avg REAL
@ATTRIBUTE Size_Ego REAL
@ATTRIBUTE Ties_Ego REAL
@ATTRIBUTE Pairs_Ego REAL
@ATTRIBUTE Density_Ego REAL
@ATTRIBUTE nWeakComp_Ego REAL
@ATTRIBUTE pWeakComp_Ego REAL
@ATTRIBUTE 2StepReach_Ego REAL
@ATTRIBUTE ReachEffic_Ego REAL
@ATTRIBUTE Broker_Ego REAL
@ATTRIBUTE nBroker_Ego REAL
@ATTRIBUTE EgoBetween_Ego REAL
@ATTRIBUTE nEgoBetween_Ego REAL
@ATTRIBUTE Size_Ein REAL
@ATTRIBUTE Ties_Ein REAL
@ATTRIBUTE Pairs_Ein REAL
@ATTRIBUTE Density_Ein REAL
@ATTRIBUTE nWeakComp_Ein REAL
@ATTRIBUTE pWeakComp_Ein REAL
@ATTRIBUTE 2StepReach_Ein REAL
@ATTRIBUTE ReachEffic_Ein REAL
@ATTRIBUTE Broker_Ein REAL
@ATTRIBUTE nBroker_Ein REAL
@ATTRIBUTE EgoBetween_Ein REAL
@ATTRIBUTE nEgoBetween_Ein REAL
@ATTRIBUTE Size_Eout REAL
@ATTRIBUTE Ties_Eout REAL
@ATTRIBUTE Pairs_Eout REAL
@ATTRIBUTE Density_Eout REAL
@ATTRIBUTE nWeakComp_Eout REAL
@ATTRIBUTE pWeakComp_Eout REAL
@ATTRIBUTE 2StepReach_Eout REAL
@ATTRIBUTE ReachEffic_Eout REAL
@ATTRIBUTE Broker_Eout REAL
@ATTRIBUTE nBroker_Eout REAL
@ATTRIBUTE EgoBetween_Eout REAL
@ATTRIBUTE nEgoBetween_Eout REAL
@ATTRIBUTE EffSize REAL
@ATTRIBUTE Efficiency REAL
@ATTRIBUTE Constraint REAL
@ATTRIBUTE Hierarchy REAL
@ATTRIBUTE Indirects REAL
@ATTRIBUTE Degree REAL
@ATTRIBUTE BonPwr REAL
@ATTRIBUTE 2Step REAL
@ATTRIBUTE ARD REAL
@ATTRIBUTE Eigenvector REAL
@ATTRIBUTE Between REAL
@ATTRIBUTE Degree_n REAL
@ATTRIBUTE BonPwr_n REAL
@ATTRIBUTE 2Step_n REAL
@ATTRIBUTE ARD_n REAL
@ATTRIBUTE Eigenvector_n REAL
@ATTRIBUTE Between_n REAL
@ATTRIBUTE OutFreeClo REAL
@ATTRIBUTE InFreeClo REAL
@ATTRIBUTE OutValClo REAL
@ATTRIBUTE InValClo REAL
@ATTRIBUTE OutRecipClo REAL
@ATTRIBUTE InRecipClo REAL
@ATTRIBUTE OutdwReach REAL
@ATTRIBUTE IndwReach REAL
@ATTRIBUTE nOutdwReach REAL
@ATTRIBUTE nIndwReach REAL
@ATTRIBUTE isBug {YES,NO}

@DATA
1,1,1,0,2,0,1,1,1,2,2,2.0,2,0,2.0,0,0,0.0,2,1,2,50,1,50,5.019305229,68.42105103,0.5,0.5,0,0,2,1,2,50,1,50,5.019305229,68.42105103,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.62504822,0.000111309,0.118055552,2,180.9969025,13,74.26660156,0.004130334,0,0.007722008,1.081879973,0.050193049,0.286743641,0.005842057,0,0.003846154,0.016162246,0,0.765028179,0.003846165,0.142954171,1,37.80594254,0.003846154,0.145407468,NO
7,1,32,4,20,9,220,2,2,5,4,2.5,5,0,2.5,0,0,0.0,18,43,306,14.05228806,1,5.555555344,61.38996124,41.40625,131.5,0.859477103,8.5,2.777777672,17,36,272,13.23529434,1,5.882352829,47.10424805,40.53156281,118,0.867647052,0,0,2,0,2,0,2,100,52.50965118,87.17948914,1,1,1,50,13.57894707,0.754385948,0.109336726,0.128262162,0.297110766,19,4727.190918,159,118.2833862,0.1088586,140.1433563,0.073359072,28.25602531,0.613899589,0.456692606,0.153972566,0.004194527,0.010360414,0.016626012,0.631229579,0.771651328,0.146681905,0.355944842,38.63295364,92.96669006,0.148588285,0.357564181,NO
2,1,2,0,11,1,2,1,1,4,4,4.0,4,0,4.0,0,0,0.0,11,10,110,9.090909004,1,9.090909004,36.29343796,55.29411697,50,0.909090936,1,0.909090936,10,1,90,1.111111164,9,90,32.43243408,61.31386948,44.5,0.98888886,0,0,1,0,0,0,1,100,12.74131298,100,0,0,0,0,9.727272987,0.88429749,0.121121064,0.053720411,0.122235328,11,2043.669312,94,103.4167252,0.047001082,118.9782257,0.042471044,12.21570587,0.362934351,0.39929238,0.066479608,0.003561049,0.010304767,0.01654001,0.629224777,0.770448506,0.127257526,0.304593354,33.60203171,79.66665649,0.129238591,0.306410223,NO
4,1,4,0,78,6,4,1,1,1,1,1.0,1,0,1.0,0,0,0.0,78,191,6006,3.180153131,1,1.282051325,72.58687592,20.50163651,2907.5,0.968198478,1592.18335,26.50987816,78,191,6006,3.180153131,1,1.282051325,72.58687592,20.50163651,2907.5,0.968198478,1592.18335,26.50987816,1,0,0,0,1,100,28.18532753,100,0,0,0,0,73.39873505,0.941009402,0.036208842,0.15880768,0.450430781,78,11796.23926,188,153.2499695,0.270853698,4927.915527,0.301158309,70.51013184,0.725868702,0.591698706,0.383102834,0.147493809,0.010359585,0.016753994,0.631199896,0.773418486,0.144107893,0.507682443,37.96628189,132.2667236,0.146024168,0.508718193,NO
52,1,52,0,78,1326,52,4,2,76,43,19.0,16,0,4.0,60,30,15.0,73,217,5256,4.128614902,1,1.369863033,82.62548065,22.17616653,2519.5,0.95871383,341.4333191,6.496068001,72,202,5112,3.951486588,1,1.388888836,78.37837982,21.96969604,2455,0.96048516,289.5166626,5.663471699,5,3,20,15,2,40,60.23165894,71.23287964,8.5,0.850000024,17,85,67.40259552,0.923323274,0.03684289,0.101863116,0.488132834,73,11923.15723,214,155.2499237,0.273992926,6285.186523,0.281853288,71.26876068,0.826254845,0.599420547,0.387543023,0.188117281,0.01042841,0.016771352,0.633650124,0.77365607,0.190637514,0.50922668,50.01747131,132.6666718,0.192374885,0.51025641,NO
25,1,86,0,32,174,740,17,5,345,150,20.294117647058822,166,0,9.764705882352942,179,60,10.529411764705882,18,22,306,7.189542294,7,38.88888931,51.35135269,50,142,0.928104579,82,26.79738617,10,4,90,4.444444656,6,60,20.07722092,57.77777863,43,0.955555558,0,0,8,4,56,7.142857075,4,50,47.49034882,69.88636017,26,0.928571403,0,0,16.16666603,0.898148119,0.075563088,0.023097824,0.148095265,19,2911.959473,133,113.6667709,0.066834159,1595.613403,0.073359072,17.40577126,0.513513505,0.438867837,0.09453205,0.047757126,0.010433031,0.016356174,0.6338135,0.767834902,0.200290024,0.244858131,52.51747131,64.19522858,0.201990277,0.246904731,YES
3,1,3,0,11,3,3,1,1,1,1,1.0,1,0,1.0,0,0,0.0,11,13,110,11.81818199,2,18.18181801,30.88803101,53.69127655,48.5,0.881818175,7.5,6.818181992,10,12,90,13.33333302,2,20,27.79922867,52.17391205,39,0.866666675,0,0,1,0,0,0,1,100,4.247104168,100,0,0,0,0,8.954545021,0.814049602,0.159001052,0.034628082,0.295932174,11,1552.080322,80,100.6167603,0.035590626,340.1704712,0.042471044,9.277311325,0.308880299,0.388481706,0.050340347,0.010181392,0.010238773,0.016483167,0.626819134,0.769646585,0.106932171,0.2793037,28.33776474,73.11663818,0.108991399,0.281217843,NO
2,1,6,0,14,1,106,15,4,70,17,4.666666666666667,16,0,1.0666666666666667,54,17,3.6,11,13,110,11.81818199,4,36.36363602,15.4440155,43.47826004,48.5,0.881818175,0,0,11,13,110,11.81818199,4,36.36363602,15.4440155,43.47826004,48.5,0.881818175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.636363983,0.876033068,0.154696554,0.130107135,0.219742402,12,1059.764893,40,87.76673126,0.024169445,283.7542419,0.046332046,6.334574699,0.15444015,0.338867694,0.03418592,0.008492839,0.003846154,0.004458061,0,0.137793288,0.003846165,0.07184393,1,18.75,0.003846154,0.072115384,YES
3,4,6,0,83,3,17,0,0,0,0,0.0,0,0,0.0,0,0,0.0,83,180,6806,2.644725323,5,6.024096489,88.03089142,22.91457367,3313,0.973552763,0,0,83,180,6806,2.644725323,5,6.024096489,88.03089142,22.91457367,3313,0.973552763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.19879913,0.954202354,0.025600415,0.039260641,0.39981696,83,12422.16113,228,162.7499695,0.28518784,8574.62207,0.32046333,74.2514801,0.880308867,0.628378272,0.403377414,0.256640702,0.003846154,0.022371944,0,0.831288993,0.003846165,0.553212464,1,144.116684,0.003846154,0.554294944,YES
6,1,26,0,4,9,171,5,2,40,11,8.0,9,0,1.8,31,9,6.2,1,0,0,0,1,100,6.949807167,94.73683929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,6.949807167,94.73683929,0,0,0,0,1,1,1,1,0,2,167.7145844,18,76.58332062,0.003821019,0,0.007722008,1.002487063,0.06949807,0.29568851,0.005404553,0,0.010472262,0.003846154,0.635209382,0,0.150013238,0.003846165,39.49961472,1,0.1519216,0.003846154,YES
