No,Dataset,Modules,buggy,IR,Source,Chosen
D1,CM1,505,9.5,9.526315789,NASA,No
D2,JM1,10878,19.32,4.175983437,NASA,No
D3,KC1,2107,15.42,5.485084306,NASA,No
D4,KC2,522,20.5,3.87804878,NASA,No
D5,KC3,458,9.39,9.649627263,NASA,No
D6,KC4,125,48.8,1.049180328,NASA,No
D7,MC1,9466,0.72,137.8888889,NASA,No
D8,MC2,161,32.3,2.095975232,NASA,No
D9,MW1,403,7.69,12.00390117,NASA,No
D10,PC1,1107,6.87,13.55604076,NASA,No
D11,PC2,5589,0.41,242.902439,NASA,No
D12,PC3,1563,10.24,8.765625,NASA,No
D13,PC4,1458,12.21,7.19000819,NASA,No
D14,PC5,17186,3,32.33333333,NASA,No
D15,ar1,121,7.44,12.44086022,Softlab,No
D16,ar3,63,12.7,6.874015748,Softlab,No
D17,ar4,107,18.69,4.350454789,Softlab,No
D18,ar5,36,22.22,3.500450045,Softlab,No
D19,ar6,101,14.85,5.734006734,Softlab,No
D20,JDT,997,20.66 ,3.839805825,AEEEM,Yes
D21,PED,1497,13.96 ,6.162679426,AEEEM,Yes
D22,Equinox,324,39.81 ,1.511627907,AEEEM,Yes
D23,Mylyn,1862,13.16 ,6.6,AEEEM,Yes
D24,Lucene,691,9.26 ,9.796875,AEEEM,Yes
D25,ant-1.3,125,16,5.25,PROMISE,Yes
D26,ant-1.4,178,22.47,3.45,PROMISE,Yes
D27,ant-1.5,293,10.92,8.15625,PROMISE,Yes
D28,ant-1.6,351,26.21,2.815217391,PROMISE,Yes
D29,camel-1.0,339,3.83,25.07692308,PROMISE,Yes
D30,camel-1.2,608,35.53,1.814814815,PROMISE,Yes
D31,camel-1.4,872,16.63,5.013793103,PROMISE,Yes
D32,camel-1.6,965,19.48,4.132978723,PROMISE,Yes
D33,ivy-2.0,352,11.36,7.8,PROMISE,Yes
D34,jedit-3.2,272,33.09,2.022222222,PROMISE,Yes
D35,jedit-4.0,306,24.51,3.08,PROMISE,Yes
D36,jedit-4.1,312,25.32,2.949367089,PROMISE,Yes
D37,jedit-4.2,367,13.08,6.645833333,PROMISE,Yes
D38,jedit-4.3,492,2.24,43.72727273,PROMISE,Yes
D39,log4j-1.0,135,25.19,2.970588235,PROMISE,Yes
D40,poi-2.0,314,11.78,7.486486486,PROMISE,Yes
D41,synapse-1.0,157,10.19,8.8125,PROMISE,Yes
D42,synapse-1.1,222,27.03,2.7,PROMISE,Yes
D43,synapse-1.2,256,33.59,1.976744186,PROMISE,Yes
D44,velocity-1.6,229,34.06,1.935897436,PROMISE,Yes
D45,xerces-1.2,440,16.14,5.197183099,PROMISE,Yes
D46,xerces-1.3,453,15.23,5.565217391,PROMISE,Yes
D47,ant-1.7,745,22.28,3.487951807,PROMISE,No
D48,arc,234,11.54,7.666666667,PROMISE,No
D49,berek,43,37.21,1.6875,PROMISE,No
D50,ckjm-1.8,10,50,1,PROMISE,No
D51,elearning,64,7.81,11.8,PROMISE,No
D52,forrest-0.6,6,16.67,5,PROMISE,No
D53,forrest-0.7,29,17.24,4.8,PROMISE,No
D54,forrest-0.8,32,6.25,15,PROMISE,No
D55,intercafe,27,14.81,5.75,PROMISE,No
D56,ivy-1.1,111,56.76,0.761904762,PROMISE,No
D57,ivy-1.4,241,6.64,14.0625,PROMISE,No
D58,kalkulator,27,22.22,3.5,PROMISE,No
D59,log4j-1.1,109,33.94,1.945945946,PROMISE,No
D60,log4j-1.2,205,92.2,0.084656085,PROMISE,No
D61,lucene-2.0,195,46.67,1.142857143,PROMISE,No
D62,lucene-2.2,287,50.17,0.993055556,PROMISE,No
D63,lucene-2.4,340,59.71,0.674876847,PROMISE,No
D64,nieruchomosci,27,37.04,1.7,PROMISE,No
D65,pdftranslator,33,45.45,1.2,PROMISE,No
D66,poi-1.5,237,59.49,0.680851064,PROMISE,No
D67,poi-2.5,385,64.42,0.552419355,PROMISE,No
D68,poi-3.0,442,63.57,0.572953737,PROMISE,No
D69,prop-1,18471,14.82,5.746165084,PROMISE,No
D70,prop-2,23014,10.56,8.466886055,PROMISE,No
D71,prop-3,10274,11.49,7.706779661,PROMISE,No
D72,prop-4,8718,9.64,9.378571429,PROMISE,No
D73,prop-5,8516,15.25,5.555812163,PROMISE,No
D74,prop-6,660,10,9,PROMISE,No
D75,redaktor,176,15.34,5.518518519,PROMISE,No
D76,serapion,45,20,4,PROMISE,No
D77,skarbonka,45,20,4,PROMISE,No
D78,sklebagd,20,60,0.666666667,PROMISE,No
D79,systemdata,65,13.85,6.222222222,PROMISE,No
D80,szybkafucha,25,56,0.785714286,PROMISE,No
D81,termoproject,42,30.95,2.230769231,PROMISE,No
D82,tomcat,858,8.97,10.14285714,PROMISE,No
D83,velocity-1.4,196,75,0.333333333,PROMISE,No
D84,velocity-1.5,214,66.36,0.507042254,PROMISE,No
D85,workflow,39,51.28,0.95,PROMISE,No
D86,wspomaganiepi,18,66.67,0.5,PROMISE,No
D87,xalan-2.4,723,15.21,5.572727273,PROMISE,No
D88,xalan-2.5,803,48.19,1.074935401,PROMISE,No
D89,xalan-2.6,885,46.44,1.153284672,PROMISE,No
D90,xalan-2.7,909,98.79,0.012249443,PROMISE,No
D91,xerces-init,162,47.53,1.103896104,PROMISE,No
D92,xerces-1.4,588,74.32,0.345537757,PROMISE,No
D93,zuzel,29,44.83,1.230769231,PROMISE,No
D94,Apache,194,50.52,0.979414093,ReLink,No
D95,Safe,56,39.29,1.54517689,ReLink,No
D96,ZXing,399,29.57,2.381805884,ReLink,No
D97,Httpclient,361,56.79,0.760873393,NetGene,No
D98,Jackrabbit,542,41.51,1.409058058,NetGene,No
D99,Lucene,1671,10.71,8.337068161,NetGene,No
D100,Rhino,253,43.8,1.283105023,NetGene,No
D101,bugzilla,4620,36.70995671,1.724056604,JIT,No
D102,columba,4455,30.54994388,2.273328435,JIT,No
D103,JDT,35386,14.38139377,5.953428964,JIT,No
D104,platform,64250,14.71128405,5.797503174,JIT,No
D105,mozilla,98275,5.239379293,18.08623034,JIT,No
D106,postgres,20431,25.05506338,2.991209221,JIT,No
