"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","Bag",0.7695,0.1049,"M&H IR","ant-1.3",-0.0098,0.1147
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","Bag",0.5021,-0.0027,"Low IR","ant-1.4",0,-0.0027
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","Bag",0.7443,0.2916,"M&H IR","ant-1.5",0.3255,-0.0339
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","Bag",0.8158,0.4791,"Low IR","ant-1.6",0.4712,0.00790000000000002
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","Bag",0.5759,-6e-04,"M&H IR","camel-1.0",0,-6e-04
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","Bag",0.5402,0.0747,"Low IR","camel-1.2",0.0254,0.0493
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","Bag",0.691,0.125,"M&H IR","camel-1.4",0.0968,0.0282
"camel-1.6",188,965,0.194818653,4.132978723,"CK","C4.5","Y","Bag",0.6518,0.152,"M&H IR","camel-1.6",0.105,0.047
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK","C4.5","Y","Bag",0.7769,0.4531,"Low IR","Eclipse_JDT_Core",0.4041,0.049
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","C4.5","Y","Bag",0.7168,0.1175,"M&H IR","Eclipse_PDE_UI",0.0751,0.0424
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK","C4.5","Y","Bag",0.7884,0.3917,"Low IR","Equinox_Framework",0.3526,0.0391
"ivy-2.0",40,352,0.113636364,7.8,"CK","C4.5","Y","Bag",0.7763,0.1102,"M&H IR","ivy-2.0",0.0938,0.0164
"jedit-3.2",90,272,0.330882353,2.022222222,"CK","C4.5","Y","Bag",0.8002,0.4378,"Low IR","jedit-3.2",0.4465,-0.00869999999999999
"jedit-4.0",75,306,0.245098039,3.08,"CK","C4.5","Y","Bag",0.774,0.3581,"Low IR","jedit-4.0",0.3875,-0.0294
"jedit-4.1",79,312,0.253205128,2.949367089,"CK","C4.5","Y","Bag",0.783,0.4316,"Low IR","jedit-4.1",0.4463,-0.0147
"jedit-4.2",48,367,0.130790191,6.645833333,"CK","C4.5","Y","Bag",0.8196,0.1925,"M&H IR","jedit-4.2",0.0516,0.1409
"jedit-4.3",11,492,0.022357724,43.72727273,"CK","C4.5","Y","Bag",0.5561,0,"M&H IR","jedit-4.3",0,0
"log4j-1.0",34,135,0.251851852,2.970588235,"CK","C4.5","Y","Bag",0.7906,0.4589,"Low IR","log4j-1.0",0.4226,0.0363
"Lucene",64,691,0.092619392,9.796875,"CK","C4.5","Y","Bag",0.6565,0.0699,"M&H IR","Lucene",0.0029,0.067
"Mylyn",245,1862,0.131578947,6.6,"CK","C4.5","Y","Bag",0.6988,0.0623,"M&H IR","Mylyn",0.0139,0.0484
"poi-2.0",37,314,0.117834395,7.486486486,"CK","C4.5","Y","Bag",0.6486,0.0803,"M&H IR","poi-2.0",0.0231,0.0572
"synapse-1.0",16,157,0.101910828,8.8125,"CK","C4.5","Y","Bag",0.7811,-0.0018,"M&H IR","synapse-1.0",0.0136,-0.0154
"synapse-1.1",60,222,0.27027027,2.7,"CK","C4.5","Y","Bag",0.7531,0.3803,"Low IR","synapse-1.1",0.3822,-0.00189999999999996
"synapse-1.2",86,256,0.3359375,1.976744186,"CK","C4.5","Y","Bag",0.7763,0.3804,"Low IR","synapse-1.2",0.462,-0.0816
"velocity-1.6",78,229,0.340611354,1.935897436,"CK","C4.5","Y","Bag",0.7047,0.266,"Low IR","velocity-1.6",0.2073,0.0587
"xerces-1.2",71,440,0.161363636,5.197183099,"CK","C4.5","Y","Bag",0.7578,0.0392,"M&H IR","xerces-1.2",-0.0046,0.0438
"xerces-1.3",69,453,0.152317881,5.565217391,"CK","C4.5","Y","Bag",0.8151,0.3838,"M&H IR","xerces-1.3",0.3433,0.0405
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","Bst",0.6966,0.2265,"M&H IR","ant-1.3",-0.0098,0.2363
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","Bst",0.6038,0.0116,"Low IR","ant-1.4",0,0.0116
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","Bst",0.7234,0.2585,"M&H IR","ant-1.5",0.3255,-0.067
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","Bst",0.7807,0.4075,"Low IR","ant-1.6",0.4712,-0.0637
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","Bst",0.5864,-0.0054,"M&H IR","camel-1.0",0,-0.0054
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","Bst",0.5508,0.0635,"Low IR","camel-1.2",0.0254,0.0381
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","Bst",0.6423,0.1611,"M&H IR","camel-1.4",0.0968,0.0643
"camel-1.6",188,965,0.194818653,4.132978723,"CK","C4.5","Y","Bst",0.6316,0.1161,"M&H IR","camel-1.6",0.105,0.0111
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK","C4.5","Y","Bst",0.7553,0.3797,"Low IR","Eclipse_JDT_Core",0.4041,-0.0244
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","C4.5","Y","Bst",0.671,0.1707,"M&H IR","Eclipse_PDE_UI",0.0751,0.0956
