"","Dataset","DefectNum","ModuleNum","ImbLevel","ImbGroup","Metrics","Classifier","ImbLearner","ImbLearnerType","MCC","dset","bMCC","dMCC"
"28","ant-1.3",20,125,5.25,"M&H IR","CK","C4.5","Y","Bag",0.1049,"ant-1.3",-0.0098,0.1147
"29","ant-1.4",40,178,3.45,"Low IR","CK","C4.5","Y","Bag",-0.0027,"ant-1.4",0,-0.0027
"30","ant-1.5",32,293,8.15625,"M&H IR","CK","C4.5","Y","Bag",0.2916,"ant-1.5",0.3255,-0.0339
"31","ant-1.6",92,351,2.81521739130435,"Low IR","CK","C4.5","Y","Bag",0.4791,"ant-1.6",0.4712,0.00790000000000002
"32","camel-1.0",13,339,25.0769230769231,"M&H IR","CK","C4.5","Y","Bag",-6e-04,"camel-1.0",0,-6e-04
"33","camel-1.2",216,608,1.81481481481481,"Low IR","CK","C4.5","Y","Bag",0.0747,"camel-1.2",0.0254,0.0493
"34","camel-1.4",145,872,5.01379310344828,"M&H IR","CK","C4.5","Y","Bag",0.125,"camel-1.4",0.0968,0.0282
"35","camel-1.6",188,965,4.13297872340426,"M&H IR","CK","C4.5","Y","Bag",0.152,"camel-1.6",0.105,0.047
"36","ivy-2.0",40,352,7.8,"M&H IR","CK","C4.5","Y","Bag",0.1102,"ivy-2.0",0.0938,0.0164
"37","jedit-3.2",90,272,2.02222222222222,"Low IR","CK","C4.5","Y","Bag",0.4378,"jedit-3.2",0.4465,-0.00869999999999999
"38","jedit-4.0",75,306,3.08,"Low IR","CK","C4.5","Y","Bag",0.3581,"jedit-4.0",0.3875,-0.0294
"39","jedit-4.1",79,312,2.9493670886076,"Low IR","CK","C4.5","Y","Bag",0.4316,"jedit-4.1",0.4463,-0.0147
"40","jedit-4.2",48,367,6.64583333333333,"M&H IR","CK","C4.5","Y","Bag",0.1925,"jedit-4.2",0.0516,0.1409
"41","jedit-4.3",11,492,43.7272727272727,"M&H IR","CK","C4.5","Y","Bag",0,"jedit-4.3",0,0
"42","log4j-1.0",34,135,2.97058823529412,"Low IR","CK","C4.5","Y","Bag",0.4589,"log4j-1.0",0.4226,0.0363
"43","poi-2.0",37,314,7.48648648648649,"M&H IR","CK","C4.5","Y","Bag",0.0803,"poi-2.0",0.0231,0.0572
"44","synapse-1.0",16,157,8.8125,"M&H IR","CK","C4.5","Y","Bag",-0.0018,"synapse-1.0",0.0136,-0.0154
"45","synapse-1.1",60,222,2.7,"Low IR","CK","C4.5","Y","Bag",0.3803,"synapse-1.1",0.3822,-0.00189999999999996
