Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,Metrics,Classifier,ImbLearner,ImbLearnerType,AUC,MCC
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,Bag,0.7695 ,0.1049 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,Bag,0.7472 ,0.2686 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,Bag,0.8241 ,0.2093 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,Bag,0.8094 ,0.2319 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,Bag,0.7209 ,0.1624 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,Bag,0.7470 ,0.1609 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,Bag,0.5165 ,-0.0009 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,Bst,0.6966 ,0.2265 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,Bst,0.6589 ,0.1903 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,Bst,0.7414 ,0.2529 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,Bst,0.7179 ,0.2496 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,Bst,0.6899 ,0.2339 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,Bst,0.7020 ,0.2495 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,Bst,0.7379 ,0.0652 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,COS,0.7281 ,0.3983 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,COS,0.7753 ,0.4120 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,COS,0.8150 ,0.4054 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,COS,0.8024 ,0.4432 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,COS,0.7477 ,0.3752 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,COS,0.7320 ,0.4096 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,COS,0.5095 ,0.0256 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,EM1v1,0.7745 ,0.3631 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,EM1v1,0.7885 ,0.3983 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,EM1v1,0.8225 ,0.4252 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,EM1v1,0.8020 ,0.3995 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,EM1v1,0.7605 ,0.3809 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,EM1v1,0.7987 ,0.4182 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,EM1v1,0.7591 ,0.3567 
ant-1.3,20,125,0.16,5.25,CK,C4.5,N,none,0.5128 ,-0.0098 
ant-1.3,20,125,0.16,5.25,CK,IBk,N,none,0.7141 ,0.2468 
ant-1.3,20,125,0.16,5.25,CK,LR,N,none,0.7942 ,0.2029 
ant-1.3,20,125,0.16,5.25,CK,NB,N,none,0.7646 ,0.1287 
ant-1.3,20,125,0.16,5.25,CK,RF,N,none,0.7120 ,0.2358 
ant-1.3,20,125,0.16,5.25,CK,Ripper,N,none,0.5789 ,0.1643 
ant-1.3,20,125,0.16,5.25,CK,SVM,N,none,0.4976 ,-0.0064 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,OBag,0.7275 ,0.3252 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,OBag,0.7183 ,0.2940 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,OBag,0.7853 ,0.4218 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,OBag,0.7665 ,0.3461 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,OBag,0.7115 ,0.3017 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,OBag,0.7496 ,0.3162 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,OBag,0.7815 ,0.4491 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,OBst,0.7127 ,0.2118 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,OBst,0.6324 ,0.2069 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,OBst,0.7771 ,0.4075 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,OBst,0.7509 ,0.3411 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,OBst,0.6994 ,0.2107 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,OBst,0.6866 ,0.2484 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,OBst,0.7482 ,0.3693 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,OS,0.6642 ,0.2869 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,OS,0.6917 ,0.2701 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,OS,0.7819 ,0.4251 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,OS,0.7625 ,0.2844 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,OS,0.7132 ,0.2870 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,OS,0.6122 ,0.2229 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,OS,0.7518 ,0.4446 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,SBag,0.7398 ,0.3337 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,SBag,0.7457 ,0.3844 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,SBag,0.8032 ,0.4425 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,SBag,0.7752 ,0.3378 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,SBag,0.7189 ,0.3128 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,SBag,0.7465 ,0.3325 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,SBag,0.7918 ,0.4548 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,SBst,0.7761 ,0.3596 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,SBst,0.8041 ,0.4094 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,SBst,0.8101 ,0.3456 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,SBst,0.8023 ,0.4008 
