Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,ImbGroup,Metrics,Classifier,ImbLearner,ImbLearnerType,Gmean,AUC,Bal,F1,Recall,MCC,SLoe
ant-1.3,20,125,0.16,5.25,8~4,CK,C4.5,N,none,0.0389,0.5128,0.3113,0.0252,0.035,-0.0098,-0.0067
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,C4.5,N,none,0,0.5,0.2929,0,0,0,0
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,C4.5,N,none,0.5136,0.668,0.5655,0.3678,0.3958,0.3255,0.4061
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,C4.5,N,none,0.6932,0.7319,0.6707,0.5869,0.5563,0.4712,0.568
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,C4.5,N,none,0,0.5,0.2929,0,0,0,0
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,C4.5,N,none,0.1344,0.5153,0.3191,0.0641,0.0386,0.0254,0.1346
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,C4.5,N,none,0.2054,0.6083,0.3411,0.1096,0.0687,0.0968,0.2541
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,C4.5,N,none,0.246,0.5359,0.3522,0.1329,0.0847,0.105,0.2583
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,C4.5,N,none,0.1337,0.6878,0.3404,0.0985,0.0675,0.0938,0.1786
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,C4.5,N,none,0.6939,0.7558,0.6776,0.6095,0.59,0.4465,0.5379
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,C4.5,N,none,0.648,0.6944,0.6347,0.5198,0.5145,0.3875,0.4666
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,C4.5,N,none,0.6737,0.7065,0.6513,0.5617,0.5266,0.4463,0.5442
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,C4.5,N,none,0.1509,0.6459,0.3583,0.0919,0.0965,0.0516,0.0564
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,C4.5,N,none,0,0.5,0.2929,0,0,0,0
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,C4.5,N,none,0.5956,0.663,0.5995,0.5053,0.4567,0.4226,0.5895
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,C4.5,N,none,0.0498,0.5291,0.3109,0.0342,0.0258,0.0231,0.0366
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,C4.5,N,none,0.0301,0.5548,0.3098,0.0217,0.025,0.0136,0.015
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,C4.5,N,none,0.6211,0.6765,0.61,0.5128,0.4733,0.3822,0.48
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,C4.5,N,none,0.709,0.7241,0.6926,0.6302,0.6221,0.462,0.5563
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,C4.5,N,none,0.4845,0.5968,0.5059,0.3827,0.3527,0.2073,0.3387
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,C4.5,N,none,0.0074,0.5038,0.2947,0.004,0.0029,-0.0046,-0.0098
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,C4.5,N,none,0.4987,0.6868,0.5024,0.3718,0.2986,0.3433,0.538
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,C4.5,N,none,0.5804,0.7197,0.5495,0.4614,0.3657,0.4041,0.5907
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,C4.5,N,none,0.1341,0.6099,0.3212,0.067,0.0402,0.0751,0.2171
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,C4.5,N,none,0.6088,0.697,0.5887,0.5303,0.4463,0.3526,0.5098
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,C4.5,N,none,0.0154,0.512,0.2972,0.0079,0.0062,0.0029,0.0006
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,C4.5,N,none,0.0301,0.5318,0.2989,0.0137,0.0085,0.0139,0.039
ant-1.3,20,125,0.16,5.25,8~4,CK,C4.5,Y,Bag,0.2145,0.7695,0.4065,0.1707,0.175,0.1049,0.1408
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,C4.5,Y,Bag,0,0.5021,0.2929,0,0,-0.0027,-0.0059
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,C4.5,Y,Bag,0.428,0.7443,0.4981,0.3225,0.2933,0.2916,0.3937
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,C4.5,Y,Bag,0.6967,0.8158,0.6735,0.5931,0.5569,0.4791,0.5702
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,C4.5,Y,Bag,0,0.5759,0.2929,0,0,-0.0006,-0.0006
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,C4.5,Y,Bag,0.2553,0.5402,0.3503,0.1379,0.0835,0.0747,0.2517
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,C4.5,Y,Bag,0.2542,0.691,0.3572,0.1433,0.0916,0.125,0.2933
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,C4.5,Y,Bag,0.2773,0.6518,0.3607,0.1553,0.0965,0.152,0.4118
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,C4.5,Y,Bag,0.1619,0.7763,0.3527,0.1189,0.085,0.1102,0.1989
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,C4.5,Y,Bag,0.6843,0.8002,0.6688,0.5984,0.5722,0.4378,0.5267
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,C4.5,Y,Bag,0.598,0.774,0.5824,0.4739,0.4282,0.3581,0.4791
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,C4.5,Y,Bag,0.6402,0.783,0.616,0.531,0.4695,0.4316,0.5649
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,C4.5,Y,Bag,0.3091,0.8196,0.4164,0.2205,0.1765,0.1925,0.3024
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,C4.5,Y,Bag,0,0.5561,0.2929,0,0,0,0
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,C4.5,Y,Bag,0.6226,0.7906,0.621,0.5371,0.48,0.4589,0.6256
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,C4.5,Y,Bag,0.1042,0.6486,0.3316,0.0825,0.055,0.0803,0.1548
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,C4.5,Y,Bag,0.0136,0.7811,0.2996,0.01,0.01,-0.0018,-0.005
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,C4.5,Y,Bag,0.594,0.7531,0.5835,0.4877,0.4283,0.3803,0.5308
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,C4.5,Y,Bag,0.6436,0.7763,0.6269,0.5507,0.5131,0.3804,0.4874
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,C4.5,Y,Bag,0.5308,0.7047,0.5267,0.4234,0.3541,0.266,0.4143
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,C4.5,Y,Bag,0.0949,0.7578,0.3204,0.0605,0.0395,0.0392,0.0887
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,C4.5,Y,Bag,0.5365,0.8151,0.5197,0.4094,0.3226,0.3838,0.5953
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,C4.5,Y,Bag,0.6311,0.7769,0.5934,0.52,0.4279,0.4531,0.6056
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,C4.5,Y,Bag,0.1988,0.7168,0.3355,0.1015,0.0605,0.1175,0.3508
